user_id,age_group,gender,os_type,session_duration,pages_viewed,discount,conversion
1000,36-50,Male,Desktop,506.95,9.0,5,Yes
1001,50+,Male,Desktop,275.35,8.0,5,YES
1002,18-25,Female,iOS,243.14,12.0,15,No
1003,36-50,Female,iOS,556.73,,20,Yes
1004,36-50,Female,Desktop,439.09,33.0,10,No
1005,50+,Male,Android,202.66,48.0,15%,Yes
1006,18-25,Female,iOS,346.56,23.0,15,No
1007,18-25,Male,Android,317.29,24.0,20,No
1008,36-50,Male,Android,577.09,37.0,15,Yes
1009,26-35,M,Android,508.27,35.0,20,No
1010,36-50,Male,iOS,450.92,44.0,ten,No
1011,36-50,Male,Android,328.42,40.0,10,No
1012,36-50,Female,iOS,356.18,,20,Yes
1013,36-50,Female,Android,579.5,27.0,15,Yes
1014,25-30,Female,Desktop,368.15,35.0,20,Yes
1015,18-25,Female,Desktop,172.84,1.0,10,Yes
1016,50+,Female,iOS,184.8,35.0,10,No
1017,50+,Male,Desktop,107.51,37.0,15,No
1018,50+,Female,Desktop,19.23,47.0,15%,Yes
1019,36-50,Female,Android,259.81,14.0,5,1
1020,26-35,Male,iOS,242.98,3.0,20,Yes
1021,18-25,Female,Android,183.16,1.0,0,No
1022,26-35,Male,Android,18.31,5.0,,No
1023,50+,Female,Android,127.32,26.0,15,Yes
1024,50+,Male,Android,429.69,14.0,15,No
1025,26-35,Female,Android,476.2,,15,Yes
1026,26-35,Female,Android,367.52,27.0,15,No
1027,26-35,Male,Android,556.52,9.0,15,0
1028,50+,Male,iOS,394.14,15.0,10,Yes
1029,50+,Male,Desktop,549.83,15.0,5,No
