transaction_id,product_category,quantity,is_member,hour_of_day,unit_price
T047283,Clothing,20,1,15,439.93
T093646,Electronics,10,0,16,1176.39
T010669,Groceries,18,1,21,342.14
T096743,Electronics,5,0,10,3771.35
T043460,Clothing,11,0,20,1415.86
T092246,Groceries,8,0,18,125.8
T079967,Home,10,0,21,2043.36
T033450,Books,7,1,12,766.62
T075410,Home,3,0,9,1910.69
T081236,Clothing,3,0,14,767.47
T014388,Groceries,17,0,13,307.13
T056148,Books,7,1,21,253.68
T075458,Groceries,15,0,12,198.77
T021412,Clothing,8,0,16,571.73
T053466,Books,12,1,12,647.54
T017932,Groceries,2,0,14,395.01
T071193,Clothing,1,1,21,1298.2
T052093,Groceries,12,1,14,364.42
T072881,Clothing,13,0,14,1102.87
T044418,Groceries,9,1,11,436.35
T028485,Home,10,1,16,1978.68
T065455,Groceries,16,0,14,197.75
T066687,Clothing,14,1,17,451.53
T083192,Groceries,17,0,17,215.12
T045663,Clothing,2,0,14,1238.17
T091601,Home,19,0,12,830.77
T075851,Clothing,1,1,11,857.82
T005407,Books,14,1,14,619.45
T099376,Clothing,11,0,19,1254.18
T042058,Electronics,6,0,20,1069.44
T038722,Groceries,4,0,10,117.28
T061446,Groceries,11,0,19,120.87
T044072,Groceries,9,0,20,213.2
T031799,Electronics,12,0,12,3822.52
T073657,Clothing,19,1,18,1089.12
T080994,Books,10,0,20,908.62
T069215,Groceries,1,0,17,425.74
T070734,Clothing,6,0,18,1105.1
T073176,Groceries,6,0,18,349.61
T010312,Clothing,5,1,9,1260.45
T084276,Groceries,8,0,14,106.14
T010966,Electronics,18,1,11,1518.64
T011004,Clothing,10,1,16,936.69
T001779,Clothing,12,0,15,943.09
T010748,Home,16,0,20,1142.49
T004652,Groceries,9,0,15,347.71
T023684,Clothing,6,1,19,413.73
T017370,Clothing,17,1,13,509.36
T078553,Clothing,6,1,14,734.86
T072122,Home,3,0,15,1794.25
T024341,Home,12,1,21,2282.48
T024991,Groceries,5,1,20,151.14
T016066,Groceries,12,0,17,317.53
T067902,Books,9,1,16,839.13
T002016,Clothing,11,1,17,1269.38
T044806,Books,5,1,14,675.33
T029588,Clothing,19,1,13,373.14
T055021,Electronics,17,0,16,3001.9
T043448,Books,19,1,14,946.36
T088231,Groceries,6,1,14,362.29
T010664,Clothing,10,0,13,443.94
T058696,Home,12,0,13,1700.54
T059631,Clothing,6,1,17,1352.95
T007347,Groceries,10,1,18,342.05
T046648,Clothing,1,0,10,1161.67
T086838,Clothing,14,0,16,405.97
T045442,Groceries,2,0,17,194.19
T059933,Clothing,1,1,18,1392.39
T094444,Clothing,20,0,10,1045.23
T029871,Groceries,1,0,20,394.58
T061694,Home,9,1,21,1147.19
T034737,Electronics,17,0,20,4477.48
T059868,Groceries,20,0,17,248.89
T046388,Groceries,20,1,15,483.5
T008533,Groceries,15,1,13,480.01
T092403,Books,7,0,19,605.05
T042012,Home,17,0,16,943.76
T069460,Home,1,0,19,2881.72
T042645,Groceries,4,1,16,475.17
T095348,Groceries,9,0,17,441.7
T043806,Electronics,7,1,16,3736.46
