order_id,region,distance_km,weight_kg,delivery_time_days,estimated_time_days,delivery_cost,courier_id
644,North,96.4,1.54,4.1,3,823.62,114.0
618,North,8.5,18.31,5.4,3,540.73,164.0
637,East,107.3,0.76,6.2,8,440.34,170.0
6,Center,177.3,0.08,3.8,9,633.69,176.0
479,South,49.8,3.05,,3,971.17,100.0
536,South,39.0,14.41,,4,179.08,149.0
560,North,151.2,0.2,17.9,3,910.65,111.0
468,South,642.7,15.98,,6,494.14,137.0
48,West,41.9,27.82,15.7,4,930.89,
432,North,135.6,8.39,10.1,4,763.02,163.0
690,North,267.4,2.37,1.7,4,899.21,115.0
320,South,149.2,1.53,6.8,6,371.66,176.0
916,South,15.7,0.44,8.5,7,504.63,
435,East,64.9,13.54,3.6,7,228.3,116.0
695,North,258.1,0.69,3.1,4,133.1,160.0
140,North,203.6,10.88,10.2,2,127.96,
753,East,347.8,3.53,3.7,3,169.84,153.0
331,East,142.0,1.66,5.2,3,998.17,182.0
713,Center,188.7,9.18,0.9,6,388.79,193.0
674,North,390.1,3.11,6.1,7,517.45,143.0
958,Center,186.6,2.54,5.4,8,670.63,119.0
622,South,148.1,3.7,8.3,7,997.79,
430,Center,23.8,,5.8,7,526.09,168.0
103,South,1086.1,6.56,8.0,4,605.01,
928,East,87.0,2.96,5.1,4,244.35,182.0
820,East,67.1,10.25,8.0,7,973.17,
107,Center,3.2,10.0,4.3,7,915.49,139.0
400,North,183.6,0.49,1.9,5,788.99,152.0
612,West,539.5,6.48,1.4,7,720.53,178.0
169,North,95.4,17.21,6.9,9,795.47,126.0
714,South,61.4,5.22,,9,531.59,118.0
144,South,620.5,,8.3,8,164.51,
763,West,549.0,5.3,3.3,6,554.18,131.0
195,South,162.8,1.95,,7,499.34,124.0
54,Center,26.4,17.44,3.6,8,626.16,120.0
167,South,104.3,,,9,380.05,194.0
57,East,77.6,0.56,5.5,4,150.47,161.0
305,Center,46.9,1.33,20.5,9,444.33,
127,North,138.3,0.72,14.0,7,226.53,195.0
250,West,166.8,0.37,4.9,5,557.51,126.0
84,South,378.7,6.66,,7,907.34,117.0
272,East,75.8,5.42,4.0,2,245.82,173.0
46,Center,344.0,1.94,6.6,9,473.0,175.0
69,North,363.0,4.38,2.8,5,915.29,152.0
857,Center,12.0,6.59,16.3,9,347.01,156.0
952,West,361.4,8.6,5.5,4,808.26,149.0
736,East,81.0,1.53,4.7,8,295.72,123.0
95,South,38.4,1.83,,4,930.41,189.0
284,West,461.1,16.17,7.8,7,110.71,
762,West,153.3,4.9,6.8,9,840.21,137.0
611,North,15.1,0.16,7.3,9,750.62,
402,North,255.5,20.59,8.7,2,232.63,
450,Center,214.8,1.28,1.2,8,161.51,181.0
478,Center,78.9,0.8,4.6,9,803.83,154.0
384,Center,414.6,0.18,7.4,7,404.33,
234,North,17.8,4.05,3.1,9,957.77,113.0
37,East,67.4,7.05,14.5,9,582.05,
867,South,37.8,17.87,3.7,4,246.05,109.0
849,North,287.8,3.26,2.0,8,605.67,181.0
1000,West,124.6,7.43,5.6,5,224.6,123.0
176,West,136.0,0.38,5.6,2,635.93,102.0
516,North,159.6,15.12,2.6,4,670.72,192.0
181,Center,34.7,0.77,4.7,7,197.34,103.0
476,South,53.0,2.42,3.6,5,116.99,189.0
49,South,66.2,1.06,4.7,2,824.51,146.0
760,North,142.1,2.25,8.4,2,852.39,101.0
776,North,383.4,,3.2,2,486.39,196.0
235,Center,72.2,2.09,10.7,3,481.08,
480,North,518.8,3.39,1.2,2,388.05,107.0
364,Center,319.2,0.62,9.9,4,409.02,
222,North,194.5,2.82,8.2,3,164.75,
128,Center,23.3,1.89,2.0,3,882.72,130.0
927,Center,255.4,7.01,11.2,2,574.66,100.0
309,South,198.5,1.08,,6,927.01,144.0
599,South,112.0,8.35,4.0,9,805.2,195.0
67,East,23.3,3.39,12.4,2,843.18,
678,South,107.8,2.43,,8,403.89,163.0
788,North,273.5,0.71,7.1,5,726.22,
500,East,5.2,1.47,4.1,3,881.62,105.0
125,West,256.8,1.96,10.6,4,300.12,151.0
824,North,243.6,2.46,2.7,6,601.26,168.0
14,North,766.4,12.92,3.5,7,858.51,183.0
547,South,578.1,7.72,10.1,2,635.09,
376,South,265.4,1.22,6.3,8,910.59,199.0
134,East,59.4,1.47,4.1,4,455.73,126.0
257,Center,132.3,7.36,14.1,6,502.29,
183,West,108.8,0.9,4.4,7,344.77,110.0
422,North,194.6,0.76,7.8,7,204.76,109.0
186,South,48.5,7.56,,9,686.07,197.0
70,East,400.9,0.43,6.6,9,983.52,124.0
10,Center,477.9,2.99,4.5,6,758.45,108.0
275,North,54.2,4.29,13.4,2,315.64,
