ID,Алгебра,Геометрия,Информатика,Физика,История,Литература,Английский
B19,5,3,3,4,4,5,5
B14,3,5,3,5,3,5,3
B10,4,5,3,3,4,3,5
B16,3,4,4,3,3,3,5
B17,3,4,3,5,3,5,5
A22,4,3,5,3,3,3,3
A25,5,3,5,3,5,3,4
B13,4,5,3,3,4,4,4
A01,4,4,5,5,4,5,3
A11,5,4,5,3,4,3,3
A04,3,3,3,3,5,4,3
B11,5,3,3,4,5,5,3
A17,5,3,3,3,5,5,3
B05,5,3,3,4,4,5,4
B23,4,5,3,4,4,5,3
A05,4,5,5,5,3,4,4
A14,4,3,5,4,4,4,3
B03,4,5,5,4,5,3,3
B08,3,4,5,4,3,4,3
B07,5,4,5,3,4,4,3
A13,3,4,4,3,5,3,4
A24,4,3,5,5,4,3,3
B20,3,5,4,4,3,4,4
B24,5,3,4,4,4,4,5
B12,4,5,5,4,4,5,5
A08,3,3,3,4,4,3,5
B04,5,3,5,3,3,5,3
A06,4,5,3,5,5,4,5
A21,4,4,5,3,5,4,3
A10,3,5,5,3,4,3,5
A20,5,3,4,3,4,4,4
A02,4,5,4,3,4,4,4
B06,5,4,3,5,5,3,5
A03,4,3,4,4,5,4,5
B22,3,3,3,3,3,3,3
A09,4,4,4,3,3,3,3
B18,3,4,5,3,3,4,5
B09,4,5,4,4,3,3,3
A16,3,3,5,4,3,5,4
B02,5,3,3,3,5,3,5
A18,5,3,3,4,5,3,3
A19,5,4,4,3,5,4,5
B25,3,3,5,3,4,3,4
A23,3,4,3,3,5,3,5
A12,4,3,5,3,4,4,4
B15,4,3,5,3,3,3,4
B01,3,3,4,3,4,3,5
B21,4,4,3,3,5,4,5
A15,4,5,4,4,5,4,3
A07,4,3,4,3,4,5,5
