id,age,gender,skin_type,baseline_hydration,after_hydration,satisfaction_score,days_used,comments
224,55,Male,,69.1,95.3,1.0,25,
237,20,Male,Normal,48.2,76.0,,16,
283,53,Male,Oily,83.0,,4.0,28,
418,62,Female,Oily,68.8,76.1,5.0,19,
324,47,Female,Normal,85.7,72.4,1.0,10,
4,60,Female,Combination,65.9,72.6,6.0,23,
456,54,Female,Combination,59.9,71.3,9.0,15,
65,59,Female,Oily,73.1,85.6,,14,
166,59,Male,Normal,73.4,85.2,10.0,1,
216,61,Female,,46.2,55.8,6.0,7,
362,49,Female,Normal,56.2,76.7,8.0,7,
387,37,Female,Normal,57.5,100.0,9.0,15,
219,23,Female,Normal,58.3,,,23,
356,59,Female,Combination,70.8,79.4,4.0,4,
388,18,Female,Combination,64.2,57.0,10.0,5,
218,49,Male,Normal,38.8,64.9,6.0,21,
70,61,Female,Normal,59.1,66.0,9.0,20,
395,32,Female,Dry,62.7,78.2,,23,
233,26,Female,Dry,62.0,58.1,9.0,3,
155,62,Female,Dry,61.8,82.6,9.0,19,
92,32,Female,Normal,70.5,62.2,4.0,27,
393,29,Male,Combination,69.9,78.7,5.0,15,
415,56,Male,Dry,56.9,,6.0,10,
253,18,Female,Combination,50.0,97.8,8.0,1,
428,36,Female,Dry,69.7,70.3,6.0,15,
186,23,Female,Dry,98.7,71.4,,10,
37,20,Female,Dry,65.7,80.1,10.0,1,
229,39,Male,Normal,94.8,67.7,4.0,2,
230,28,Female,Combination,65.9,74.6,3.0,8,
53,24,Female,Combination,75.0,72.8,10.0,27,
475,54,Female,Dry,56.6,91.3,3.0,21,
124,61,Female,Oily,64.2,70.6,,3,
227,51,Male,Normal,78.2,66.1,6.0,11,
141,26,Female,Normal,68.3,78.4,7.0,4,
197,49,Female,Oily,50.3,63.9,9.0,15,
427,47,Female,Dry,48.2,74.8,10.0,23,
262,24,Female,Normal,67.1,85.7,2.0,17,
31,59,Female,Normal,82.5,66.2,7.0,11,
405,59,Female,Oily,63.6,,10.0,18,
463,47,Female,Normal,42.9,55.7,,26,
164,45,Female,Oily,49.6,73.6,2.0,13,
102,41,Female,Oily,47.3,100.0,10.0,16,
248,50,Female,Dry,58.5,,,24,
345,63,Female,Combination,90.2,69.8,4.0,25,
487,62,Female,Normal,53.0,87.7,9.0,28,
24,38,Female,Dry,67.2,59.9,,16,
95,42,Male,,57.7,74.0,9.0,7,
417,23,Female,Dry,51.3,81.7,6.0,28,
439,18,Female,Dry,38.7,83.7,9.0,1,
201,56,Male,Normal,63.5,77.3,,9,
423,57,Male,Oily,77.9,82.1,10.0,28,
325,50,Female,Combination,39.4,71.3,6.0,28,
135,18,Female,Normal,73.8,64.2,5.0,9,
131,54,Male,Oily,45.2,87.0,5.0,6,
25,50,Male,Combination,61.2,78.5,6.0,8,
464,63,Female,Oily,57.1,65.8,,17,
471,56,Male,Dry,44.6,82.6,4.0,7,
94,18,Female,Oily,80.6,91.9,,12,
381,42,Female,Normal,56.7,88.2,9.0,23,
274,36,Female,Dry,67.9,75.9,8.0,9,
132,64,Male,Combination,43.4,69.8,10.0,15,
235,33,Female,Dry,70.6,56.9,9.0,1,
403,39,Male,Dry,64.6,53.7,5.0,6,
482,27,Female,Combination,43.2,69.1,7.0,3,
