id_заказа,регион,тип_доставки,расстояние_км,время_доставки_ч,рейтинг_клиента,кол_во_товаров,сумма_заказа_руб,подарок,задержка
263,Центр,Стандарт,3.8,3.7,2.5,6,305,Нет,1
152,Центр,Экспресс,8.5,3.8,4.0,3,1186,Нет,0
241,Восток,Стандарт,44.7,43.5,4.7,1,529,Да,0
370,Центр,Бесконтактная,3.1,3.0,4.2,5,3216,Да,0
399,Юг,Стандарт,13.5,8.2,4.1,3,556,Да,0
37,Центр,Экспресс,4.1,1.0,3.5,3,1003,Нет,0
205,Юг,Стандарт,11.3,8.1,3.7,5,2283,Да,0
304,Юг,Экспресс,12.2,6.6,2.8,1,1131,Нет,0
181,Центр,Экспресс,9.7,3.8,3.6,4,4735,Нет,0
85,Центр,Экспресс,9.5,2.4,3.9,1,4122,Нет,0
222,Север,Стандарт,8.8,10.0,3.1,2,1500,Нет,0
2,Восток,Стандарт,31.7,27.1,2.1,4,814,Да,1
149,Центр,Экспресс,8.7,4.6,3.2,4,1863,Нет,0
287,Север,Экспресс,7.2,1.2,3.6,5,2771,Нет,0
362,Юг,Стандарт,6.6,3.2,3.4,5,1181,Да,0
395,Центр,Экспресс,4.0,1.7,4.1,3,2800,Нет,0
180,Центр,Экспресс,5.9,1.3,3.5,4,943,Нет,0
96,Север,Стандарт,9.4,10.4,2.9,2,832,Нет,1
83,Центр,Экспресс,4.8,1.0,4.1,1,1328,Нет,0
312,Центр,Экспресс,9.1,4.5,4.4,3,970,Да,0
462,Юг,Экспресс,14.1,5.9,3.6,2,4022,Нет,0
34,Восток,Стандарт,14.8,11.9,2.6,3,577,Нет,0
357,Центр,Стандарт,9.1,9.4,5.0,1,886,Да,0
418,Центр,Бесконтактная,2.1,1.0,3.0,3,2523,Нет,0
103,Центр,Стандарт,9.0,3.7,2.7,1,4024,Нет,0
153,Центр,Экспресс,7.3,4.1,3.3,3,2519,Да,0
383,Юг,Стандарт,19.5,20.5,3.4,5,1081,Нет,1
403,Север,Стандарт,5.9,4.5,3.4,1,4986,Нет,0
238,Центр,Экспресс,5.3,3.8,4.3,2,3766,Нет,0
406,Восток,Бесконтактная,29.0,25.3,3.1,6,1257,Да,0
289,Центр,Экспресс,1.3,1.0,3.1,3,1898,Нет,0
463,Юг,Стандарт,4.8,1.5,4.4,4,1505,Нет,0
