transaction_id,user_id,category,price,quantity,total_amount,payment_method,is_return,rating
3328,1512,Other,353.52,2,159.11,Card,0,5.0
4375,1904,Clothing,84.53,3,1616.62,Cash,0,4.0
3426,4856,Clothing,354.16,4,674.22,Cash,0,3.0
2026,1236,Other,210.6,3,140.22,Card,0,2.0
3873,1153,Food,232.96,3,449.26,Cash,0,
4026,2846,Clothing,110.31,3,2240.23,Online,0,5.0
946,1627,Clothing,38.22,2,1298.75,Cash,0,1.0
697,1272,Other,20.77,2,2099.08,Cash,1,5.0
1634,2428,Other,260.93,4,363.48,Card,0,3.0
3657,2977,Food,136.51,5,2380.13,Online,0,4.0
2394,2891,Food,140.58,1,173.23,Cash,1,
1816,4637,Other,179.26,2,1569.64,Cash,0,3.0
1116,2896,Books,31.03,5,965.04,Card,0,3.0
3275,3381,Electronics,415.54,3,664.19,Cash,0,5.0
131,3818,Books,313.54,4,1557.25,Card,0,5.0
1928,2919,Food,245.46,3,625.76,Card,0,3.0
3044,3671,Food,128.28,4,2275.43,Online,0,5.0
3423,3561,Clothing,438.63,2,140.86,Online,0,2.0
1859,3639,Electronics,101.37,2,2028.51,Card,0,4.0
4128,3458,Books,373.65,5,1152.27,Cash,0,2.0
2779,4273,Books,331.9,4,1731.81,Card,0,4.0
651,2888,Electronics,329.62,1,1903.06,Cash,0,3.0
860,2026,Books,72.76,4,2280.65,Cash,0,4.0
4812,4293,Clothing,66.71,2,894.42,Online,0,4.0
3690,3270,Electronics,492.15,3,2095.15,Online,0,1.0
2342,3513,Clothing,106.79,1,2124.73,Online,1,5.0
2629,4743,Clothing,386.26,2,2092.57,Card,0,4.0
4947,3272,Books,371.56,2,1907.55,Card,0,2.0
2500,2367,Clothing,277.28,2,1884.37,Cash,0,2.0
4159,1874,Food,142.65,2,987.77,Card,0,
548,4044,Books,360.86,1,739.67,Card,0,1.0
4672,2465,Food,110.46,2,805.71,Card,0,
4045,4116,Books,168.19,3,1470.04,Cash,0,3.0
4188,2795,Food,234.34,5,1666.9,Card,0,
1499,1840,Electronics,351.71,5,2155.14,Cash,0,2.0
2669,2441,Electronics,182.81,1,659.4,Card,0,4.0
4875,2607,Clothing,110.93,1,2409.79,Cash,0,4.0
4901,4935,Electronics,148.97,3,1628.71,Card,0,4.0
2376,1646,Other,26.16,2,144.44,Card,0,3.0
2523,2382,Other,431.54,5,2013.67,Online,0,1.0
2606,2364,Electronics,450.65,3,2044.39,Card,0,5.0
2067,3354,Books,107.35,2,1878.82,Card,0,1.0
1582,3666,Electronics,232.83,3,1437.31,Card,0,2.0
1911,2596,Books,168.14,5,1174.36,Card,0,1.0
71,3741,Books,492.83,4,719.27,Cash,0,4.0
4244,2607,Clothing,199.92,2,662.68,Online,1,
169,4254,Food,251.93,5,1511.73,Cash,0,1.0
3100,3857,Food,126.93,1,495.49,Card,1,4.0
3551,1647,Books,187.29,5,2358.49,Online,0,5.0
759,1466,Food,425.77,4,1185.4,Online,0,1.0
3816,2945,Books,442.2,5,528.52,Online,0,1.0
2232,4298,Food,23.81,2,1714.99,Online,0,5.0
397,2810,Other,118.4,2,456.14,Cash,0,2.0
1199,3664,Other,97.22,1,2274.41,Cash,0,5.0
3447,4092,Clothing,246.71,1,382.09,Online,0,3.0
2395,2461,Electronics,279.09,4,310.21,Cash,0,2.0
269,1070,Clothing,150.48,3,1710.53,Cash,0,4.0
2183,4663,Books,88.15,5,258.46,Online,0,5.0
3346,1304,Clothing,279.25,1,720.85,Cash,0,3.0
2221,1986,Other,288.65,5,1204.99,Card,1,2.0
421,4720,Food,467.16,2,2358.91,Card,0,
3831,3648,Books,198.38,4,31.4,Cash,1,
3717,1359,Electronics,225.51,2,157.04,Online,0,1.0
3326,2812,Electronics,410.57,5,1013.4,Card,0,5.0
3263,4797,Books,301.0,3,1063.94,Online,0,5.0
4057,4966,Food,264.9,2,1062.0,Online,0,5.0
244,1072,Other,371.17,2,2201.52,Online,0,2.0
265,2395,Clothing,181.86,2,1806.21,Cash,0,4.0
4705,3300,Food,93.82,1,1812.43,Card,0,1.0
1031,2389,Electronics,110.44,1,1851.65,Online,0,4.0
3108,4406,Other,93.33,4,900.63,Cash,0,3.0
1387,3646,Other,216.06,1,2068.47,Online,0,2.0
1337,3983,Other,279.7,1,278.24,Card,0,1.0
677,4107,Other,26.92,1,2211.2,Online,0,4.0
1699,4466,Clothing,474.51,1,2008.3,Cash,0,4.0
4105,1803,Food,496.42,1,1961.98,Online,1,
4532,3389,Clothing,137.4,5,654.64,Cash,1,3.0
1339,1739,Other,427.55,4,1281.42,Cash,0,2.0
2150,1810,Electronics,314.37,3,1535.41,Cash,0,4.0
706,1633,Books,449.74,5,332.62,Card,0,5.0
2696,1897,Clothing,62.11,1,1235.95,Card,0,5.0
2037,4834,Electronics,482.46,1,1801.87,Card,0,1.0
3085,1328,Books,207.98,1,1124.54,Cash,0,1.0
673,2860,Food,378.67,4,557.82,Online,0,3.0
1239,2350,Clothing,460.02,1,2027.55,Cash,0,1.0
3894,1981,Food,56.15,2,1759.7,Card,0,3.0
2484,1482,Clothing,17.66,3,1166.78,Card,0,1.0
3673,3637,Electronics,362.41,5,2164.99,Card,1,
12,4393,Other,60.34,2,1829.77,Card,0,2.0
1389,2914,Books,122.04,3,567.91,Online,0,3.0
2624,1648,Books,203.31,2,594.35,Online,1,2.0
3338,3236,Other,208.78,2,2242.87,Card,0,1.0
1837,4697,Clothing,39.67,1,2240.96,Online,0,1.0
3867,2579,Clothing,259.1,1,2280.21,Card,0,4.0
2837,2598,Books,188.69,4,900.32,Online,0,1.0
1055,4362,Books,192.52,3,244.44,Card,0,4.0
4362,3636,Clothing,263.63,1,1927.2,Card,0,2.0
4292,2143,Electronics,32.96,2,365.65,Cash,0,3.0
4157,2699,Clothing,125.56,1,844.56,Card,0,5.0
333,1188,Clothing,391.31,3,2094.38,Cash,0,1.0
4933,4709,Clothing,314.2,2,802.66,Card,0,2.0
4220,4764,Other,303.82,2,489.91,Card,0,5.0
609,3577,Food,61.68,4,1182.47,Cash,1,
2509,1543,Food,224.18,5,720.82,Cash,1,
273,1255,Clothing,281.95,1,292.32,Card,0,3.0
4046,3399,Clothing,273.12,2,1181.75,Card,0,1.0
1185,3042,Electronics,255.3,1,2391.06,Cash,0,2.0
4166,3881,Clothing,139.51,3,1443.52,Card,0,4.0
4104,1092,Clothing,93.68,5,1203.14,Online,0,3.0
3886,4705,Books,69.12,1,1841.16,Card,0,2.0
4868,1756,Electronics,123.44,5,1757.2,Cash,0,5.0
1856,3610,Food,218.01,3,2361.96,Card,1,4.0
4287,4945,Electronics,358.03,2,1767.61,Card,0,3.0
4817,2173,Clothing,312.27,5,1183.81,Card,0,1.0
4959,1608,Electronics,172.21,3,410.58,Cash,0,3.0
4347,3700,Clothing,315.31,5,880.56,Cash,0,5.0
2273,3615,Food,242.4,5,425.25,Online,0,
4596,2640,Books,370.37,5,2225.2,Cash,0,4.0
4648,3659,Electronics,435.47,1,2261.83,Cash,0,3.0
3249,4111,Electronics,374.73,3,1765.67,Online,0,2.0
4666,4998,Clothing,191.6,5,2074.06,Online,1,
3529,2138,Electronics,422.54,3,659.14,Online,0,4.0
320,4268,Other,55.24,1,659.4,Online,0,4.0
4800,3553,Clothing,491.82,4,537.54,Cash,0,2.0
4494,3190,Food,272.52,1,464.75,Online,0,3.0
3449,3239,Books,22.51,2,757.08,Card,1,
1742,1844,Books,286.79,4,2499.85,Cash,0,3.0
1763,2442,Electronics,213.63,5,32.84,Online,0,2.0
3866,3468,Clothing,178.95,4,378.66,Online,0,2.0
2093,3882,Food,66.13,1,2153.79,Card,0,4.0
1979,4813,Other,498.98,5,1202.43,Card,0,3.0
2294,2032,Electronics,470.52,1,482.02,Cash,0,4.0
4146,1726,Other,454.46,4,1179.86,Cash,0,3.0
101,1325,Other,224.97,3,1124.09,Card,0,3.0
1454,4116,Clothing,275.65,3,1108.93,Online,0,1.0
2658,3958,Other,29.95,1,1875.06,Online,0,3.0
2690,3123,Food,329.71,5,2217.89,Cash,0,
410,2846,Food,12.64,2,1142.3,Online,0,4.0
99,2116,Food,28.35,2,1721.11,Card,1,
47,4030,Clothing,175.18,4,150.3,Card,0,3.0
1694,3856,Clothing,276.49,5,826.91,Cash,0,5.0
1066,4173,Food,455.12,1,2028.52,Online,0,2.0
4906,3804,Electronics,83.42,2,2010.06,Card,0,3.0
174,3124,Books,100.59,2,1460.16,Cash,0,1.0
2419,3195,Clothing,313.75,2,130.08,Card,0,4.0
3733,3239,Electronics,295.06,2,2148.42,Card,0,3.0
3162,3792,Electronics,494.85,4,747.65,Online,0,3.0
672,2458,Clothing,104.6,5,2129.12,Online,0,3.0
3322,1904,Food,101.59,2,370.9,Card,0,5.0
2729,1456,Other,68.39,4,407.41,Card,0,5.0
1919,2946,Food,322.34,5,1493.2,Card,0,
1119,1703,Clothing,376.74,5,833.84,Card,0,5.0
2792,2947,Other,377.11,1,2154.02,Cash,1,4.0
3054,3179,Electronics,361.1,5,2253.0,Card,0,5.0
700,1249,Clothing,197.97,1,1267.53,Card,0,5.0
3672,2950,Books,356.27,4,1294.12,Cash,0,2.0
733,3117,Other,184.82,1,1602.81,Card,0,5.0
181,3277,Clothing,78.67,2,995.29,Online,0,4.0
616,3058,Clothing,199.89,1,2370.7,Cash,0,5.0
2487,4475,Electronics,420.4,2,29.02,Card,0,5.0
4827,1266,Other,447.52,5,872.09,Online,0,3.0
1579,3564,Clothing,214.37,3,2201.67,Online,0,5.0
2457,3139,Other,412.98,2,462.44,Card,0,3.0
2407,4092,Books,42.75,5,485.31,Online,0,5.0
1729,3299,Food,122.59,5,2163.81,Card,0,
3523,2432,Food,150.97,2,1357.62,Card,0,
1776,4322,Electronics,123.38,5,2008.68,Cash,0,3.0
2927,3345,Clothing,362.66,4,2147.58,Online,0,1.0
3383,4918,Food,62.69,2,1978.36,Card,0,
2820,4727,Clothing,258.22,2,1794.83,Online,0,4.0
777,4317,Other,6.78,5,1643.77,Card,0,2.0
3887,4729,Other,146.39,3,1443.34,Card,1,
3180,3312,Food,403.69,1,324.07,Cash,1,
297,1777,Electronics,299.48,1,1261.93,Card,0,5.0
812,3472,Food,182.81,1,556.29,Cash,0,2.0
937,4268,Food,136.11,4,1829.16,Online,0,4.0
4317,3307,Food,259.98,4,2023.99,Cash,0,5.0
2423,4236,Other,462.47,1,1890.78,Online,0,3.0
4126,2028,Food,499.07,1,745.91,Cash,0,
3708,3705,Food,140.66,4,830.07,Cash,0,
2879,1065,Electronics,380.2,5,1146.3,Cash,0,3.0
4655,1568,Books,238.84,4,1697.32,Online,0,3.0
294,4332,Books,422.67,1,1088.24,Cash,0,4.0
1721,4976,Books,45.33,4,198.73,Online,0,1.0
1508,1808,Food,318.61,5,2497.45,Online,0,2.0
2920,3716,Other,160.25,2,879.37,Cash,0,1.0
3205,2238,Clothing,127.26,4,1107.04,Card,0,4.0
4729,3760,Clothing,24.72,3,2218.75,Card,0,1.0
2429,1415,Electronics,353.05,2,944.76,Card,1,2.0
3504,4956,Clothing,468.42,4,1949.11,Online,0,3.0
3456,2239,Clothing,289.53,3,359.5,Card,0,1.0
60,3442,Clothing,383.85,4,2473.51,Card,0,2.0
1375,1340,Electronics,252.64,3,557.22,Cash,0,5.0
1624,3203,Food,448.69,2,1074.77,Cash,1,5.0
205,3215,Clothing,424.48,3,601.44,Online,0,1.0
814,4287,Food,248.43,2,2492.98,Online,0,1.0
2783,2740,Electronics,40.83,2,1002.49,Card,0,4.0
3870,2511,Electronics,310.15,2,1340.0,Online,1,2.0
4197,3988,Clothing,414.48,5,944.63,Online,0,4.0
4248,4013,Food,272.09,4,2449.98,Card,1,1.0
4069,2120,Food,97.38,1,1187.45,Card,0,1.0
817,1671,Electronics,310.11,2,2261.6,Cash,0,1.0
1497,4792,Books,235.15,5,93.28,Online,0,5.0
283,3918,Clothing,65.12,3,61.81,Cash,0,4.0
2336,2302,Electronics,34.07,5,635.43,Online,0,4.0
2755,4770,Food,45.59,2,2492.66,Online,0,1.0
1052,1372,Other,84.93,1,1597.06,Card,0,3.0
4635,4345,Clothing,11.33,1,1802.91,Card,0,2.0
2747,4669,Books,214.8,3,2182.77,Cash,1,3.0
526,2032,Clothing,143.77,1,1234.63,Online,0,1.0
2358,3701,Books,462.05,2,2082.3,Cash,0,4.0
636,4815,Books,398.12,2,679.55,Online,1,2.0
1705,3053,Electronics,196.81,5,790.41,Card,0,2.0
3955,2546,Electronics,373.52,4,432.26,Online,0,4.0
1973,2605,Clothing,107.35,3,2372.98,Card,1,
3334,2600,Food,51.16,5,889.01,Cash,1,4.0
