client_id,age,gender,membership_type,monthly_fee,avg_visits_per_week,trainer_rating,avg_session_duration,weight_change_kg,member_satisfaction
ESS4D,31,female,morning,1256.41,2.8,mid,52.0,,8.0
IVU2T,22,female,day,1957.88,2.6,junior,64.0,,6.0
011VI,38,male,morning,1391.1,4.4,senior,48.0,-0.1,7.0
WD3Q3,32,female,morning,1678.17,4.1,mid,25.0,,6.0
YYHJ9,38,female,full,2916.4,2.6,junior,46.0,,7.0
729SC,52,male,full,3146.52,3.3,mid,55.0,-4.1,4.0
MUKQ5,20,female,full,2859.47,4.4,senior,54.0,-9.2,9.0
ZUAZN,27,male,day,2185.08,2.9,junior,31.0,,7.0
POVRE,16,female,morning,1242.9,4.0,mid,32.0,-3.8,5.0
S1VR7,54,male,full,3375.57,2.1,elite,70.0,,6.0
JP7RS,55,female,morning,1422.15,2.6,mid,36.0,-2.9,7.0
AIEBZ,28,female,vip,6150.54,1.6,mid,64.0,-4.9,5.0
5DWQR,30,female,day,2205.24,7.1,senior,48.0,,
I5WQQ,34,male,morning,1413.66,3.5,senior,41.0,,
79TUY,29,female,full,2492.73,3.3,senior,49.0,-2.5,8.0
L2SR5,28,female,day,2230.53,3.3,elite,60.0,-10.7,9.0
PKJBX,34,female,morning,1345.43,5.2,elite,56.0,-3.5,10.0
VQSR7,37,female,morning,1658.25,2.8,junior,65.0,-3.0,8.0
JRS33,49,male,day,2150.41,2.0,junior,22.0,,7.0
U63L7,34,male,day,1807.08,1.1,junior,47.0,,
DY2SQ,38,female,morning,1388.07,1.7,senior,54.0,2.3,8.0
884RC,21,female,full,3099.73,5.1,elite,72.0,-2.3,10.0
JRD0O,26,female,morning,1429.45,1.6,mid,35.0,-1.6,7.0
QAAU7,53,male,day,1884.77,1.7,mid,35.0,-2.0,8.0
C2IW1,19,female,morning,1766.82,3.4,mid,58.0,1.0,7.0
8YWFL,21,male,day,2179.66,6.0,mid,53.0,,5.0
U18RZ,22,female,morning,1879.92,3.3,senior,55.0,,6.0
EIV85,29,female,full,2776.22,3.4,mid,61.0,1.4,4.0
SDY72,39,female,day,2036.57,2.8,mid,42.0,-7.1,7.0
6LO3S,37,male,vip,6823.15,1.7,mid,56.0,2.4,8.0
HAD5B,56,male,full,3146.17,6.2,senior,56.0,,7.0
MM1AS,48,male,day,1871.83,4.5,elite,37.0,2.3,9.0
LKLE8,34,female,morning,1659.77,9.8,mid,59.0,-0.3,7.0
U2FSP,46,female,full,2810.58,4.0,mid,64.0,0.2,6.0
MVYCO,28,female,full,3300.89,3.9,senior,75.0,,8.0
H7BT4,16,female,morning,1776.07,3.6,mid,50.0,-8.3,7.0
Q1GZ5,37,female,day,1692.06,2.9,mid,50.0,,7.0
ET2S8,31,female,vip,4938.69,1.4,senior,70.0,5.0,8.0
F4OPO,51,female,day,1740.46,3.2,senior,51.0,-1.5,7.0
CKMJR,46,female,vip,7970.54,2.7,senior,45.0,-3.5,7.0
2OQLR,40,male,vip,5763.79,3.0,mid,42.0,1.2,8.0
E2234,25,female,full,2893.74,5.4,senior,50.0,,8.0
I85XO,50,female,morning,1655.05,5.2,senior,75.0,-2.7,8.0
24Y8M,34,female,morning,1134.9,3.0,junior,37.0,,
FUUTD,53,female,day,2511.41,4.9,mid,50.0,-4.0,5.0
ZUUHK,29,female,day,1544.68,1.8,senior,,,8.0
JUDJ8,28,male,day,2361.65,4.1,senior,67.0,-0.8,7.0
GY10G,51,male,day,2086.17,2.9,senior,28.0,-2.3,7.0
WSJ4K,36,male,morning,1655.07,5.9,senior,46.0,-4.6,7.0
LJCO6,32,female,morning,1462.06,4.4,mid,30.0,,6.0
1OADA,49,female,full,3513.18,4.3,elite,34.0,,8.0
