house_id,district,house_age,floors,management_company_id,contract_amount,planned_duration_days,actual_duration_days,citizen_complaints_raw,citizen_complaints,inspection_score_raw,inspection_score,budget_overrun_pct
1,Заводской,76,7,11,11049940.65,103,141,4.0,4,17.0,17.0,33.6
2,Приречный,96,16,1,11330595.41,209,199,1.0,1,61.0,61.0,-1.6
3,Ленинский,35,6,13,8256247.85,125,115,3.0,3,72.4,72.4,8.2
4,Ленинский,13,2,19,9890311.11,97,105,3.0,3,63.4,63.4,24.6
5,Центральный,55,7,3,8439893.15,178,220,3.0,3,46.8,46.8,23.0
6,Центральный,33,10,17,6225477.51,124,159,4.0,4,34.5,34.5,30.8
7,Центральный,82,9,5,11640936.18,229,276,1.0,1,62.8,62.8,14.4
8,Приречный,44,12,20,8847221.22,175,189,4.0,4,40.4,40.4,2.9
9,Ленинский,45,13,8,6646870.6,115,105,4.0,4,62.0,62.0,1.8
10,Ленинский,90,15,14,13718236.88,178,168,3.0,3,63.1,63.1,10.4
11,Центральный,15,3,4,7715296.22,117,123,3.0,3,,58.8,-1.8
12,Приречный,27,4,11,10160110.27,91,81,2.0,2,54.4,54.4,-8.6
13,Приречный,5,2,20,6959197.52,140,163,1.0,1,92.9,92.9,14.0
14,Центральный,50,7,15,8682457.84,65,211,0.0,0,46.2,46.2,138.8
15,Центральный,25,3,19,8682591.71,178,198,2.0,2,55.8,55.8,19.9
16,Центральный,94,17,7,22257442.4,192,213,2.0,2,63.8,63.8,-11.9
17,Заводской,40,17,19,8386943.24,181,193,2.0,2,50.0,50.0,-1.2
18,Ленинский,58,10,19,6470657.55,196,225,3.0,3,49.4,49.4,22.5
19,Заводской,91,19,11,8109906.56,126,168,3.0,3,,58.8,29.2
20,Заводской,61,19,5,12774781.67,210,226,1.0,1,,58.8,12.2
21,Ленинский,5,1,5,8490198.36,122,160,2.0,2,55.2,55.2,15.9
22,Центральный,67,11,8,13817776.53,195,222,4.0,4,45.8,45.8,21.8
23,Заводской,58,16,10,7457532.08,166,156,0.0,0,54.4,54.4,-11.6
24,Заводской,59,5,6,10951848.41,63,90,,0,67.9,67.9,43.0
25,Заводской,44,18,15,8028170.46,109,171,1.0,1,55.1,55.1,56.0
26,Приречный,19,5,16,8980567.82,68,94,2.0,2,72.5,72.5,25.5
27,Центральный,25,2,17,8325821.46,170,211,1.0,1,71.0,71.0,12.6
28,Ленинский,51,17,8,7480050.22,108,101,4.0,4,71.5,71.5,3.2
29,Ленинский,77,12,8,7651622.93,218,260,5.0,5,32.8,32.8,23.3
30,Центральный,57,8,9,7882073.54,178,218,1.0,1,68.6,68.6,33.0
