request_id,endpoint,response_time_ms,status_code,client_type,request_size_kb
REQ-066148,/auth/logout,824,200,mobile_app,450.7864387676376
REQ-080374,/auth/logout,2823,400,mobile_app,216.30531781447743
REQ-038778,/orders,1667,200,mobile_app,298.60714110344475
REQ-104788,/orders,2019,401,browser,687.8190785200959
REQ-149255,/auth/login,703,200,mobile_app,459.1765438703913
REQ-036568,/auth/login,2625,404,other,871.727968688694
REQ-008826,/orders,2573,401,browser,418.6154208303331
REQ-058338,/products,1075,200,browser,743.5743640403687
REQ-103303,/products,2071,200,mobile_app,809.7960086074768
REQ-141160,/orders,3446,404,browser,768.6696411684189
REQ-005457,/orders,4996,200,script,173.2279349785363
REQ-089806,/users,129,200,browser,241.97729340996955
REQ-083464,/orders,2067,200,script,436.66424355473066
REQ-040549,/auth/logout,3601,401,script,1000.7990210003062
REQ-061402,/auth/login,1472,401,browser,106.96020670069684
REQ-142374,/orders,2162,200,script,203.69781958002451
REQ-106374,/orders,1625,401,browser,523.2572133161335
REQ-012801,/products,1986,201,browser,229.1938255221968
REQ-005312,/products,151,200,browser,866.3633708551764
REQ-113158,/products,1636,404,mobile_app,106.61117318121
REQ-073137,/auth/logout,653,200,browser,239.05763134972105
REQ-098211,/orders,2245,400,mobile_app,83.9276377521347
REQ-101336,/auth/logout,3688,200,mobile_app,599.0824337049961
REQ-115906,/orders,70,500,mobile_app,154.14568110004885
REQ-118112,/products,4368,200,mobile_app,419.56015978914365
REQ-113112,/products,1606,200,browser,233.6917419665272
REQ-124364,/auth/login,577,400,mobile_app,964.091365167149
REQ-077905,/auth/logout,3712,200,mobile_app,856.9541374999463
REQ-044984,/products,1825,200,browser,348.8305063181573
REQ-064017,/auth/login,1928,200,browser,951.7354884239388
REQ-021013,/auth/login,3148,200,other,898.3660183384803
REQ-144678,/products,293,500,mobile_app,306.8071149090695
REQ-039880,/auth/logout,1998,401,mobile_app,132.1162458895414
REQ-135915,/auth/logout,1442,200,browser,897.6582416178932
REQ-083995,/auth/logout,980,200,browser,570.6362117447715
REQ-123831,/auth/logout,1691,200,browser,976.7195883071516
REQ-047079,/auth/logout,4980,200,script,168.66128802928478
REQ-083529,/orders,339,401,mobile_app,108.55191110638944
REQ-112630,/users,1978,404,script,925.6979888174365
REQ-131657,/users,3862,200,script,357.7780210375658
REQ-019909,/auth/login,4335,200,other,568.9173600519989
REQ-096524,/users,1839,200,browser,448.9985487109777
REQ-081048,/products,2752,200,script,830.94931613715
REQ-079422,/users,1041,200,script,728.0308817419001
REQ-052093,/orders,4168,200,script,113.62340437176952
REQ-002521,/products,4016,200,mobile_app,890.9102016898257
REQ-011835,/orders,1078,200,mobile_app,751.6318257517742
REQ-068276,/users,2891,200,browser,362.0684248475183
REQ-003101,/users,2757,200,mobile_app,244.677021954309
REQ-135297,/orders,1175,200,mobile_app,1012.2020894087808
REQ-112429,/orders,3296,500,other,765.1598097425411
REQ-029589,/orders,4353,404,browser,371.3210202223343
REQ-001402,/users,897,200,browser,997.1669064425628
REQ-120845,/products,1084,201,mobile_app,982.3488402833776
REQ-052993,/users,685,200,other,304.54874945780244
REQ-044823,/products,4549,200,browser,202.26466820848287
REQ-115328,/users,1768,200,browser,277.8975011768268
REQ-021543,/auth/login,21,200,mobile_app,605.172891037158
REQ-133327,/orders,506,404,browser,741.0000634203737
REQ-084855,/products,583,400,mobile_app,834.3485929819525
