order_id,client_age,gender,procedure_price,procedure_duration,master_rating,return_visits,satisfaction_score
ID0165,35.0,male,2699.16,70,low,4,5.0
ID0771,18.0,male,899.75,28,top,8,10.0
ID0756,37.0,female,2801.23,75,top,7,8.0
ID0873,28.0,female,2888.61,89,med,5,8.0
ID0688,48.0,male,2478.22,58,top,10,9.0
ID0762,,female,970.56,18,med,4,7.0
ID0776,41.0,female,2183.51,55,med,4,4.0
ID0998,39.0,male,1654.01,45,med,9,8.0
ID0451,18.0,female,2031.95,54,top,7,7.0
ID0675,57.0,male,2312.29,64,med,10,8.0
ID0859,21.0,female,2567.4,73,low,2,6.0
ID0953,29.0,male,1918.0,48,med,6,6.0
ID0950,29.0,female,1683.73,32,low,3,6.0
ID0827,48.0,female,2498.22,66,med,5,7.0
ID0689,36.0,female,2406.28,69,low,3,7.0
ID0937,50.0,male,1781.75,41,low,4,7.0
ID0927,50.0,female,2263.6,68,low,4,3.0
ID0367,30.0,male,804.37,15,top,10,6.0
ID0711,57.0,female,2662.68,63,med,5,8.0
ID0563,43.0,female,2168.19,60,top,11,9.0
ID0115,35.0,male,2828.62,76,low,5,4.0
ID0963,43.0,female,,75,top,6,6.0
ID0525,23.0,female,,44,low,5,7.0
ID0699,27.0,female,2366.67,57,low,6,7.0
ID0592,18.0,female,2716.78,79,top,6,9.0
ID0715,49.0,male,2121.34,51,top,7,10.0
ID0009,56.0,male,1758.62,34,low,10,6.0
ID0634,25.0,female,2141.43,54,med,5,9.0
ID0440,20.0,female,1579.05,50,top,6,10.0
ID0282,43.0,female,1876.14,45,low,3,5.0
ID0614,38.0,male,2382.92,67,top,12,10.0
ID0037,40.0,female,2407.53,67,top,8,8.0
ID0227,38.0,female,2248.42,63,med,4,10.0
ID0169,34.0,female,2122.98,56,low,3,7.0
ID0233,25.0,female,2696.11,76,low,5,6.0
ID0050,48.0,male,1656.56,43,med,9,9.0
ID0277,43.0,female,1639.78,37,med,5,5.0
ID0288,27.0,female,2044.83,52,top,10,8.0
ID0847,48.0,male,2821.78,78,top,9,10.0
ID0616,18.0,female,3161.2,85,low,5,6.0
ID0977,41.0,female,1827.74,40,low,1,4.0
ID0458,37.0,female,1933.15,43,med,7,5.0
ID0816,38.0,female,2500.57,66,top,8,6.0
ID0878,21.0,female,3245.21,85,med,5,5.0
ID0121,35.0,male,2734.51,66,med,8,6.0
ID0553,46.0,female,3309.57,93,top,6,5.0
ID0742,44.0,male,2351.26,63,low,11,9.0
ID0898,41.0,female,,76,low,4,3.0
ID0574,54.0,male,2695.17,58,low,5,10.0
ID0507,36.0,male,916.15,21,top,9,9.0
