customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,payment_method,churn,customer_satisfaction
1976,68,37.25,2533.0,Month-to-month,No,Mailed check,1,2.0
1835,5,100.22,501.1,One year,Fiber optic,Mailed check,0,4.0
38,6,43.78,262.68,One year,No,Mailed check,1,1.0
1863,66,82.57,5449.62,Month-to-month,Fiber optic,Bank transfer,1,
272,61,138.16,8427.76,Two year,Fiber optic,Electronic check,1,
102,63,63.79,4018.77,Month-to-month,No,Mailed check,1,2.0
2331,50,131.89,6594.5,Two year,DSL,Bank transfer,1,1.0
2221,65,143.56,9331.4,One year,Fiber optic,Credit card,1,1.0
1402,8,35.19,281.52,One year,No,Mailed check,0,5.0
980,52,60.32,3136.64,Two year,Fiber optic,Mailed check,1,1.0
490,9,28.48,256.32,Month-to-month,No,Mailed check,1,5.0
2598,50,49.97,2498.5,Month-to-month,DSL,Electronic check,1,1.0
300,32,91.36,2923.52,Month-to-month,Fiber optic,Mailed check,1,
1168,58,134.04,7774.32,One year,No,Electronic check,0,
616,1,28.01,28.01,Two year,Fiber optic,Credit card,1,5.0
2975,29,40.95,1187.55,Month-to-month,Fiber optic,Electronic check,1,
1788,57,48.27,2751.39,One year,Fiber optic,Electronic check,1,
751,28,101.41,2839.48,Two year,DSL,Mailed check,0,5.0
132,54,118.65,6407.1,Month-to-month,DSL,Bank transfer,1,4.0
1852,26,82.54,2146.04,Month-to-month,Fiber optic,Electronic check,1,4.0
869,29,62.84,1822.36,Two year,No,Mailed check,0,
1195,22,74.26,1633.72,Month-to-month,No,Mailed check,1,2.0
2772,66,39.39,2599.74,Month-to-month,DSL,Mailed check,1,2.0
1853,45,113.33,5099.85,Month-to-month,Fiber optic,Electronic check,1,3.0
1335,2,44.12,88.24,One year,Fiber optic,Electronic check,1,
2763,11,75.85,848.0,Month-to-month,Fiber optic,Bank transfer,1,1.0
1140,13,132.68,1724.84,One year,DSL,Electronic check,1,3.0
780,15,112.02,1680.3,Month-to-month,Fiber optic,Mailed check,1,1.0
631,52,114.22,5939.44,Month-to-month,No,Electronic check,0,5.0
255,0,65.96,0.0,One year,Fiber optic,Credit card,1,3.0
1415,32,60.04,1921.28,Month-to-month,No,Mailed check,0,3.0
1866,10,100.75,1007.5,Two year,No,Bank transfer,0,3.0
2213,55,88.57,4871.35,Month-to-month,No,Electronic check,1,2.0
1730,5,141.47,707.35,Month-to-month,No,Mailed check,1,4.0
1093,46,149.64,6883.44,One year,No,Credit card,0,3.0
2161,48,52.5,2520.0,One year,Fiber optic,Electronic check,1,3.0
2649,44,141.55,6228.2,Month-to-month,Fiber optic,Mailed check,1,3.0
2935,26,59.85,1556.1,One year,DSL,Electronic check,1,2.0
1015,26,29.23,759.98,Month-to-month,No,Mailed check,0,3.0
2090,3,52.44,157.32,Month-to-month,DSL,Bank transfer,1,1.0
79,46,142.24,6543.04,One year,DSL,Credit card,0,
1377,62,147.64,9153.68,Two year,Fiber optic,Electronic check,1,1.0
2706,40,141.11,5644.4,One year,Fiber optic,Electronic check,1,
761,0,121.53,0.0,Month-to-month,Fiber optic,Electronic check,0,
2326,30,137.8,4134.0,Month-to-month,Fiber optic,Mailed check,1,3.0
2569,63,35.25,2220.75,Month-to-month,DSL,Mailed check,1,3.0
10,49,27.87,1365.63,Two year,Fiber optic,Credit card,0,
152,56,138.38,7749.28,Month-to-month,No,Electronic check,0,5.0
2487,29,64.4,1867.6,Month-to-month,Fiber optic,Credit card,0,3.0
1749,38,22.52,855.76,One year,Fiber optic,Bank transfer,1,1.0
1682,54,61.01,3294.54,One year,No,Mailed check,1,2.0
203,39,94.44,3683.16,One year,No,Bank transfer,0,
153,60,43.32,2599.2,Two year,Fiber optic,Electronic check,0,5.0
1385,42,23.01,966.42,Two year,Fiber optic,Bank transfer,1,3.0
2853,3,107.5,322.5,One year,DSL,Mailed check,1,1.0
2916,16,37.97,607.52,Month-to-month,Fiber optic,Bank transfer,1,5.0
1177,60,69.0,4140.0,One year,Fiber optic,Mailed check,1,2.0
1164,27,111.55,3011.85,Month-to-month,No,Bank transfer,0,4.0
437,6,84.93,509.58,Month-to-month,DSL,Bank transfer,1,2.0
1994,48,119.39,5730.72,One year,DSL,Electronic check,1,2.0
875,31,46.57,1443.67,One year,Fiber optic,Mailed check,1,3.0
1747,36,122.56,4412.16,Two year,Fiber optic,Bank transfer,1,1.0
145,57,58.63,3341.91,Month-to-month,No,Mailed check,1,1.0
2902,49,149.7,7335.3,Two year,DSL,Electronic check,1,3.0
2079,57,127.15,7247.55,One year,Fiber optic,Mailed check,0,
