client_id,age,gender,manager_id,destination,tour_duration_days,tour_cost_rub,extras_count,post_tour_rating,refund_requested
1,56,М,15,Европа,16,172337.47,4,5.0,Нет
2,69,,9,Таиланд,5,196280.25,5,5.0,Да
3,46,М,2,Турция,13,99855.94,3,4.0,Нет
4,32,,10,ОАЭ,14,187582.88,7,5.0,Да
5,60,Ж,8,Таиланд,4,101899.55,2,5.0,Нет
6,25,Ж,14,Европа,9,117929.28,2,3.0,Нет
7,78,,2,ОАЭ,13,169875.93,7,5.0,Нет
8,38,,11,ОАЭ,11,175200.19,5,5.0,Нет
9,56,М,13,ОАЭ,11,157989.64,6,5.0,Нет
10,75,Ж,5,Турция,6,36710.49,1,4.0,Нет
11,36,М,7,Турция,7,75790.38,2,5.0,Нет
12,40,М,8,Египет,5,87246.25,2,5.0,Нет
13,28,М,1,Египет,3,86065.1,4,4.0,Да
14,28,Ж,6,Египет,7,97153.64,3,,Нет
15,41,Ж,1,Европа,17,198382.22,6,4.0,Нет
16,70,М,2,Турция,11,117450.63,6,3.0,Нет
17,53,М,15,Европа,17,183806.07,6,5.0,Нет
18,57,,1,Турция,11,122534.41,6,3.0,Нет
19,41,М,11,Таиланд,6,87777.79,1,5.0,Нет
20,20,М,5,ОАЭ,9,187540.77,10,4.0,Нет
21,39,,10,ОАЭ,7,157951.57,7,4.0,Нет
22,70,М,15,Европа,6,132514.54,4,4.0,Нет
23,19,М,9,Таиланд,10,288449.51,7,5.0,Нет
24,41,М,6,Египет,3,114783.29,6,3.0,Нет
25,61,Ж,11,ОАЭ,14,140791.76,4,,Нет
26,47,М,11,ОАЭ,11,183362.84,6,,Нет
27,55,Ж,1,Турция,9,113208.5,6,4.0,Да
28,19,М,13,Мальдивы,13,178319.86,4,4.0,Да
29,77,Ж,1,Турция,10,113059.41,3,5.0,Нет
30,38,Ж,2,Турция,8,91368.32,4,,Нет
31,50,,9,Турция,11,306886.62,6,3.0,Нет
32,29,М,3,Турция,5,56344.73,0,5.0,Нет
33,75,М,15,Европа,14,150145.67,2,5.0,Нет
34,39,Ж,1,Турция,6,115690.23,6,5.0,Нет
35,78,Ж,5,Египет,8,113446.19,5,4.0,Нет
36,61,М,7,Таиланд,10,124409.09,3,5.0,Да
37,42,М,6,Египет,7,107714.62,5,5.0,Нет
38,66,Ж,12,Мальдивы,9,167996.18,3,5.0,Нет
39,44,Ж,1,Турция,8,81942.03,2,4.0,Нет
40,76,Ж,5,Египет,6,78638.22,3,,Нет
41,80,М,15,Европа,13,133201.53,1,4.0,Нет
42,59,М,5,Египет,5,109775.71,6,3.0,Нет
43,45,М,6,Мальдивы,10,191643.18,5,5.0,Нет
44,77,Ж,3,Таиланд,9,117935.81,4,5.0,Нет
45,33,М,5,Египет,9,58118.15,0,4.0,Да
46,32,Ж,7,Европа,16,160364.1,2,4.0,Нет
47,79,М,5,Египет,6,119342.28,6,5.0,Нет
48,79,М,5,Египет,8,101436.9,2,2.0,Нет
49,64,Ж,5,Египет,5,112417.76,6,4.0,Нет
50,79,Ж,10,Таиланд,8,116014.62,4,5.0,Нет
51,68,,10,ОАЭ,10,147869.7,6,4.0,Нет
52,61,Ж,3,Европа,6,130920.18,1,3.0,Нет
53,72,Ж,1,Турция,10,104478.33,4,5.0,Нет
54,69,Ж,5,Египет,4,66933.73,1,3.0,Нет
55,74,М,14,Европа,15,156459.44,3,3.0,Нет
56,20,,9,Таиланд,9,175320.3,4,5.0,Нет
57,54,М,14,Европа,13,137663.2,0,4.0,Да
58,68,Ж,1,Турция,3,65076.41,0,4.0,Нет
59,24,Ж,3,Европа,12,179821.67,6,5.0,Нет
60,38,М,13,Европа,11,156571.62,4,2.0,Нет
61,26,Ж,13,Турция,8,83558.45,3,4.0,Нет
62,56,М,4,Египет,8,120293.73,6,4.0,Нет
63,35,,14,Европа,10,143798.78,4,5.0,Нет
64,21,,1,Турция,11,85642.34,4,4.0,Нет
65,42,М,1,Турция,4,116368.26,6,5.0,Нет
66,77,М,8,Таиланд,3,98941.87,5,4.0,Нет
67,31,Ж,2,Турция,8,92751.68,4,4.0,Нет
68,67,М,12,Таиланд,12,142563.57,5,5.0,Нет
69,75,М,15,Европа,15,149344.67,0,4.0,Нет
70,26,Ж,8,Таиланд,10,92571.31,0,4.0,Да
71,43,М,7,Турция,5,75062.89,4,4.0,Нет
72,70,,10,ОАЭ,10,130986.54,3,5.0,Нет
73,19,,10,ОАЭ,8,145215.15,6,5.0,Нет
74,37,М,2,Турция,3,88617.89,5,5.0,Нет
75,45,М,6,Таиланд,11,145319.84,5,5.0,Нет
76,64,Ж,6,Египет,3,60626.11,4,5.0,Нет
77,77,Ж,3,Турция,5,50886.1,0,5.0,Нет
78,24,М,11,ОАЭ,14,149159.5,4,5.0,Нет
79,61,М,2,Египет,5,95432.39,6,5.0,Нет
80,78,М,12,Турция,6,111854.91,6,5.0,Нет
81,25,Ж,1,Турция,10,95850.24,5,5.0,Нет
82,64,М,6,Египет,3,73001.06,4,5.0,Нет
83,52,М,12,Мальдивы,11,217510.69,7,5.0,Нет
84,31,Ж,5,Египет,8,108005.71,3,4.0,Нет
85,34,М,14,Европа,5,120239.03,2,3.0,Нет
86,53,М,14,Египет,3,57826.04,2,4.0,Нет
87,67,,11,ОАЭ,12,172944.46,8,5.0,Да
88,57,М,9,Мальдивы,14,431280.02,9,5.0,Нет
89,21,М,1,Мальдивы,9,193392.63,6,5.0,Нет
90,19,Ж,15,Мальдивы,10,208358.47,6,5.0,Нет
91,79,М,15,Европа,16,161592.44,3,4.0,Да
92,23,Ж,7,Таиланд,3,110892.32,5,4.0,Нет
93,71,,15,Египет,12,87036.58,2,5.0,Да
94,59,М,5,Египет,9,129831.18,6,,Нет
95,21,М,5,Турция,7,73543.41,3,,Да
96,71,М,14,Таиланд,7,123955.04,6,,Нет
97,46,Ж,2,ОАЭ,7,131299.15,3,5.0,Нет
98,80,М,11,Таиланд,12,107605.69,4,3.0,Нет
99,35,Ж,3,Турция,13,112739.61,4,,Нет
100,43,,7,Таиланд,8,121609.26,6,4.0,Нет
101,61,М,6,Египет,11,86165.49,1,3.0,Нет
102,51,Ж,12,ОАЭ,7,129479.44,4,5.0,Нет
103,27,Ж,2,Турция,10,131058.35,5,3.0,Нет
104,79,Ж,6,Мальдивы,11,213068.79,8,5.0,Да
105,53,М,2,Египет,3,104426.51,4,5.0,Нет
106,31,М,2,Турция,11,78869.52,0,4.0,Нет
107,48,М,2,Египет,3,61985.41,2,3.0,Нет
108,65,Ж,14,Европа,12,145308.11,2,2.0,Нет
109,32,М,15,Европа,9,153955.9,5,4.0,Нет
110,25,Ж,11,Египет,5,62421.57,0,4.0,Нет
111,31,Ж,3,Европа,15,167861.09,5,4.0,Нет
112,40,,15,ОАЭ,13,215901.78,10,5.0,Нет
113,77,М,2,Турция,9,92253.98,2,3.0,Нет
114,74,М,4,Египет,11,126317.82,6,5.0,Нет
115,79,Ж,9,Таиланд,9,377929.32,8,4.0,Нет
116,57,Ж,6,Турция,13,140446.76,6,4.0,Нет
117,38,М,1,Турция,5,95943.09,5,5.0,Нет
118,33,М,8,Таиланд,13,148274.83,4,3.0,Нет
119,62,М,15,Европа,17,178362.55,5,3.0,Нет
120,35,М,12,Европа,19,189026.51,4,4.0,Нет
121,64,Ж,14,Европа,18,135217.3,0,4.0,Нет
122,70,М,7,Таиланд,3,94619.57,2,4.0,Нет
