season,weekday,guests,nights,stars,dist_center,breakfast,early_book,cancel_days,price
3,2,1,8,3,4.58,0,73,-1,3369.41
4,6,2,19,4,11.75,0,26,-1,3685.47
1,2,5,19,4,11.71,0,162,-1,2552.05
3,5,4,17,3,7.52,0,61,-1,3417.73
3,3,2,18,4,1.72,1,262,-1,4954.84
4,2,2,12,3,13.8,1,198,22,3021.03
1,4,3,9,4,10.13,1,213,4,3073.5
1,2,2,16,5,3.93,0,265,-1,4472.48
3,4,5,18,5,9.27,0,26,22,5798.57
2,6,4,16,4,6.25,0,67,17,3108.69
3,2,3,16,3,9.64,1,194,20,3576.19
3,4,1,4,3,7.27,1,303,-1,3059.69
3,2,1,7,5,7.44,1,362,-1,6970.36
3,6,4,1,3,11.12,0,322,-1,4669.78
4,2,1,20,5,9.32,0,344,26,5301.79
1,1,5,1,4,1.48,0,326,-1,3312.02
4,4,2,8,5,1.26,1,301,-1,5148.65
4,6,4,8,4,4.78,0,97,22,3819.04
4,4,3,10,4,6.62,0,201,-1,3026.51
3,4,2,1,4,4.35,1,247,8,4677.87
2,0,1,21,5,9.88,1,347,-1,4612.03
1,6,1,21,5,3.17,0,10,-1,4924.57
2,2,3,14,4,10.65,0,31,-1,3001.6
4,4,5,14,4,11.67,1,327,-1,3736.49
4,5,3,10,4,2.13,0,147,-1,4865.67
2,0,4,19,4,9.87,1,132,-1,2643.87
2,1,3,16,5,14.43,0,268,22,4262.5
2,4,1,9,4,3.13,1,202,23,3528.15
4,4,5,20,4,13.67,1,121,-1,3565.82
4,0,5,16,4,9.21,1,97,-1,3957.9
1,2,6,20,4,8.99,0,235,-1,3417.04
1,5,3,8,5,1.06,0,130,-1,5067.35
4,1,4,7,4,11.3,0,251,-1,3230.84
2,4,1,11,3,7.33,1,251,-1,2896.55
2,2,2,21,4,10.9,0,352,-1,3699.75
1,6,5,6,3,12.19,0,55,-1,2231.18
4,5,3,15,4,8.0,0,248,-1,4109.98
1,6,6,19,,4.18,1,201,4,5836.59
1,5,4,14,4,2.38,1,248,-1,3487.95
3,1,4,15,5,2.66,1,301,14,6825.59
3,3,1,6,,13.04,0,175,-1,2530.42
3,5,5,10,,2.12,1,104,-1,6632.14
2,3,1,14,,5.96,0,244,-1,3284.6
4,6,6,16,3,5.21,1,224,1,3800.41
4,5,2,13,4,13.02,0,352,-1,4384.09
4,1,2,11,5,7.32,0,150,-1,4618.46
4,0,2,3,,14.95,0,310,27,1500.0
3,1,4,8,4,11.13,0,53,-1,4025.15
2,1,5,3,5,12.81,0,320,-1,3197.53
2,0,1,2,3,1.75,0,218,-1,2600.1
3,0,1,21,4,4.02,0,306,-1,5290.11
