dose,delta
62.9,27.1
72.9,27.2
26.9,11.2
13.9,11.0
28.5,12.2
19.5,18.1
75.5,24.6
71.1,27.3
52.6,25.0
50.3,18.8
11.7,4.8
77.7,25.0
64.2,21.7
96.6,32.3
69.8,26.2
64.6,24.7
50.4,22.2
30.3,15.5
70.3,21.3
76.2,31.3
33.2,12.9
18.6,5.7
96.5,35.1
32.7,14.4
35.4,13.8
79.1,27.2
81.8,32.3
59.0,22.6
44.4,17.8
44.3,19.0
35.7,11.8
76.6,28.2
31.5,13.7
49.4,22.3
89.5,32.2
36.0,21.5
80.6,31.0
78.3,29.0
47.6,17.4
30.3,10.8
47.8,16.5
15.8,15.1
63.7,25.8
85.4,29.5
90.3,35.9
28.0,7.3
55.2,18.9
90.6,31.6
33.0,7.1
88.1,36.3
11.5,12.9
59.7,21.4
57.5,22.4
93.1,32.4
32.1,18.6
15.8,12.4
91.2,32.5
88.7,39.0
24.7,9.6
100.0,33.8
41.2,18.9
38.2,17.6
86.2,32.9
89.2,31.6
70.9,29.5
14.8,12.3
60.3,26.0
72.5,27.5
84.2,33.6
38.0,14.6
55.5,26.5
86.4,32.2
36.4,17.9
70.9,21.9
47.9,15.1
71.4,22.6
29.9,18.3
59.4,21.7
86.4,28.3
76.3,28.4
55.0,14.0
44.2,26.3
80.9,34.2
25.2,12.4
62.8,23.2
48.8,21.4
15.6,11.0
36.1,16.8
76.1,27.5
36.0,17.7
45.1,19.3
67.2,24.0
84.8,28.7
38.7,19.9
24.3,12.5
74.0,27.0
88.5,29.2
63.4,22.6
72.5,26.2
25.6,12.0
