machine_id,hour,day_type,drinks_sold,beans_level,milk_level,pressure,last_clean_hours,water_temp
44,13,0,10,41.1,52.5,5.07,75,72.9
57,10,1,9,40.6,70.2,4.01,114,71.3
30,19,1,6,91.0,97.0,3.07,63,73.1
22,9,0,19,14.5,43.5,5.7,65,82.2
41,15,1,14,41.5,40.6,6.16,79,80.5
9,20,1,14,20.7,37.0,5.98,4,88.3
31,23,0,16,12.6,82.7,2.82,68,83.0
52,18,0,15,20.2,15.6,5.99,92,75.3
29,13,1,12,48.8,34.4,3.18,10,84.6
38,14,0,9,71.8,72.5,6.65,75,83.1
30,21,1,14,36.0,1.6,5.01,50,84.7
81,21,0,12,86.5,28.9,7.94,23,93.7
99,12,0,4,49.4,64.1,7.45,61,78.6
1,19,0,14,97.1,18.6,7.07,47,92.0
77,19,0,2,95.9,30.3,6.91,3,80.2
76,9,1,13,79.6,48.6,5.92,103,84.2
92,20,0,12,93.9,42.2,2.43,103,70.6
11,8,0,10,73.6,10.6,6.59,17,90.6
38,10,1,9,90.6,93.8,5.27,22,84.0
65,6,0,10,31.3,4.4,5.29,116,77.6
95,8,0,10,41.1,75.0,4.65,91,
12,20,1,13,77.8,7.1,8.5,120,81.5
45,13,1,9,48.2,46.7,3.75,16,87.0
26,9,0,10,85.4,17.5,4.22,80,76.4
16,7,0,15,89.0,14.1,8.74,104,78.9
94,15,0,12,37.0,12.6,7.67,3,92.3
97,9,0,14,84.1,45.3,2.1,52,75.1
59,8,0,16,23.9,51.5,8.34,111,80.6
63,7,0,17,40.1,13.3,3.59,33,81.0
87,22,0,11,56.6,97.9,6.94,42,87.0
34,18,0,14,30.4,25.8,5.87,2,86.4
69,10,0,18,62.1,45.9,5.76,39,83.3
82,14,0,8,62.1,21.6,7.03,46,80.3
29,11,1,10,28.6,49.4,3.45,48,78.5
70,10,1,11,81.6,75.6,3.11,27,84.2
73,15,0,14,66.8,52.1,6.56,15,91.6
95,13,0,16,38.6,28.6,4.03,7,89.5
97,12,0,13,30.9,24.8,8.82,109,82.1
62,12,0,12,89.1,75.9,5.16,57,81.2
27,11,0,17,85.2,11.8,2.78,42,
59,8,0,10,30.7,37.0,6.8,9,88.7
78,20,0,11,13.2,15.1,4.14,105,
93,9,1,13,82.4,25.8,3.04,6,85.2
36,17,0,13,65.4,15.3,4.96,120,77.3
92,11,0,15,19.1,88.7,8.75,57,84.5
21,9,1,14,62.9,73.2,4.88,76,84.4
67,20,0,8,50.7,56.1,4.43,30,82.3
19,14,0,12,79.7,22.4,5.11,55,78.6
95,10,0,15,28.8,51.0,2.08,84,78.7
99,18,0,13,50.8,52.1,2.93,84,72.6
67,23,1,9,24.1,59.0,7.95,54,
90,10,0,11,96.2,6.0,8.85,110,83.5
63,21,0,8,80.1,97.3,3.11,27,81.2
16,19,0,9,76.3,46.5,5.75,84,75.0
11,21,0,9,72.1,92.7,8.76,59,86.9
21,20,1,15,48.1,1.0,3.1,7,90.9
16,9,1,12,93.1,24.8,3.3,40,82.9
9,12,0,18,16.6,10.4,8.49,104,92.0
64,21,0,13,82.3,77.0,6.94,94,79.0
21,13,0,11,29.4,32.0,3.06,72,69.6
89,22,1,12,39.2,84.0,4.75,2,84.9
81,21,0,11,56.7,83.2,2.39,14,74.9
49,15,0,10,80.4,66.8,5.03,10,91.5
13,15,0,13,85.5,66.6,7.45,50,86.2
63,7,0,13,62.5,70.0,5.88,18,92.4
46,14,0,14,46.3,67.4,6.53,18,87.4
28,22,0,10,95.2,38.7,4.29,16,
75,16,0,20,32.2,68.3,3.13,52,77.9
35,15,0,15,82.3,89.7,2.09,69,
98,22,0,14,65.1,33.3,7.75,52,90.1
51,9,1,6,43.9,94.5,6.46,31,84.1
75,21,0,11,10.1,1.4,3.61,101,70.1
6,20,0,18,50.2,34.9,4.93,84,83.9
28,10,0,12,34.9,13.2,7.61,23,90.9
10,11,0,15,19.4,12.7,5.77,96,78.3
32,22,0,10,16.8,81.5,4.1,42,79.2
5,6,1,15,41.3,91.8,3.87,81,
78,9,0,15,65.3,77.8,3.52,62,81.6
31,22,1,8,85.4,97.7,7.77,77,82.7
50,14,0,10,26.5,21.6,6.07,113,68.3
74,7,0,12,48.2,14.1,6.96,50,80.0
57,13,0,11,45.3,52.1,8.02,77,84.9
86,20,0,7,56.2,82.9,8.91,81,
25,12,1,14,82.9,4.0,3.75,15,83.1
97,11,1,20,59.8,99.6,3.27,90,81.4
45,6,1,9,86.2,60.2,5.23,44,
97,20,1,14,56.7,97.9,2.25,92,75.2
28,12,1,6,64.3,36.5,7.54,42,84.7
3,22,0,19,49.4,45.8,8.19,45,96.5
80,7,0,17,84.1,75.2,6.8,94,87.4
98,14,0,8,93.1,79.3,3.88,107,66.7
12,14,0,11,67.5,23.3,2.86,35,
38,18,1,14,83.9,93.0,4.68,22,83.3
14,11,0,11,15.3,86.7,7.83,74,80.0
28,11,0,15,91.6,1.8,4.43,75,74.4
28,8,0,13,27.0,12.9,2.24,38,76.6
74,22,0,11,33.1,49.6,3.92,97,72.3
31,22,0,13,14.8,46.1,8.93,70,90.1
1,17,0,19,96.9,70.8,6.74,64,
46,21,0,14,86.7,9.0,8.31,101,77.6
77,20,0,13,92.2,64.5,7.42,7,90.9
83,18,0,9,86.2,61.6,5.78,118,74.6
21,6,0,9,53.2,23.4,3.04,44,76.9
74,22,0,13,93.2,54.2,4.44,76,81.6
26,8,0,7,97.3,22.2,6.09,7,88.7
66,20,0,14,55.2,14.7,8.09,66,85.7
80,9,0,12,25.8,57.3,3.88,60,79.8
55,9,0,10,69.3,97.7,2.85,1,
91,23,0,12,97.8,23.7,5.91,62,84.5
92,22,0,7,88.5,35.5,3.24,87,69.4
20,16,0,14,87.6,25.7,6.27,89,83.0
46,8,0,8,94.0,26.6,3.84,18,81.9
79,13,1,10,90.5,40.4,3.62,108,72.2
58,19,0,12,79.9,70.2,4.79,7,
83,6,1,13,74.6,3.9,6.15,115,75.1
5,19,0,18,33.8,95.7,5.82,54,
18,7,0,10,65.9,4.6,3.71,67,74.0
56,9,0,15,56.9,88.1,8.24,93,85.5
68,11,0,5,87.6,89.4,2.77,10,84.9
2,6,0,14,54.3,52.4,2.28,61,79.6
0,22,0,10,21.5,13.7,6.22,59,82.3
57,13,0,11,10.4,56.5,2.86,59,80.1
37,6,0,10,71.0,62.9,5.53,107,73.8
14,10,0,12,59.5,85.8,8.66,69,86.8
33,21,0,12,39.8,55.1,6.89,63,84.4
60,11,0,9,25.2,41.1,6.32,98,73.8
34,13,0,10,52.0,83.8,6.02,8,91.8
63,18,1,14,19.0,98.1,3.26,78,83.6
24,21,1,12,40.2,64.5,5.03,104,76.6
23,8,1,10,44.1,87.4,4.4,55,84.3
11,17,0,13,51.9,59.9,8.67,6,89.1
17,21,1,14,52.0,69.0,3.7,1,89.9
14,16,1,14,33.1,68.8,5.3,56,85.1
79,15,0,8,86.5,70.5,8.57,97,85.8
26,9,0,11,42.0,32.1,7.52,104,80.5
71,17,1,7,30.7,57.6,8.75,75,80.2
59,7,0,7,25.8,59.4,6.26,114,77.6
45,10,0,13,39.0,31.5,4.34,88,76.1
88,13,0,14,16.1,35.0,7.79,10,89.7
16,12,0,10,13.0,76.2,4.04,108,73.7
92,19,1,11,64.5,58.3,3.15,116,72.8
52,8,0,12,65.7,14.9,6.94,23,92.6
7,23,0,12,57.7,83.8,6.47,16,90.8
78,21,0,12,78.6,88.3,8.15,101,78.8
26,23,0,9,13.5,46.6,8.73,16,88.1
45,21,0,11,94.2,20.9,8.0,56,82.0
49,13,0,11,18.6,94.8,2.42,108,74.7
70,6,1,16,70.7,88.2,6.65,95,83.3
2,22,0,12,22.0,24.4,7.49,6,87.9
92,17,0,14,89.2,9.6,8.87,30,95.7
63,16,0,11,56.0,44.1,4.62,63,81.3
43,10,0,12,17.4,67.6,3.19,101,74.5
52,17,1,9,65.5,17.5,7.97,1,92.5
23,22,1,11,10.8,51.3,4.22,51,78.8
59,11,1,12,79.8,42.5,6.19,106,81.7
2,6,0,12,68.6,89.1,4.73,89,
19,10,0,11,29.1,43.0,4.82,46,84.0
45,19,0,12,43.7,53.4,7.13,21,90.4
14,10,0,17,10.7,95.5,4.53,99,78.4
24,6,1,8,72.4,30.0,6.85,38,
93,23,1,8,39.0,28.9,2.1,69,
77,21,1,12,61.4,80.0,4.27,63,78.2
70,14,1,6,96.1,27.8,4.23,113,71.8
16,10,1,14,37.0,83.2,7.24,50,91.5
83,7,0,14,99.1,9.6,4.2,12,89.6
99,20,0,9,66.9,11.1,6.43,69,80.8
8,12,0,14,31.8,90.1,6.82,73,81.2
37,9,0,14,49.3,54.1,6.61,44,83.6
47,6,0,12,76.6,71.9,6.22,52,
59,18,0,14,50.2,22.5,4.9,9,93.3
62,12,1,8,16.2,16.6,4.61,99,75.9
85,20,0,10,25.2,83.5,5.95,65,82.8
1,19,1,12,81.2,35.9,2.45,118,75.2
87,23,1,13,68.4,45.5,8.13,111,
71,15,0,11,61.3,2.8,7.78,10,88.5
10,14,0,13,25.1,38.6,4.42,46,81.0
63,13,0,6,85.4,77.0,5.97,103,77.6
76,15,1,11,96.5,82.1,8.53,100,78.5
80,22,1,10,13.7,69.9,3.9,58,85.7
71,7,1,12,17.0,69.2,7.2,37,93.4
20,11,0,14,89.6,50.6,2.58,52,79.7
17,10,0,7,83.4,53.8,5.66,112,
93,14,0,18,65.6,74.3,8.19,99,
63,10,1,18,95.0,24.7,5.86,81,84.3
