days_since_last_visit,visits_last_30d,avg_session_len_min,classes_attended,trainer_assigned,promo_used_last_90d,contract_type,days_to_expiry,feedback_score,missed_classes
6,2,47.937200176660966,3,0,0,5,41,4.132326373571576,2
7,8,50.28221364651145,4,0,1,4,22,3.248080363067317,3
7,2,64.8463876551032,2,1,1,5,33,4.825126384115644,4
7,5,41.96763892836351,3,0,0,4,2,3.9314427412941555,2
18,8,81.45974570594326,7,1,1,4,29,4.411851862297077,0
4,4,33.139402220632924,1,0,1,3,49,3.6912343436009856,0
0,9,63.21314541746077,5,0,0,3,52,3.859521801241255,1
10,6,44.05274771206278,5,0,2,4,33,4.924436467959001,3
8,8,67.07967485343808,4,0,0,4,31,3.204957949465282,2
0,10,45.438977120342884,7,0,0,4,52,4.189316556210964,1
2,6,68.86419019939692,7,0,0,3,28,4.122557925729544,1
10,6,72.22888050965807,4,0,1,4,8,3.5405115415936703,0
4,3,73.53924650178315,2,0,0,2,1,4.213453481544402,2
31,3,52.68825651546022,2,1,1,2,56,3.5928356080305495,0
2,14,82.59737506349218,12,1,2,3,38,5.0,0
0,10,60.82322718564123,7,0,1,2,6,4.531059177051182,0
8,7,59.37650608184396,12,1,0,2,45,3.9933763980929142,2
64,1,68.27267845466973,1,0,3,5,4,2.237758700651436,4
15,2,35.49170424486482,2,0,1,1,7,2.719449325716031,3
6,5,56.58570454979572,2,0,2,5,31,4.861878957686642,1
0,7,65.45354731677533,2,0,1,3,54,3.980974303305166,0
9,12,51.25278066899371,14,0,0,5,53,4.215257892135684,0
3,10,59.42420464401706,11,1,1,4,17,4.022774098703778,1
15,3,85.094269668449,0,1,0,3,37,3.8712933928313,1
13,2,47.997591264764075,3,0,1,4,45,4.947229785058289,1
4,6,72.02436302305988,6,1,0,4,17,3.6727234159079583,1
1,4,50.621862553823064,2,0,1,4,48,3.113505046212549,0
21,4,61.21994082884942,0,0,1,2,40,5.0,1
13,17,68.02353158952295,15,1,3,5,44,4.704358303637104,0
27,1,72.36899703363301,0,0,3,4,15,3.7660107699895207,1
4,5,65.60990665531905,1,0,2,3,20,4.850382860722203,4
15,4,71.16787733976886,1,1,1,5,9,4.877129260998905,1
