distance,cargo_weight,cargo_type,departure_hour,day_of_week,season,weather_score,driver_exp,traffic_index,fuel_consumption
1172.2,14.6,3,2,5,2,2,19,1.9,26.3
686.4,14.4,4,8,0,2,7,23,2.2,29.6
1295.0,4.5,1,17,2,1,1,15,6.5,29.5
1061.2,1.2,2,10,1,1,8,11,7.4,28.5
186.6,6.4,3,4,3,1,1,1,7.8,32.2
1464.7,3.6,3,23,2,1,4,16,5.7,29.3
1153.7,8.2,3,4,5,4,3,23,6.4,26.7
1189.8,19.6,3,2,5,1,2,4,9.8,39.2
235.8,4.0,3,9,6,2,6,7,4.1,27.5
703.1,6.7,1,2,2,4,3,14,2.9,27.1
587.7,14.6,3,14,3,1,2,14,9.7,35.3
1393.8,10.4,4,10,6,3,4,11,9.3,31.6
983.6,1.4,3,22,4,2,5,4,1.1,24.1
1243.0,3.7,3,4,6,2,7,13,4.6,25.4
693.0,18.7,1,6,6,2,1,13,7.6,32.1
379.5,2.5,2,16,0,3,2,5,2.6,22.9
854.1,12.9,3,16,1,4,1,16,1.3,28.2
142.5,16.0,3,8,4,3,8,22,1.3,26.4
1250.1,5.7,3,22,0,1,6,3,6.1,29.3
965.9,14.6,3,20,0,1,3,2,3.1,29.6
1149.2,3.8,4,14,0,3,6,15,3.3,26.2
564.1,6.1,4,17,0,2,9,20,1.1,27.4
1457.5,6.6,2,12,4,1,8,3,7.5,26.8
1345.0,19.9,1,11,1,3,10,24,8.6,32.1
1178.7,4.7,4,13,6,2,3,12,7.6,32.3
332.2,3.0,2,20,0,4,2,3,2.2,26.1
726.7,18.6,2,0,3,4,8,12,9.6,31.8
113.5,3.7,2,2,4,1,10,11,9.7,29.8
273.7,17.6,3,11,2,4,2,10,3.3,30.2
1040.4,13.2,2,13,5,4,8,15,9.8,30.7
1129.9,11.7,2,4,5,3,6,7,5.0,27.1
1452.9,15.2,3,14,4,3,9,25,1.4,25.0
522.4,14.7,3,0,4,2,2,8,6.2,29.9
587.2,2.7,2,5,4,2,4,22,5.7,24.7
730.9,20.0,3,11,6,1,7,21,8.7,36.4
324.7,18.9,3,1,5,1,9,11,4.2,30.8
238.4,18.0,3,15,0,3,9,5,7.9,27.5
,12.6,3,12,5,3,5,25,8.1,32.7
379.0,10.7,1,13,1,1,4,15,1.3,29.3
1021.2,11.0,2,12,6,2,2,9,7.1,29.6
,0.8,4,16,2,3,5,4,5.3,25.8
,10.2,1,15,4,1,10,9,2.8,28.8
,12.7,4,15,5,1,3,17,4.8,32.9
502.9,13.3,1,5,2,4,10,13,8.7,32.0
1256.8,7.0,3,16,6,2,3,2,7.2,28.3
