distance,cargo_weight,cargo_type,departure_hour,day_of_week,season,weather_score,driver_exp,traffic_index
1316.8,0.7,3,6,3,3,6,8,9.6
406.8,19.7,4,15,4,2,5,16,6.2
759.0,18.9,2,18,6,4,3,6,6.0
93.1,6.0,1,22,2,1,6,24,1.3
62.9,11.4,4,23,3,2,5,6,4.3
1072.9,15.5,4,3,4,4,3,25,8.5
221.5,18.4,4,22,6,1,6,19,3.9
,11.9,4,6,1,1,3,11,9.1
1059.2,0.9,3,21,3,3,7,18,5.6
96.7,13.8,3,20,5,4,1,24,8.5
700.7,2.3,3,22,1,1,3,16,8.0
1042.0,13.6,1,12,2,2,5,24,5.2
1340.1,12.0,3,18,3,4,2,23,8.5
483.9,13.0,4,10,4,1,3,22,8.8
1462.6,4.2,3,1,4,1,5,23,9.7
1274.6,10.1,3,11,0,1,5,24,1.7
993.4,12.6,3,4,1,2,4,1,8.3
618.3,6.4,4,2,5,4,9,15,7.0
1081.1,4.0,2,3,4,2,6,17,7.3
1233.5,4.8,2,5,3,2,4,3,9.3
489.8,17.2,3,19,2,4,6,17,1.4
1489.6,9.6,4,23,6,2,4,22,7.8
1367.5,13.4,3,20,6,2,1,19,4.4
754.0,10.5,3,15,2,1,5,8,6.4
1098.1,16.8,1,21,2,1,4,13,3.1
809.8,10.4,3,6,6,3,5,24,3.6
1153.3,2.3,4,21,2,4,6,7,6.5
1249.1,4.4,3,22,2,2,3,13,4.3
83.7,0.8,3,3,6,1,5,21,3.7
164.7,16.7,3,9,0,4,6,13,1.3
,13.4,3,6,4,1,3,3,2.4
1380.5,15.3,3,3,4,1,1,21,6.5
627.5,14.4,3,4,2,3,2,9,4.7
1336.9,16.6,3,23,1,1,5,10,1.3
,19.7,3,4,6,4,7,22,4.2
468.8,13.2,3,15,5,2,7,3,4.3
,5.4,4,20,6,3,8,19,3.1
863.0,2.5,2,18,2,1,5,20,2.5
572.7,12.0,1,10,6,1,9,23,1.1
,15.5,3,0,5,4,10,8,6.7
210.9,11.5,4,10,1,3,1,1,7.9
252.0,6.4,3,6,3,4,2,22,3.1
579.0,14.5,3,20,2,4,4,4,3.9
930.6,9.2,3,22,3,3,5,23,9.1
496.0,6.1,2,5,1,4,3,18,9.7
145.0,16.9,4,3,5,4,3,10,6.1
434.0,11.7,3,19,3,3,1,10,4.6
642.6,6.0,3,20,4,4,10,17,9.9
1488.8,6.9,4,23,4,1,8,22,1.5
619.8,11.6,3,18,4,1,2,1,3.7
179.3,8.7,2,11,5,2,5,1,5.7
892.6,3.6,2,9,4,1,6,20,3.2
1383.5,12.4,1,1,3,2,5,11,9.3
1190.7,13.9,4,21,4,3,5,12,5.7
1262.5,0.5,4,23,4,2,6,1,9.0
1395.9,11.0,3,22,5,4,10,7,4.0
,11.8,4,13,3,4,6,16,2.5
1492.6,7.0,2,20,2,4,6,22,9.2
,7.1,1,0,1,3,3,4,5.3
1260.5,6.7,1,9,1,3,5,11,8.1
,9.2,4,2,4,3,7,19,3.8
1379.2,16.3,2,14,5,1,6,21,2.0
743.3,,1,0,2,4,5,13,6.7
1192.2,19.9,2,7,3,4,8,11,3.4
332.9,7.8,3,10,2,2,3,21,9.3
924.5,14.1,3,3,6,3,1,24,3.6
570.0,11.2,2,2,6,2,4,20,3.6
914.5,,4,21,6,4,3,17,7.8
1029.6,17.8,4,6,6,3,10,18,4.4
553.2,10.5,2,23,6,3,3,17,2.3
,10.1,4,8,3,1,10,13,3.2
516.4,18.9,4,1,3,1,5,4,7.0
1012.7,18.7,4,2,2,4,8,23,2.1
,19.9,1,16,5,3,6,19,7.3
1124.9,3.6,4,0,2,3,1,9,9.5
,0.6,3,22,2,2,10,14,2.2
1236.9,9.0,1,6,6,3,5,2,3.5
,14.8,3,14,0,2,6,18,4.1
94.2,1.9,2,10,0,3,3,11,6.3
536.6,7.8,3,1,5,3,2,22,6.8
,11.8,3,16,4,1,1,6,9.7
,4.6,3,0,5,4,6,18,9.9
220.3,,1,19,3,4,4,9,3.9
350.7,5.0,4,12,0,4,5,13,2.9
85.6,,1,7,2,1,10,9,3.2
