machine_id,hour,day_type,drinks_sold,beans_level,milk_level,pressure,last_clean_hours,water_temp,brew_time,water_consumption
51,17,0,15,80.4,70.2,3.58,4,84.1,15.0,0.219
92,19,1,6,59.0,49.6,5.74,106,72.9,15.0,0.254
14,20,0,11,23.9,43.1,6.87,33,87.8,15.0,0.182
71,21,0,14,32.6,95.4,7.42,43,91.0,15.0,0.193
60,6,0,16,76.5,20.6,2.3,112,70.8,18.1,0.166
20,15,0,16,82.5,31.2,5.0,107,77.4,15.0,0.206
82,13,0,5,35.1,30.8,2.86,9,78.5,15.0,0.18
86,23,0,14,43.1,28.9,5.02,98,77.0,15.0,0.212
74,6,0,8,17.0,46.9,5.04,103,73.0,15.0,0.261
74,7,1,11,74.2,98.9,5.49,51,81.7,15.0,0.251
87,6,0,15,10.3,88.9,8.25,94,83.8,15.0,0.255
99,6,0,11,14.2,32.8,7.64,114,76.8,15.0,0.243
23,14,0,7,10.4,42.3,6.46,20,86.0,15.0,0.196
2,18,0,16,68.1,66.9,8.2,39,,15.5,0.232
21,6,0,15,47.6,1.7,6.75,23,90.3,15.0,0.15
52,18,0,11,36.8,82.0,7.73,41,85.0,15.0,0.203
1,12,0,14,92.1,88.0,5.95,44,86.7,15.0,0.158
87,7,0,19,27.4,85.7,5.68,35,85.0,15.0,0.177
29,11,0,7,45.0,37.5,7.07,23,87.8,15.0,0.228
37,12,0,13,94.6,46.2,2.14,118,65.9,16.8,0.179
1,19,0,10,48.4,1.2,6.83,58,83.3,15.0,0.166
63,23,0,10,59.9,39.9,8.54,48,85.6,15.0,0.225
59,20,0,17,17.2,46.0,7.0,103,82.5,15.0,0.221
20,7,1,17,81.1,90.7,2.26,87,74.7,15.2,0.246
32,15,0,12,48.0,89.4,4.65,58,80.2,15.0,0.252
75,17,1,12,82.0,96.6,7.67,101,79.8,15.0,0.27
57,22,0,14,32.8,88.5,8.71,57,87.8,15.0,0.172
21,13,0,8,48.0,0.8,4.59,87,74.6,15.0,0.23
88,16,0,8,80.8,64.1,7.89,39,86.6,15.0,0.196
48,8,0,11,97.6,6.8,8.05,28,88.1,15.0,0.212
90,11,0,8,15.4,27.3,2.86,64,80.8,15.0,0.15
58,14,1,8,83.1,57.8,7.92,62,83.6,15.0,0.254
41,11,0,10,37.1,70.1,4.27,83,76.0,15.0,0.162
91,14,1,12,59.6,65.5,6.15,113,89.0,15.0,0.239
59,12,0,15,36.1,4.9,5.77,112,77.6,15.1,0.198
79,14,1,16,65.2,10.4,6.64,62,90.1,15.0,0.255
14,23,0,16,41.8,12.9,7.18,94,85.4,15.0,0.178
61,17,1,15,40.0,9.1,5.09,85,89.4,15.0,0.174
61,13,0,12,13.4,17.8,8.22,88,,15.0,0.213
46,13,0,14,23.2,68.8,7.67,85,78.8,15.0,0.237
61,23,0,10,92.5,83.1,7.5,26,84.6,15.0,0.174
50,20,1,12,99.8,40.9,5.21,51,85.2,15.0,0.23
