session_count,device_type,pages_viewed,time_on_site,key_pages_viewed,consultation_requested,visit_time_of_day,weekend,order_made
4,ПК,10,6.12,0,0,утро,1,0
1,смартфон,5,18.68,1,0,день,0,0
3,смартфон,6,7.82,0,0,день,0,1
3,смартфон,4,1.0,0,0,вечер,1,0
1,планшет,3,5.39,1,0,утро,0,0
2,ПК,2,4.91,3,0,день,1,0
1,смартфон,7,23.01,4,0,утро,0,0
1,смартфон,4,3.64,4,1,день,0,1
2,смартфон,5,1.0,2,0,утро,0,0
2,ПК,4,4.38,2,0,утро,1,0
1,смартфон,3,1.0,3,0,вечер,0,0
1,смартфон,8,17.86,1,0,вечер,0,1
4,смартфон,3,8.92,0,0,утро,0,0
2,смартфон,3,6.34,1,0,утро,0,0
1,смартфон,6,4.46,1,0,вечер,0,0
3,смартфон,5,5.41,1,0,утро,0,0
2,ПК,5,15.5,2,0,утро,0,1
6,ПК,5,1.98,1,0,день,0,1
1,ПК,2,1.0,0,0,ночь,0,1
1,смартфон,5,8.25,2,1,день,0,1
2,смартфон,3,19.58,2,1,день,0,0
2,смартфон,5,8.26,1,0,вечер,0,0
1,планшет,7,15.9,0,0,вечер,1,0
3,смартфон,3,22.33,1,1,утро,0,1
4,ПК,4,1.0,1,0,вечер,0,0
1,смартфон,7,8.9,0,0,вечер,0,0
3,ПК,4,17.88,1,0,вечер,0,0
1,планшет,5,10.32,5,0,вечер,1,0
4,смартфон,2,8.95,0,0,утро,1,0
4,планшет,2,15.52,1,0,день,0,0
2,ПК,1,12.28,2,0,день,0,0
1,ПК,8,6.96,3,1,утро,1,1
1,планшет,4,1.0,0,1,утро,0,0
2,смартфон,5,9.5,2,1,вечер,0,1
2,ПК,3,2.4,4,1,утро,1,1
2,планшет,6,2.93,1,0,ночь,0,1
1,смартфон,4,11.38,0,0,утро,1,0
5,смартфон,1,6.03,1,0,день,0,0
4,смартфон,4,12.62,0,1,утро,0,1
1,смартфон,3,4.98,2,0,ночь,0,1
1,ПК,3,20.4,1,0,день,1,1
2,смартфон,7,5.57,1,0,день,1,0
2,смартфон,3,6.81,1,0,вечер,1,0
1,смартфон,3,1.35,2,0,утро,0,1
2,смартфон,5,7.0,2,0,утро,1,0
2,смартфон,8,2.74,1,1,ночь,1,1
3,смартфон,5,14.4,0,0,ночь,0,1
1,смартфон,1,12.52,1,0,день,0,1
1,планшет,8,1.0,3,1,день,0,1
2,смартфон,7,6.81,1,0,вечер,0,1
2,смартфон,4,1.0,0,0,ночь,0,0
1,смартфон,4,8.42,2,0,утро,0,0
3,смартфон,2,23.19,2,1,вечер,0,1
2,смартфон,7,20.19,3,0,утро,0,1
3,смартфон,2,2.79,3,0,день,0,1
2,смартфон,6,1.51,3,0,утро,0,0
1,смартфон,3,15.66,3,0,день,0,0
2,смартфон,3,7.9,3,0,день,0,1
1,планшет,6,5.51,1,0,день,1,0
1,смартфон,4,16.63,3,0,ночь,0,1
3,ПК,1,2.91,2,0,день,0,0
1,ПК,6,2.54,0,0,вечер,0,0
4,ПК,5,9.47,2,0,утро,0,0
2,смартфон,9,3.18,2,0,утро,0,1
1,ПК,6,5.57,1,0,день,0,0
4,смартфон,3,6.07,5,0,вечер,0,1
5,смартфон,1,2.29,1,0,утро,1,0
2,смартфон,4,1.0,2,0,утро,0,0
1,ПК,3,14.55,1,0,вечер,0,1
1,смартфон,7,15.31,1,0,вечер,0,1
1,ПК,4,9.12,5,0,день,1,1
1,смартфон,3,1.61,2,0,утро,0,0
2,ПК,3,6.47,0,1,вечер,0,0
2,ПК,3,1.96,1,0,день,1,1
5,ПК,11,21.31,1,0,ночь,0,1
1,смартфон,6,11.95,2,0,утро,0,1
2,ПК,5,1.0,2,0,утро,1,0
4,ПК,2,1.0,3,0,утро,0,0
1,смартфон,3,41.2,1,0,утро,0,0
2,смартфон,9,1.0,0,1,вечер,0,1
1,планшет,5,20.09,1,0,утро,0,0
4,смартфон,6,31.19,1,0,вечер,0,0
5,ПК,6,3.68,1,0,день,1,1
2,смартфон,5,7.77,2,0,ночь,0,1
1,смартфон,2,10.42,1,0,день,0,0
3,смартфон,3,7.35,2,0,день,0,1
2,смартфон,1,2.4,1,0,ночь,0,0
5,смартфон,3,8.7,2,0,утро,0,0
5,ПК,3,2.99,0,0,ночь,0,0
5,смартфон,5,1.8,3,1,день,0,1
1,ПК,3,7.04,0,0,утро,0,0
1,ПК,5,4.65,3,1,день,0,1
1,смартфон,4,1.0,1,1,день,1,1
2,смартфон,3,29.89,4,0,утро,0,1
1,смартфон,1,1.0,1,0,утро,0,0
1,смартфон,2,23.33,1,1,день,0,1
2,смартфон,5,2.1,0,1,утро,0,0
2,смартфон,3,1.53,1,0,вечер,1,1
1,ПК,4,1.0,1,0,вечер,0,1
1,смартфон,4,5.55,1,1,ночь,1,1
3,смартфон,2,8.84,3,0,вечер,0,1
3,ПК,4,23.41,3,0,утро,1,1
1,ПК,4,15.31,2,1,утро,0,0
1,ПК,1,1.74,0,1,утро,1,0
1,ПК,1,1.84,1,1,день,0,1
4,смартфон,3,1.0,1,0,день,0,0
1,ПК,3,11.64,1,0,день,0,0
3,ПК,1,1.0,1,0,утро,0,0
4,смартфон,2,1.49,3,1,ночь,0,1
1,смартфон,5,10.07,3,0,утро,0,1
1,смартфон,2,1.63,0,0,утро,0,1
1,смартфон,1,1.66,1,0,вечер,0,0
1,смартфон,3,2.67,1,0,день,0,1
1,планшет,3,4.87,1,0,вечер,1,0
3,смартфон,5,1.0,2,0,день,1,0
2,смартфон,5,13.71,1,0,день,0,1
2,смартфон,5,14.86,2,0,вечер,0,1
1,ПК,2,4.57,1,0,утро,0,0
2,смартфон,4,16.0,2,0,вечер,0,0
2,смартфон,9,3.35,1,1,вечер,0,0
1,планшет,2,42.47,3,0,ночь,0,0
1,смартфон,2,5.07,5,0,утро,0,1
3,смартфон,3,11.05,3,0,день,0,0
4,смартфон,2,3.89,2,0,день,1,0
3,ПК,4,5.99,2,0,день,0,0
1,планшет,8,10.36,4,0,утро,0,0
1,смартфон,4,4.27,1,0,вечер,0,0
1,смартфон,2,10.69,0,0,день,1,0
1,планшет,2,1.58,1,0,ночь,1,0
2,ПК,3,6.61,0,0,день,0,0
2,планшет,6,3.19,0,0,день,0,0
5,ПК,4,25.26,1,0,день,0,1
1,смартфон,3,17.41,1,0,утро,0,1
3,планшет,2,6.68,4,1,вечер,0,1
4,ПК,1,6.05,4,0,вечер,1,0
2,ПК,1,17.96,1,0,вечер,0,0
3,ПК,4,11.73,0,0,день,0,0
2,смартфон,3,11.5,0,0,день,1,0
1,ПК,7,7.95,1,0,ночь,1,1
4,планшет,8,19.83,3,0,день,0,1
1,ПК,3,2.1,2,0,вечер,0,1
3,смартфон,5,19.8,0,0,день,1,1
