membership_type,distance_km,visits_per_week,duration_months,age,gender,personal_goal,late_cancels,churn
2,8.7,1.1,22,65,0,1,1,0
1,8.2,6.8,9,56,1,0,1,0
0,1.2,4.3,9,60,1,0,0,0
1,17.7,1.1,37,24,1,0,0,0
2,13.7,5.6,4,62,0,1,1,0
1,15.7,1.0,47,30,0,1,1,0
2,13.5,1.9,25,21,0,1,1,0
2,7.2,3.9,29,23,1,0,0,0
1,10.4,1.1,16,23,0,1,1,0
1,3.0,0.6,22,47,1,0,1,0
1,3.7,4.8,35,43,1,1,0,0
2,6.8,0.3,12,53,0,0,0,0
1,13.1,2.5,13,28,0,0,0,0
0,12.2,1.7,25,45,0,1,0,0
1,15.6,6.5,55,33,0,0,1,0
2,10.9,4.1,8,39,0,1,0,0
0,13.7,0.5,18,62,0,1,0,0
0,1.4,2.9,10,50,1,1,2,0
1,18.7,2.6,23,53,0,1,1,1
1,17.0,1.0,16,47,1,1,0,1
2,18.8,5.1,2,29,0,1,1,0
2,3.9,1.3,53,26,1,1,1,0
2,3.3,5.9,40,62,0,0,1,0
2,11.0,6.6,10,42,0,0,1,0
2,16.9,0.6,48,22,0,1,0,1
1,14.9,4.6,59,31,1,0,2,0
1,5.5,4.4,22,24,0,1,1,0
0,9.8,3.6,11,28,1,0,1,0
1,5.1,4.5,48,47,0,1,0,0
2,11.5,6.3,46,29,0,0,2,0
0,11.6,5.3,37,56,0,1,0,1
1,2.1,4.5,19,42,1,1,2,0
1,12.8,3.0,4,37,1,1,0,0
1,2.4,1.7,25,45,1,0,1,0
1,1.0,1.4,21,58,0,0,0,0
1,17.2,1.5,32,18,1,0,2,0
1,5.3,6.0,58,34,0,0,0,0
2,9.6,0.8,13,43,1,1,0,0
2,18.8,0.8,11,18,1,1,0,0
1,12.7,0.1,22,48,1,1,0,0
2,7.8,5.1,26,46,0,1,0,0
0,17.1,0.0,32,61,0,1,3,1
1,4.7,6.4,18,42,0,0,0,0
1,10.0,6.8,29,44,1,0,1,0
2,11.5,1.6,17,44,0,1,2,0
1,11.9,0.3,11,20,0,0,1,0
1,0.8,6.7,45,23,1,0,2,0
2,7.9,1.5,46,22,1,1,1,0
1,10.5,3.8,36,27,1,0,1,0
2,9.4,4.5,33,51,0,1,1,0
0,16.5,4.1,31,55,1,1,1,1
2,14.6,5.9,53,55,1,1,0,0
2,18.7,3.4,18,32,1,0,0,0
1,4.9,3.7,14,33,1,1,0,0
1,3.5,7.0,30,53,0,1,1,0
1,4.5,3.9,12,43,0,1,0,0
1,13.3,1.4,12,36,0,1,1,0
2,5.4,1.2,44,64,1,0,1,0
2,13.5,6.1,14,28,1,1,1,0
1,13.8,2.5,29,29,1,1,1,0
2,2.1,6.6,56,52,1,0,1,0
1,14.9,5.6,5,44,0,1,1,0
2,6.6,6.6,55,63,1,0,1,0
2,4.8,3.9,2,37,1,0,1,0
2,5.5,0.3,8,61,0,0,0,0
0,18.0,6.0,18,30,1,1,0,0
2,12.3,4.1,55,42,1,1,2,0
0,13.2,6.1,50,34,1,1,1,0
0,4.7,2.0,46,65,1,1,0,1
1,7.5,6.0,21,40,0,0,0,0
0,16.3,1.4,13,44,1,1,3,0
2,7.1,2.0,1,21,1,0,0,0
2,16.3,1.0,2,22,1,1,1,0
2,4.4,1.0,1,57,1,0,0,0
0,14.8,0.7,40,64,1,0,2,1
1,2.8,3.7,53,41,1,1,0,0
1,16.5,4.7,29,51,0,1,2,1
0,13.6,1.5,51,35,0,0,0,0
0,19.2,6.4,59,28,1,1,0,0
2,1.1,0.7,13,45,1,1,0,0
1,3.1,0.8,33,22,1,1,0,0
2,1.0,6.2,4,44,1,1,1,0
1,0.8,4.9,28,27,1,0,1,0
1,17.0,1.3,23,35,1,1,1,0
2,12.8,6.9,47,54,1,0,1,0
2,13.1,0.2,33,48,0,1,1,0
1,7.8,0.8,59,36,1,1,0,0
0,1.5,2.0,3,27,1,1,1,0
1,8.9,5.1,48,62,0,0,1,0
1,3.6,5.0,43,55,0,1,0,0
2,18.7,5.6,21,26,0,1,2,1
2,17.6,3.8,26,59,1,1,0,1
1,6.4,4.2,12,21,0,0,0,0
2,0.8,2.4,2,26,0,0,0,0
1,0.9,2.7,34,53,0,0,0,0
2,10.8,0.7,46,59,0,0,1,0
0,16.6,0.8,55,45,1,1,0,0
1,7.2,4.9,3,52,0,0,0,0
0,13.3,0.2,31,52,1,0,0,1
