season,weekday,guests,nights,stars,dist_center,breakfast,early_book,cancel_days
1,3,2,1,3,8.49,1,356,17
4,4,1,13,4,0.9,0,132,-1
1,1,5,13,4,9.92,0,8,-1
2,6,2,2,3,11.22,0,203,-1
1,6,3,10,4,12.94,0,15,-1
2,4,2,1,5,1.81,0,346,-1
2,5,3,7,4,0.3,1,72,18
1,3,4,13,4,1.38,1,177,-1
2,3,3,2,3,13.88,1,245,9
3,4,3,20,4,11.55,1,184,-1
1,3,1,7,5,12.58,1,56,-1
1,5,2,17,4,7.9,0,362,-1
2,2,4,5,4,8.04,1,85,-1
2,0,2,11,4,4.69,1,16,-1
1,0,3,11,5,12.69,0,320,-1
3,0,6,11,3,12.5,1,312,-1
2,2,3,17,4,6.06,0,190,-1
2,3,2,19,3,5.14,0,194,-1
4,4,4,8,4,11.15,1,4,-1
3,6,6,20,4,0.68,0,174,-1
3,1,4,14,5,12.94,0,131,-1
1,3,1,10,4,6.86,1,87,-1
3,2,3,7,4,6.79,1,182,23
1,5,3,2,5,10.14,0,287,-1
4,2,1,17,4,9.79,0,109,15
3,6,2,1,4,4.21,1,65,-1
2,0,3,13,4,14.17,0,99,-1
4,3,2,19,4,14.8,0,326,8
1,6,4,14,3,8.03,0,227,-1
4,0,6,18,4,8.55,1,231,-1
1,1,6,20,4,8.45,1,234,-1
4,5,6,14,3,7.44,0,263,-1
1,0,5,15,5,14.19,1,35,12
3,1,1,14,4,3.9,1,267,-1
2,2,6,5,5,1.89,1,155,-1
1,0,3,16,3,13.96,1,1,-1
4,0,1,5,5,3.43,1,77,-1
1,4,4,13,4,11.31,0,146,6
1,5,4,16,5,3.3,0,340,17
1,5,4,15,4,14.41,1,304,-1
4,6,4,5,4,11.93,1,292,-1
2,2,5,21,4,13.81,1,179,-1
3,4,2,6,4,14.28,0,59,-1
2,6,2,13,5,1.54,1,224,-1
1,1,6,16,3,6.67,1,297,-1
4,6,5,10,5,9.83,1,262,25
2,1,2,2,5,12.1,0,297,-1
1,2,4,13,4,3.85,1,184,20
3,5,2,17,3,13.74,0,271,14
3,1,1,1,5,3.55,1,114,-1
3,2,6,4,4,13.03,1,299,0
1,6,2,18,5,7.84,0,37,-1
4,1,1,6,5,7.88,1,255,-1
2,3,3,12,3,5.8,1,233,-1
3,0,1,20,4,1.82,0,300,-1
1,6,1,13,4,5.4,1,242,-1
1,5,4,2,5,6.57,0,157,18
2,6,4,17,3,7.34,1,349,27
3,3,6,10,3,11.16,0,211,-1
1,2,4,19,5,5.48,0,290,-1
2,2,1,5,3,6.28,1,60,-1
4,6,5,21,4,13.62,0,132,28
4,3,4,12,4,11.36,0,108,11
4,6,4,18,4,0.64,1,333,-1
3,0,1,9,4,12.24,1,296,-1
2,0,3,11,4,14.85,1,359,-1
2,4,3,4,5,14.11,1,283,13
1,1,2,10,3,12.59,1,137,-1
1,4,6,1,4,9.55,0,117,29
1,0,3,2,4,4.39,0,124,-1
2,3,4,9,4,9.92,0,179,28
1,1,5,18,4,10.53,0,221,-1
2,3,2,16,3,4.44,0,159,-1
2,4,6,14,5,4.05,1,203,-1
4,2,5,4,4,6.13,0,44,-1
1,3,5,2,4,9.72,1,15,6
4,4,4,12,4,4.61,1,89,-1
3,4,1,20,3,8.47,0,290,-1
3,4,1,5,3,13.52,0,104,-1
3,2,1,4,3,4.64,1,144,-1
2,2,3,15,3,14.5,1,111,-1
2,6,1,3,3,7.26,1,214,-1
2,2,6,17,4,1.78,0,177,3
1,1,4,8,4,1.11,1,20,-1
4,2,3,12,4,5.28,1,225,-1
2,2,6,21,3,4.1,0,45,-1
4,2,1,8,5,12.7,0,56,-1
4,3,6,20,5,11.14,1,260,-1
4,2,5,20,5,13.3,0,51,-1
1,1,4,5,4,8.96,1,130,-1
1,4,4,21,4,6.7,1,52,-1
3,3,6,6,3,4.28,0,82,13
3,0,2,5,5,8.87,1,17,17
4,2,4,21,3,9.38,0,142,23
3,6,5,8,4,6.08,0,305,-1
4,6,4,18,4,14.07,1,27,-1
1,4,2,4,4,9.71,1,301,-1
1,4,4,4,4,12.61,0,112,-1
1,3,4,5,3,9.42,0,115,-1
2,6,2,15,4,4.95,0,327,-1
4,0,4,6,5,11.13,0,250,23
1,5,6,21,5,3.68,1,112,8
4,6,3,16,4,9.07,1,93,-1
3,6,6,14,4,6.21,1,0,-1
3,1,4,14,3,2.5,0,182,-1
1,5,1,16,3,6.37,0,313,-1
4,4,1,4,3,4.86,0,148,26
1,5,3,11,4,1.95,0,55,-1
3,6,4,19,4,12.41,1,69,-1
1,4,5,19,4,7.63,0,144,-1
4,5,4,8,3,5.39,0,77,4
3,4,1,10,4,7.72,0,134,27
2,4,2,5,3,11.39,0,78,-1
3,3,3,16,4,0.57,0,327,-1
2,0,2,3,3,8.34,0,247,-1
1,4,5,10,4,7.34,0,175,-1
1,1,4,13,4,13.43,0,9,-1
4,6,5,7,3,8.47,0,220,-1
2,6,2,12,3,2.32,0,126,9
1,1,4,14,4,6.01,1,40,-1
2,2,6,10,3,9.43,0,189,15
1,4,6,9,4,0.98,1,106,4
3,4,5,12,4,13.3,0,163,1
1,4,6,3,4,1.3,0,177,-1
4,5,6,13,4,0.75,0,81,-1
3,4,1,6,5,0.33,0,4,18
4,4,6,6,4,10.35,0,173,-1
3,1,1,21,5,7.0,0,332,-1
2,0,3,19,3,1.81,0,295,-1
4,0,1,7,4,12.89,1,266,-1
1,2,1,4,4,3.28,0,117,-1
2,1,2,5,5,5.1,0,199,-1
1,4,1,1,3,2.91,1,16,-1
3,0,1,18,3,13.92,0,74,-1
3,3,2,17,3,11.44,0,120,5
1,3,1,9,5,10.94,0,281,-1
1,3,6,9,4,0.95,0,38,0
2,4,1,21,5,7.98,0,353,-1
1,4,3,10,3,8.76,1,194,6
4,2,1,20,3,5.92,1,152,20
4,6,1,17,3,5.03,0,343,-1
1,2,3,13,4,12.82,0,244,-1
4,2,2,4,5,0.64,0,115,-1
1,5,6,18,4,9.49,0,40,22
2,3,1,18,5,6.1,1,103,-1
4,4,6,9,3,10.09,0,247,-1
4,3,5,3,4,3.21,0,363,-1
1,2,6,7,4,3.81,0,171,-1
4,4,2,15,3,8.93,1,265,-1
3,1,2,9,3,14.71,0,328,-1
2,0,1,9,4,14.63,1,148,-1
2,0,3,4,3,3.96,1,202,-1
4,2,2,18,5,1.8,0,24,-1
4,6,3,17,5,8.98,0,277,-1
3,3,5,21,4,6.47,0,10,-1
3,1,3,6,4,11.5,0,260,-1
4,4,4,7,3,8.06,1,5,-1
4,6,3,10,3,7.81,1,224,20
3,3,2,10,5,9.8,0,271,-1
1,2,3,6,4,2.16,0,247,-1
3,3,3,6,4,10.25,1,45,22
1,2,4,19,4,7.48,1,13,-1
2,5,4,8,4,12.36,1,23,-1
2,0,1,9,3,2.34,0,364,-1
3,6,2,1,4,4.72,0,253,-1
1,0,1,16,4,14.27,0,331,6
3,3,4,6,5,8.43,0,261,-1
3,1,3,8,4,13.96,1,246,0
1,4,4,15,3,10.43,0,276,-1
3,2,5,12,3,13.92,1,111,-1
2,4,3,10,4,4.97,1,200,27
4,0,1,16,4,1.63,0,301,-1
4,1,3,15,4,12.09,1,104,-1
3,1,5,11,4,12.13,0,227,-1
1,4,4,7,4,9.4,0,186,-1
1,0,2,8,3,8.82,1,169,-1
2,4,6,11,4,13.75,1,186,11
1,3,2,9,3,2.89,1,40,-1
1,1,2,7,4,9.36,1,322,1
2,1,4,15,4,1.03,1,338,-1
3,3,2,15,3,2.37,0,82,-1
4,0,5,16,4,6.73,1,320,18
2,1,4,3,4,12.37,0,341,-1
3,6,2,16,3,11.08,0,146,-1
2,5,6,15,5,14.62,1,334,-1
3,5,1,1,3,0.96,1,146,19
