duration,tone,hung_up
6.2,1.66,0
4.7,2.02,1
4.84,1.46,1
6.84,3.62,1
3.94,2.27,1
2.14,2.06,1
3.59,1.78,1
5.16,2.3,0
4.7,1.18,0
3.48,2.07,1
4.49,0.35,0
3.45,2.36,1
4.38,0.12,0
5.59,0.44,0
5.34,1.49,1
5.32,2.03,1
5.68,1.92,0
2.5,1.85,1
4.78,0.73,1
5.24,2.19,1
5.18,1.67,1
6.26,0.93,0
5.67,1.62,1
3.92,1.49,1
5.02,1.89,1
5.09,1.11,0
4.29,1.07,1
7.34,3.77,0
4.43,2.06,0
3.93,2.44,1
5.06,1.53,1
5.15,0.81,0
6.29,2.71,0
5.69,1.88,0
3.85,1.69,1
4.02,2.38,1
2.21,3.01,0
4.42,2.1,1
5.68,1.79,0
7.15,3.36,0
6.17,0.65,0
3.07,1.3,0
5.45,1.0,0
6.45,1.93,0
4.3,2.22,1
7.76,2.09,0
6.77,3.59,1
6.19,2.73,0
5.28,1.82,0
5.77,1.47,0
4.87,0.36,0
3.78,1.5,1
7.93,3.14,0
5.0,1.66,0
4.61,1.8,1
3.61,1.31,1
3.48,2.02,1
5.16,1.58,0
7.01,2.51,0
6.15,3.57,0
7.18,1.92,0
4.11,2.16,1
5.27,1.52,1
5.09,1.41,1
6.22,2.98,0
6.25,1.68,1
3.73,2.12,1
0.0,2.99,0
5.37,1.05,0
5.66,2.69,0
5.72,2.31,1
3.29,0.0,0
6.24,1.92,0
3.67,1.79,1
7.97,2.29,0
4.22,2.27,1
2.58,2.69,1
2.58,2.08,1
4.63,1.42,1
2.81,2.1,1
