delivery_time,wear_index
19.72,0.153
12.4,0.103
24.64,0.147
19.88,0.088
5.14,0.131
27.15,0.158
21.27,0.109
23.78,0.215
4.8,0.065
14.45,0.095
11.19,0.167
26.77,0.148
17.42,0.075
24.02,0.084
16.12,0.174
6.08,0.089
14.8,0.133
1.0,0.079
24.68,0.147
17.87,0.139
21.52,0.098
9.48,0.072
26.32,0.145
25.47,0.121
21.93,0.125
5.41,0.069
13.97,0.124
3.18,0.076
6.01,0.126
19.31,0.125
19.96,0.135
24.2,0.112
11.04,0.128
11.61,0.083
14.6,0.151
5.67,0.114
4.2,0.107
13.17,0.113
8.13,0.118
19.01,0.166
12.86,0.114
22.14,0.109
21.7,0.15
9.04,0.114
24.04,0.136
22.56,0.124
11.54,0.151
10.92,0.123
20.82,0.13
4.97,0.082
8.16,0.054
1.6,0.059
23.86,0.17
20.67,0.105
19.4,0.153
23.24,0.135
13.79,0.108
17.99,0.111
4.62,0.065
5.55,0.135
19.49,0.12
13.57,0.118
16.04,0.148
19.99,0.08
16.21,0.101
12.8,0.104
16.18,0.116
9.61,0.157
2.53,0.063
12.76,0.058
6.68,0.081
13.68,0.189
24.24,0.131
8.77,0.118
2.71,0.076
8.97,0.079
9.37,0.112
17.71,0.081
17.12,0.124
21.41,0.165
19.02,0.124
11.93,0.093
22.03,0.091
6.66,0.128
2.73,0.146
3.36,0.122
18.87,0.125
12.3,0.128
3.88,0.044
13.63,0.108
4.82,0.12
20.51,0.101
11.33,0.056
11.21,0.077
8.16,0.109
19.89,0.144
11.08,0.107
4.9,0.11
4.5,0.053
26.22,0.092
26.37,0.197
19.66,0.153
7.35,0.121
27.02,0.177
22.02,0.112
20.04,0.106
11.68,0.061
6.99,0.12
4.23,0.112
23.58,0.085
15.6,0.14
6.83,0.106
10.79,0.117
16.15,0.103
7.21,0.066
23.27,0.121
18.87,0.116
20.82,0.095
12.86,0.082
19.46,0.137
15.13,0.103
16.93,0.122
4.4,0.115
11.02,0.097
3.49,0.081
15.88,0.142
11.54,0.051
5.37,0.138
5.07,0.084
16.67,0.116
6.24,0.116
24.26,0.105
18.15,0.134
9.03,0.133
18.59,0.108
3.1,0.082
26.96,0.155
14.78,0.149
22.33,0.145
1.75,0.103
13.8,0.095
14.02,0.143
25.8,0.125
16.65,0.092
13.12,0.101
8.17,0.128
8.8,0.072
15.18,0.082
12.45,0.123
3.59,0.153
25.0,0.166
23.4,0.118
7.81,0.121
15.78,0.156
4.18,0.069
20.36,0.136
9.44,0.083
15.47,0.124
19.61,0.104
22.25,0.161
4.15,0.07
24.97,0.093
7.48,0.11
1.75,0.066
16.0,0.081
10.9,0.159
23.56,0.112
22.99,0.164
9.42,0.141
26.25,0.079
7.77,0.069
16.48,0.132
7.43,0.13
24.24,0.105
6.12,0.08
1.91,0.114
11.75,0.137
27.44,0.174
23.36,0.12
19.67,0.129
25.59,0.161
25.92,0.192
14.67,0.094
10.29,0.117
22.6,0.103
18.76,0.087
9.82,0.126
4.07,0.081
21.11,0.135
7.31,0.052
24.4,0.144
6.62,0.078
3.94,0.105
22.38,0.114
6.03,0.07
5.97,0.136
17.18,0.072
24.25,0.111
5.6,0.085
9.58,0.114
20.74,0.103
26.91,0.155
14.49,0.148
5.98,0.1
3.35,0.099
7.02,0.15
5.45,0.158
19.22,0.147
5.08,0.088
13.92,0.139
19.96,0.114
16.56,0.126
7.47,0.059
23.03,0.123
19.15,0.113
22.18,0.155
5.46,0.142
5.19,0.043
26.37,0.154
11.24,0.104
7.78,0.131
15.23,0.11
19.53,0.131
27.74,0.18
10.87,0.15
25.61,0.15
2.43,0.076
15.67,0.07
16.28,0.078
2.6,0.086
3.39,0.061
15.31,0.142
27.2,0.133
15.15,0.109
22.83,0.154
24.73,0.121
14.49,0.164
20.59,0.08
1.16,0.113
3.49,0.064
23.76,0.1
21.03,0.064
5.86,0.089
13.31,0.104
18.38,0.103
24.14,0.133
15.23,0.098
11.2,0.115
11.85,0.073
13.84,0.157
17.69,0.104
26.61,0.178
13.92,0.128
5.48,0.079
9.11,0.117
19.71,0.082
21.37,0.145
4.83,0.105
2.34,0.07
17.63,0.166
4.89,0.086
23.21,0.173
11.35,0.101
6.77,0.102
26.07,0.149
5.61,0.099
9.58,0.081
6.2,0.089
3.91,0.091
3.26,0.048
2.41,0.073
7.08,0.145
2.64,0.111
14.69,0.045
20.81,0.128
12.56,0.085
10.15,0.132
13.25,0.094
23.52,0.076
24.06,0.168
3.05,0.084
5.59,0.116
7.24,0.095
8.18,0.112
16.75,0.091
12.15,0.049
4.25,0.127
10.65,0.127
14.36,0.129
4.87,0.081
23.75,0.12
3.25,0.112
24.97,0.134
3.77,0.043
23.7,0.12
22.79,0.097
25.52,0.138
23.69,0.133
21.72,0.113
18.25,0.178
20.5,0.105
7.74,0.136
14.96,0.134
15.51,0.134
21.9,0.097
13.98,0.134
10.35,0.097
18.62,0.078
9.55,0.117
4.53,0.086
11.81,0.079
11.45,0.076
8.09,0.109
11.78,0.15
11.92,0.154
9.1,0.123
13.05,0.115
19.63,0.129
6.91,0.099
25.38,0.147
24.31,0.143
14.43,0.135
11.46,0.125
14.79,0.103
25.64,0.161
17.92,0.112
21.91,0.097
14.86,0.068
19.29,0.089
9.85,0.179
21.11,0.129
5.66,0.124
17.67,0.1
24.49,0.129
5.4,0.08
18.26,0.166
3.5,0.083
22.97,0.144
4.44,0.09
24.6,0.177
4.97,0.094
25.38,0.16
22.35,0.107
16.45,0.151
23.2,0.115
22.58,0.155
25.77,0.159
8.43,0.088
17.12,0.108
5.44,0.126
17.13,0.119
6.47,0.08
14.07,0.131
14.54,0.122
12.84,0.093
17.44,0.101
20.78,0.107
23.49,0.155
13.36,0.095
19.09,0.153
27.45,0.166
5.6,0.109
4.46,0.068
3.29,0.086
17.63,0.07
14.12,0.127
19.66,0.101
19.99,0.136
11.36,0.133
23.31,0.16
19.99,0.081
7.97,0.105
12.11,0.076
9.26,0.051
7.14,0.114
5.0,0.107
24.85,0.165
13.72,0.106
10.21,0.098
21.73,0.112
15.5,0.105
22.53,0.101
22.13,0.12
14.05,0.143
11.24,0.107
28.72,0.167
22.57,0.161
26.22,0.127
3.52,0.035
24.67,0.183
19.1,0.175
5.56,0.126
16.71,0.125
18.42,0.15
3.07,0.113
12.01,0.117
23.54,0.109
8.84,0.101
13.35,0.129
13.56,0.125
10.66,0.146
26.59,0.123
22.46,0.114
4.02,0.082
30.41,0.117
23.73,0.12
8.72,0.117
22.9,0.134
5.49,0.117
26.44,0.107
19.48,0.094
19.1,0.067
2.26,0.063
24.21,0.114
4.19,0.113
10.42,0.137
6.7,0.119
22.04,0.161
7.47,0.078
24.95,0.143
17.51,0.109
3.6,0.053
