role,exp_years,projects_count,hours_overtime,edu_level,team_size,client_feedback,certs_count,bonus_rub
2,20,16,106,4,9,2.8,6,408672.45
1,21,3,343,4,8,1.0,3,403997.39
0,1,13,313,2,14,1.1,2,876958.44
3,16,16,189,2,17,3.5,3,733683.6
2,20,4,306,3,11,1.3,3,355529.4
1,9,3,339,4,17,3.7,3,525886.17
0,8,16,34,2,19,2.0,3,1022243.18
1,4,13,161,2,6,3.4,6,388913.2
3,14,9,212,4,15,2.1,4,832694.9
3,13,10,156,3,15,1.3,6,1008225.79
0,24,2,135,4,13,1.8,2,420802.13
1,7,10,27,3,11,3.5,1,534146.45
0,16,6,98,4,10,2.1,2,517708.51
1,3,2,4,2,16,3.0,0,436167.85
2,15,11,379,1,9,2.9,4,426423.64
2,7,14,142,3,6,4.8,6,364665.01
2,19,3,169,1,8,2.8,3,359015.17
3,25,8,189,1,3,1.9,5,960855.43
0,20,14,232,3,9,1.7,2,885631.46
2,10,13,151,3,11,2.6,5,331877.41
0,20,13,294,2,5,2.2,0,910581.1
2,5,2,384,3,4,3.1,1,347471.58
3,6,5,202,4,19,3.9,4,852036.29
2,16,17,96,1,8,3.8,2,319231.4
3,4,4,146,4,9,1.7,0,390140.71
3,1,12,150,3,12,2.0,3,519966.56
3,16,18,1,1,18,4.9,4,830993.55
0,9,4,146,4,18,4.6,5,543291.14
3,1,12,112,4,6,4.6,3,554060.84
0,3,15,337,2,5,3.6,0,1070831.56
3,1,5,288,2,18,4.0,6,901955.8
3,12,15,157,2,8,2.6,5,961021.05
3,2,2,283,3,3,1.8,4,911416.59
3,17,18,171,4,16,4.7,2,618984.73
3,9,6,279,1,19,3.2,6,940326.35
2,1,4,127,2,12,4.7,1,205480.35
2,8,15,279,2,17,5.0,1,275266.58
1,17,9,392,3,18,3.2,1,452817.53
2,3,14,315,2,9,3.0,4,356441.93
2,23,16,91,2,4,2.8,6,344429.28
1,19,18,179,2,8,2.2,2,443371.2
0,12,13,4,3,6,4.4,3,816912.76
1,15,4,310,4,18,4.9,3,537083.43
1,23,6,116,2,11,3.8,0,467976.02
1,1,16,289,4,18,1.7,4,371691.85
1,23,4,75,2,18,1.6,5,481454.04
0,14,6,46,1,16,4.9,4,522853.48
3,21,8,99,1,7,2.6,1,531926.11
1,5,5,289,4,12,3.5,1,602981.33
0,4,17,279,4,4,1.1,2,1105008.18
3,24,13,177,3,3,2.8,2,672495.91
0,1,9,329,3,14,2.1,3,812612.12
2,14,3,252,3,20,3.7,0,235456.94
1,2,10,390,4,20,3.5,4,529804.42
3,4,5,393,1,11,3.3,2,565600.41
1,17,8,95,4,7,2.0,6,426493.1
0,23,4,360,2,19,3.1,3,510840.6
2,19,18,99,4,11,4.4,0,264720.0
2,14,16,143,1,7,2.2,0,194077.15
0,23,17,56,3,15,4.7,1,1064665.88
2,14,6,162,3,13,3.8,6,383652.6
3,17,7,6,2,15,1.9,0,388045.15
1,2,6,28,1,8,4.9,4,596774.17
2,7,14,131,4,8,3.8,2,263991.64
0,12,8,90,2,9,2.7,4,667074.34
1,20,9,316,3,11,4.0,2,539353.65
0,25,18,311,1,8,2.7,1,1158404.62
0,4,4,146,4,20,1.7,0,479829.62
1,15,2,372,2,5,4.6,0,565468.67
3,21,9,121,4,6,2.9,1,502316.74
3,18,6,40,4,19,2.1,4,854324.11
0,13,15,34,1,8,4.8,4,1020326.19
2,25,3,9,4,20,3.2,4,280423.61
0,18,16,176,3,19,4.4,1,1016088.94
0,3,2,310,2,19,3.1,4,442262.18
0,21,6,201,2,19,2.0,0,582549.03
1,1,14,204,4,3,3.7,1,443284.28
1,2,4,378,2,14,4.3,3,502245.42
0,25,18,111,3,17,2.7,4,1196652.26
2,7,7,191,4,4,2.4,1,308723.88
1,15,3,307,1,8,2.8,6,528444.62
2,17,6,284,4,12,4.7,1,257496.45
0,20,6,33,2,4,2.3,2,465634.98
2,25,17,94,3,18,3.6,3,321911.19
3,25,4,351,3,20,3.4,2,605747.55
0,6,2,132,1,14,1.8,1,363448.73
0,14,14,72,2,17,3.5,6,883097.35
3,17,5,256,4,19,3.4,3,721041.59
2,15,15,27,3,16,2.9,4,303607.66
2,14,12,238,4,15,4.5,5,345142.08
2,19,16,191,1,7,1.7,6,341755.81
1,12,18,12,4,6,2.4,0,405625.07
0,18,16,227,3,4,3.2,0,935021.6
