tariff_type,age,watch_hours_week,content_completion,device_type,promo_used,support_tickets,friend_referrals,subscription_renew
0,45,36.6,0.57,2,0,2,0,0
2,24,17.4,0.33,1,1,0,0,0
2,52,10.3,0.32,0,0,2,0,0
1,72,17.4,0.11,0,0,2,0,1
0,45,28.9,0.37,0,0,0,0,0
0,31,0.4,0.1,0,1,2,0,0
0,73,23.6,0.77,2,0,3,0,1
2,27,24.5,0.97,1,1,1,0,1
1,33,25.5,0.97,1,1,2,0,0
2,33,9.7,0.87,2,0,3,1,0
0,71,28.6,0.6,1,0,2,1,1
2,48,3.7,0.7,0,0,1,1,0
2,59,8.0,0.29,1,0,1,0,0
0,42,35.1,0.63,2,0,2,0,0
0,30,29.5,0.46,2,0,3,0,0
0,23,0.5,0.48,0,1,1,0,0
0,61,9.9,0.76,1,1,2,0,0
1,26,8.6,0.28,1,1,2,0,0
1,62,10.8,0.32,2,1,2,0,1
0,53,9.9,0.92,0,0,3,0,0
1,73,2.5,0.06,1,0,2,1,1
0,60,18.4,0.49,2,1,2,0,0
0,37,29.3,0.91,1,0,1,1,0
0,35,24.3,0.61,1,1,0,0,0
1,75,26.9,0.55,0,0,0,1,0
2,60,3.2,0.25,0,0,1,0,0
0,74,38.1,0.34,0,1,5,1,1
1,38,33.5,0.85,2,1,3,0,0
1,21,32.2,0.56,0,0,4,0,0
0,67,32.9,0.51,1,1,1,0,1
1,50,37.3,0.1,1,0,1,0,0
0,44,21.8,0.02,0,0,2,1,0
0,24,8.0,0.96,1,1,0,1,0
2,23,24.7,0.38,1,0,1,0,1
2,32,29.7,0.6,2,0,1,0,1
2,35,29.5,0.08,1,0,1,0,1
0,49,20.9,0.68,1,0,1,1,1
0,73,2.7,0.93,0,0,2,0,0
1,28,14.8,0.58,2,0,3,0,0
1,37,36.8,0.13,0,0,0,0,0
0,41,23.4,0.58,2,1,1,0,0
1,32,21.5,0.77,0,0,2,0,0
0,65,10.8,0.41,2,1,1,0,0
2,24,14.7,0.88,1,0,2,0,0
0,38,35.8,0.65,2,0,1,0,0
1,59,26.7,0.9,0,0,3,0,0
0,43,31.5,0.62,1,0,3,0,0
1,61,18.2,0.13,1,0,2,0,1
1,73,25.2,0.31,2,0,0,0,0
0,31,9.9,0.2,0,0,1,0,0
2,74,28.2,0.91,2,0,3,1,0
2,54,17.1,0.76,2,0,1,1,0
2,75,17.7,0.68,0,0,1,1,0
2,38,26.0,0.3,2,0,1,1,1
1,35,37.5,0.18,1,1,2,0,0
2,22,2.6,0.76,1,0,2,0,0
0,20,33.0,0.47,0,0,3,0,0
0,40,11.7,0.23,1,0,1,1,0
0,43,17.8,0.62,1,1,2,0,0
0,54,0.9,0.04,1,0,1,0,0
0,41,12.0,0.33,1,1,2,0,0
0,66,20.1,0.47,1,0,2,0,1
2,36,2.2,0.15,1,1,2,0,0
0,68,19.6,0.98,0,1,0,1,0
0,42,37.1,0.21,2,1,1,0,0
1,38,4.2,0.13,1,0,0,1,0
0,29,30.6,0.2,0,0,1,0,0
2,74,16.4,0.77,0,0,3,0,0
0,58,26.2,0.43,1,0,2,1,1
2,50,10.4,0.57,2,1,1,1,0
2,67,6.4,0.02,0,0,2,0,0
0,70,6.4,0.03,1,0,2,0,0
0,21,2.8,0.45,0,0,2,0,0
2,59,7.4,0.82,1,0,0,0,0
2,74,26.6,0.89,2,0,1,0,0
2,24,35.3,0.09,2,1,1,1,1
2,39,32.6,0.54,0,0,1,0,1
0,72,27.4,0.91,1,0,1,0,1
0,50,4.4,0.39,0,0,0,0,0
0,34,11.6,0.83,1,0,0,1,0
2,41,12.4,0.13,2,0,1,1,0
1,51,10.0,0.94,2,0,1,0,1
0,45,20.6,0.75,0,1,0,0,0
0,75,21.4,0.94,2,1,3,0,1
0,60,14.3,0.68,1,1,2,0,0
0,58,14.2,0.36,0,0,2,0,0
2,56,33.1,0.94,1,1,1,1,0
1,39,31.6,0.28,1,1,0,1,0
2,66,12.3,0.33,1,1,2,0,0
1,34,36.6,0.7,1,0,0,0,0
0,51,38.1,0.77,1,1,1,0,1
2,23,13.1,0.93,0,1,1,0,0
2,63,14.2,0.2,2,1,2,0,0
1,23,20.2,0.8,1,0,1,0,0
2,51,37.6,0.74,0,1,0,0,0
1,18,35.1,0.06,2,1,2,0,0
1,27,4.1,0.39,2,0,0,0,0
1,38,15.7,0.28,2,0,2,0,0
0,22,22.1,0.3,0,1,2,0,0
0,19,20.1,0.98,0,0,0,0,0
0,39,7.8,0.64,1,0,2,0,0
1,65,34.4,0.72,0,0,1,0,0
0,74,27.1,0.98,2,1,1,1,1
1,19,33.5,0.38,0,0,0,0,0
2,27,34.4,0.8,0,0,4,1,1
0,51,29.9,0.43,1,0,2,0,1
1,33,17.6,0.87,0,1,3,0,0
2,65,24.4,0.18,2,0,2,0,0
0,68,6.4,0.95,1,1,3,0,0
0,56,26.9,0.22,0,1,2,1,1
0,39,7.2,0.33,0,0,0,1,0
0,29,27.8,0.76,1,0,2,1,0
2,41,9.2,0.39,0,0,1,0,0
2,64,4.7,0.61,1,0,1,0,0
1,57,6.6,0.44,1,0,3,0,1
2,55,0.1,0.74,1,1,0,0,0
2,27,28.7,0.23,2,1,3,0,1
0,52,29.3,0.06,2,0,2,1,1
2,68,20.6,0.3,2,0,1,1,0
1,66,6.5,0.47,0,0,2,0,1
2,49,3.3,0.17,0,0,2,0,0
2,24,0.8,0.35,0,0,2,0,0
0,38,6.6,0.4,2,1,0,0,0
0,37,35.6,0.06,2,1,1,0,0
0,43,9.7,0.58,2,0,0,1,0
1,21,14.2,0.88,0,1,1,0,0
2,63,4.2,0.15,2,0,3,0,0
2,69,8.9,0.6,1,1,1,0,0
0,39,20.8,0.66,0,0,3,0,0
1,32,24.3,0.42,1,0,0,1,0
1,73,9.8,0.7,0,1,1,0,1
0,57,2.3,0.41,1,0,1,1,0
0,38,15.6,0.5,0,1,4,0,0
0,32,9.4,0.01,1,0,4,0,0
2,39,8.8,0.69,1,0,1,0,0
0,69,38.4,0.66,2,0,1,0,1
1,45,24.7,0.04,1,0,3,0,0
2,31,22.3,0.37,1,0,1,0,1
0,44,16.6,0.98,2,0,1,0,0
2,58,17.2,0.42,2,0,2,0,0
2,57,21.6,0.5,0,0,1,1,0
0,75,27.9,0.91,1,1,2,1,1
1,45,28.1,0.72,0,0,0,0,0
0,43,6.9,0.58,0,1,1,1,0
0,66,20.0,0.8,1,0,1,0,0
0,19,16.5,0.86,2,0,0,0,0
1,42,34.8,0.46,0,0,1,0,0
1,73,25.3,0.48,2,0,1,1,0
0,20,21.3,0.39,2,0,0,0,0
0,25,4.6,0.97,2,0,3,0,0
2,61,24.2,0.7,0,0,2,0,0
0,50,4.7,0.08,2,0,2,0,0
0,59,13.5,0.86,0,1,2,0,0
1,69,5.7,0.48,1,0,1,0,1
2,52,27.7,0.07,0,0,2,0,0
0,23,8.3,0.55,0,0,2,1,0
1,56,15.7,0.42,1,1,3,1,1
2,69,35.8,0.88,1,0,1,1,0
0,40,8.2,0.2,0,0,3,0,0
2,42,20.3,0.83,0,0,1,0,0
0,67,16.8,0.56,1,0,2,0,0
1,60,0.7,0.05,0,0,1,0,1
1,36,31.7,0.97,2,1,0,1,0
1,22,2.8,0.51,0,0,2,0,0
0,68,19.0,0.29,0,0,2,1,0
2,28,22.4,0.47,0,0,0,0,1
0,73,25.1,0.86,1,0,3,1,1
0,29,27.5,0.3,0,0,0,0,0
0,27,10.1,0.19,0,0,0,0,0
1,25,0.4,0.13,2,0,2,0,0
1,41,28.9,0.3,1,0,4,0,0
0,45,21.4,0.78,0,0,1,0,0
1,58,33.4,0.47,1,1,3,0,0
0,53,32.9,0.23,2,0,3,0,1
1,54,33.7,0.17,0,0,2,1,0
0,38,19.4,0.33,0,0,1,0,0
1,25,13.3,0.94,2,0,3,0,0
0,72,31.7,0.34,1,0,4,0,1
2,26,18.1,0.99,1,0,2,0,0
0,64,7.3,0.49,0,1,2,0,0
0,32,34.2,0.18,0,1,3,0,0
0,65,35.3,0.89,1,0,0,0,1
2,63,18.7,0.46,0,1,1,0,0
2,57,3.0,0.71,1,1,1,0,0
0,35,15.5,0.98,1,0,1,0,0
1,59,32.1,0.05,0,1,2,0,0
2,37,36.1,0.1,2,0,4,0,1
1,23,8.1,0.72,2,0,2,0,0
1,29,2.7,0.28,1,0,2,0,0
0,19,35.1,0.18,0,0,0,0,0
0,24,15.6,0.04,0,0,4,0,0
2,33,21.7,0.02,1,0,2,0,1
2,20,38.7,0.77,0,1,1,1,1
1,62,2.7,0.13,2,1,0,0,1
0,20,25.9,0.47,0,1,2,0,0
0,44,3.0,0.61,1,1,4,0,0
2,67,15.0,0.43,0,1,0,0,0
2,60,32.2,0.03,1,0,0,0,0
2,57,17.3,0.78,0,0,2,0,0
2,55,39.9,0.01,1,0,0,1,0
1,50,22.4,0.76,0,1,1,0,0
0,45,12.8,0.89,2,0,2,0,0
0,18,8.8,0.43,0,1,1,0,0
2,72,14.0,0.54,2,0,1,1,0
1,25,14.9,0.48,2,0,0,0,0
0,54,2.7,0.39,0,1,0,0,0
0,49,14.8,0.89,2,0,0,0,0
1,65,18.6,0.89,0,0,0,0,1
0,60,28.9,0.34,2,0,2,0,1
0,54,26.3,0.62,1,0,5,1,1
1,21,28.4,0.93,0,1,2,0,0
1,47,0.3,0.96,0,0,1,0,1
1,23,8.7,0.51,0,0,4,0,0
0,63,26.5,0.45,2,0,0,0,1
2,71,19.4,0.28,0,1,1,0,0
0,36,0.2,0.96,1,0,0,0,0
0,49,32.2,0.14,1,0,2,0,1
2,26,30.9,0.58,2,1,0,0,1
1,29,21.9,0.28,0,0,0,0,0
2,28,2.7,0.28,1,1,4,1,0
1,63,30.7,0.4,1,0,3,0,0
1,72,23.3,1.0,1,0,2,0,0
0,33,31.3,0.05,0,0,3,0,0
0,18,30.1,0.58,0,1,1,1,0
0,62,32.1,0.08,0,1,1,0,1
0,72,20.7,0.15,1,0,0,0,1
2,70,5.6,0.44,0,0,0,0,0
0,38,26.8,0.51,1,1,1,0,0
2,47,24.8,0.26,0,0,1,0,0
1,30,29.7,0.32,2,1,0,1,0
2,51,6.8,0.09,2,0,1,1,0
1,21,7.8,0.3,1,1,2,0,0
1,45,35.6,0.97,0,0,0,0,0
1,55,30.0,0.94,0,0,2,0,0
0,75,36.3,0.33,0,0,1,1,1
2,48,30.3,0.57,0,1,2,0,0
0,72,23.9,0.91,1,0,1,0,1
0,44,26.2,0.01,1,0,2,0,0
1,22,35.6,0.81,2,0,0,0,0
0,42,23.2,0.95,0,0,1,0,0
2,20,25.3,0.09,1,1,1,0,1
2,50,6.3,0.16,1,1,4,0,0
2,21,19.0,0.96,1,0,1,0,0
0,42,28.7,0.54,0,1,2,0,0
0,37,10.8,0.01,1,1,1,0,0
2,51,8.1,0.26,1,1,1,0,0
1,43,12.6,0.45,1,0,1,0,0
2,22,9.7,0.69,2,1,3,0,0
2,52,8.6,0.73,0,0,1,1,0
2,45,17.0,1.0,0,0,1,0,0
0,46,36.3,0.29,1,1,0,0,1
0,26,20.3,0.54,1,0,1,0,0
2,69,7.5,0.53,0,0,1,0,0
0,55,3.1,0.41,2,1,2,0,0
0,67,27.8,0.17,2,1,2,0,1
1,23,15.3,0.98,2,0,1,0,0
2,36,32.9,0.85,0,1,3,0,1
1,61,26.4,0.5,2,0,0,1,0
1,74,31.8,0.6,1,0,0,1,0
0,28,10.9,0.23,1,1,1,1,0
1,19,27.7,0.54,1,0,3,0,0
2,64,10.6,0.69,2,0,1,1,0
0,61,37.6,0.52,1,0,4,0,1
1,61,25.5,0.99,0,0,0,0,0
2,26,13.0,0.61,1,0,1,0,0
2,38,10.8,0.37,1,1,2,0,0
1,41,7.6,0.77,0,1,0,1,0
2,51,27.8,0.17,2,0,0,0,0
0,39,8.7,0.38,1,1,0,0,0
0,20,23.8,0.35,1,0,0,0,0
2,29,10.6,0.43,0,0,0,1,0
2,45,26.5,0.78,1,1,1,0,0
2,47,32.6,0.48,0,0,2,1,0
2,43,31.1,0.79,0,0,3,0,0
1,65,30.4,0.58,1,0,3,0,0
1,38,7.5,0.34,1,0,3,0,0
2,45,3.5,0.81,1,1,2,0,0
1,73,28.0,0.24,0,0,1,0,0
2,43,14.7,0.22,1,0,2,0,0
2,50,17.3,0.5,0,0,1,0,0
2,38,1.2,0.26,2,0,1,0,0
0,52,10.4,0.01,1,0,1,0,0
0,69,1.3,0.65,1,0,2,0,0
0,51,35.2,0.51,0,1,1,0,1
1,58,9.7,0.45,0,1,0,0,1
0,68,22.3,0.97,2,0,0,0,1
1,64,1.6,0.57,0,0,2,0,1
1,35,26.7,0.86,1,0,0,0,0
0,75,12.9,0.14,1,1,1,0,0
1,28,35.9,0.57,0,1,1,0,0
0,74,35.5,0.87,2,0,2,1,1
0,40,13.0,0.58,1,1,3,0,0
2,65,36.0,0.72,0,0,1,1,0
0,39,39.8,0.37,0,0,1,0,0
0,34,33.0,0.09,0,0,0,0,0
1,22,33.8,0.46,2,0,4,0,0
2,61,10.0,0.39,1,0,0,1,0
0,28,23.1,0.87,0,0,2,0,0
1,47,2.7,0.24,0,0,0,0,1
0,32,3.8,0.97,1,0,0,1,0
0,44,40.0,0.96,1,0,4,0,0
1,52,13.1,0.25,1,0,4,0,1
1,50,29.9,0.35,0,0,4,0,0
