rating,cuisine_type,restaurant_name,avg_check,high_margin
Четыре звезды,итальянская,Горячий хлеб,2364,0
Три звезды,азиатская,Хлеб и масло,321,0
Одна звезда,итальянская,Кофе-Брейк,348,0
Пять звезд,итальянская,Пицца-Прайм,2247,1
Четыре звезды,фастфуд,Лапшичная,1615,0
Четыре звезды,итальянская,Халяль-гриль,479,1
Четыре звезды,азиатская,Вок-Вок,443,0
Две звезды,фастфуд,СушиВок,2477,0
Три звезды,русская,Такос-Амигос,513,0
Две звезды,азиатская,Кренделёк,303,0
Пять звезд,фастфуд,Вегетарианский уголок,1904,0
Четыре звезды,итальянская,Капуччино-Бар,1813,0
Три звезды,азиатская,Горячий хлеб,847,0
Две звезды,итальянская,Быстро и вкусно,1591,1
Три звезды,фастфуд,Хинкальная,421,0
Три звезды,фастфуд,Поварёшка,662,0
Четыре звезды,русская,Рис и лапша,958,1
Четыре звезды,русская,Пекарня у дома,1188,1
Пять звезд,азиатская,Кренделёк,2277,0
Четыре звезды,русская,Фалафельная,693,0
Две звезды,итальянская,Русский аппетит,1758,0
Четыре звезды,итальянская,Бабушкины пирожки,2286,0
Четыре звезды,русская,Кулинария,1120,0
Четыре звезды,русская,Бабушкины пирожки,2451,0
Четыре звезды,русская,Паста-Мания,895,0
Четыре звезды,азиатская,Быстро и вкусно,2336,0
Четыре звезды,азиатская,Рыбный день,859,0
Три звезды,итальянская,Фиш-н-чипс,1463,0
Одна звезда,азиатская,Добрая столовая,455,0
Две звезды,азиатская,Сырная тарелка,321,0
Одна звезда,фастфуд,Вечерний свет,477,0
Четыре звезды,итальянская,Китайский квартал,302,0
Три звезды,итальянская,Фиш-н-чипс,756,0
Четыре звезды,русская,Буррито-Кинг,1922,0
Пять звезд,фастфуд,Пивной ресторан,1589,1
Три звезды,русская,Китайский квартал,460,0
Три звезды,азиатская,Хлеб и масло,558,0
Четыре звезды,итальянская,Рыбный день,868,0
Три звезды,азиатская,Фалафельная,2381,0
Две звезды,азиатская,Пончик-хаус,776,0
Три звезды,фастфуд,Хинкальная,1297,0
Три звезды,фастфуд,СушиВок,387,0
Пять звезд,итальянская,Рамен-тайм,1793,0
Пять звезд,итальянская,Кондитерская-Кофе,1732,0
Четыре звезды,фастфуд,Шаурма-Экспресс,1371,1
Пять звезд,фастфуд,Трапеза,712,0
Пять звезд,фастфуд,Пончик-хаус,236,0
Три звезды,фастфуд,Обед-Бокс,1248,0
Пять звезд,итальянская,Буррито-Кинг,1905,0
Четыре звезды,итальянская,Русский аппетит,894,0
Пять звезд,азиатская,Вок-Вок,2129,0
Пять звезд,азиатская,Том-ям-бар,519,0
Три звезды,азиатская,Студенческая столовая,1913,0
