district,wall_type,street,price_per_sqm
Окраины,кирпич,Улица_8,98.0
Исторический центр,кирпич,Улица_35,152.8
Окраины,монолит,Улица_39,59.4
Окраины,панель,Улица_23,40.0
Исторический центр,монолит,Улица_47,163.0
Исторический центр,кирпич,Улица_62,161.3
Окраины,панель,Улица_52,67.0
Центр,кирпич,Улица_53,139.0
Окраины,кирпич,Улица_41,72.7
Окраины,панель,Улица_44,45.1
Окраины,панель,Улица_13,50.2
Окраины,монолит,Улица_28,101.5
Исторический центр,монолит,Улица_5,149.3
Окраины,панель,Улица_6,54.5
Центр,монолит,Улица_36,140.3
Исторический центр,кирпич,Улица_52,173.4
Центр,панель,Улица_17,97.9
Центр,монолит,Улица_37,113.7
Центр,панель,Улица_58,120.2
Центр,панель,Улица_0,108.0
Исторический центр,кирпич,Улица_43,166.5
Исторический центр,панель,Улица_46,180.9
Центр,монолит,Улица_34,126.5
Центр,монолит,Улица_59,109.7
Исторический центр,монолит,Улица_51,177.5
Исторический центр,монолит,Улица_7,220.3
Исторический центр,панель,Улица_40,134.0
Окраины,панель,Улица_2,80.5
Окраины,кирпич,Улица_13,93.0
Окраины,панель,Улица_25,45.5
Центр,панель,Улица_57,114.1
Окраины,дерево,Улица_39,43.7
Центр,панель,Улица_50,69.1
Центр,панель,Улица_4,120.3
Окраины,панель,Улица_31,74.0
Центр,панель,Улица_0,105.6
Окраины,монолит,Улица_53,84.2
Окраины,кирпич,Улица_10,103.9
Исторический центр,панель,Улица_52,172.7
Окраины,монолит,Улица_7,93.7
Исторический центр,панель,Улица_24,130.8
Окраины,кирпич,Улица_39,92.0
Окраины,монолит,Улица_31,73.3
Исторический центр,монолит,Улица_27,223.0
Исторический центр,кирпич,Улица_2,187.0
Окраины,монолит,Улица_61,101.6
Центр,монолит,Улица_26,154.6
Исторический центр,панель,Улица_44,170.2
Центр,дерево,Улица_24,67.7
Центр,монолит,Улица_60,128.6
Центр,монолит,Улица_43,113.5
Исторический центр,монолит,Улица_45,176.5
Центр,кирпич,Улица_13,134.8
Исторический центр,кирпич,Улица_7,221.5
Центр,панель,Улица_47,91.7
Окраины,кирпич,Улица_13,48.1
Окраины,панель,Улица_64,46.0
Исторический центр,монолит,Улица_6,183.3
Окраины,монолит,Улица_48,68.8
Окраины,панель,Улица_54,73.3
Центр,монолит,Улица_12,132.0
Исторический центр,монолит,Улица_55,212.2
Центр,панель,Улица_55,74.7
Центр,кирпич,Улица_14,133.9
Центр,панель,Улица_56,91.5
Центр,монолит,Улица_57,83.5
Центр,панель,Улица_34,96.2
Центр,монолит,Улица_15,130.2
Центр,кирпич,Улица_7,148.4
Исторический центр,монолит,Улица_44,160.2
Окраины,монолит,Улица_39,125.1
Центр,монолит,Улица_53,140.9
Центр,дерево,Улица_13,88.5
Центр,монолит,Улица_58,149.0
Центр,дерево,Улица_52,91.1
Центр,дерево,Улица_26,122.8
Центр,монолит,Улица_46,130.8
Окраины,монолит,Улица_5,55.5
Окраины,кирпич,Улица_54,54.8
Центр,панель,Улица_43,98.3
Окраины,панель,Улица_17,40.0
Исторический центр,кирпич,Улица_15,183.7
Центр,кирпич,Улица_11,103.7
Исторический центр,дерево,Улица_19,160.4
Исторический центр,монолит,Улица_44,187.7
Центр,монолит,Улица_63,139.6
Окраины,панель,Улица_58,82.3
Исторический центр,кирпич,Улица_21,208.5
Центр,кирпич,Улица_46,127.1
Исторический центр,кирпич,Улица_28,198.4
Исторический центр,кирпич,Улица_44,219.6
Исторический центр,кирпич,Улица_8,222.2
Исторический центр,дерево,Улица_23,124.4
Окраины,монолит,Улица_14,55.3
Исторический центр,кирпич,Улица_35,157.9
Исторический центр,кирпич,Улица_12,174.0
Исторический центр,панель,Улица_43,141.7
Окраины,кирпич,Улица_35,84.5
Исторический центр,дерево,Улица_60,147.2
Исторический центр,панель,Улица_39,168.2
Окраины,панель,Улица_26,77.9
Окраины,панель,Улица_0,80.9
Окраины,кирпич,Улица_33,89.6
Исторический центр,панель,Улица_20,166.9
Окраины,монолит,Улица_32,92.7
Окраины,монолит,Улица_6,62.2
Исторический центр,кирпич,Улица_64,162.2
Окраины,панель,Улица_2,40.5
Исторический центр,панель,Улица_50,126.0
Центр,монолит,Улица_53,116.1
Окраины,панель,Улица_58,78.1
Центр,панель,Улица_5,91.8
Исторический центр,панель,Улица_28,196.0
Окраины,панель,Улица_16,58.4
Исторический центр,панель,Улица_59,150.2
Центр,панель,Улица_21,110.6
