delivery_time_min,order_amount,distance_km,courier_rating,courier_experience,is_weekend,is_rain,num_items,tip
51,474.5708217823592,3.3181165307975946,4.246344849064375,17,0,1,5,0
42,618.7743487614101,0.5,3.148856836877031,16,1,1,2,0
54,447.55079493143955,17.96083130004628,4.007383522474889,21,0,1,6,1
70,570.2182801648455,3.6491640351242474,3.365250260506202,16,0,0,4,1
41,258.0601420619161,4.762002620964084,4.147950350063484,16,0,0,3,1
41,739.9975339454171,1.3499297670397967,4.274809224522367,16,0,0,2,0
71,665.5426598147063,3.303381414942359,4.1134185131057075,14,0,1,2,0
56,442.0644493539078,2.8031395544308073,4.476591020956615,17,0,0,1,1
38,924.8419279588951,0.5,3.6712184884818027,18,0,0,3,0
52,1062.9305782380009,0.5611444314044407,4.5302131832662615,18,1,0,2,1
38,297.7398348634977,9.084540907357626,3.8655341634163873,15,1,0,2,1
38,454.2454136610512,1.3709998438399396,3.968368996645194,26,0,1,7,0
48,452.7901735394549,1.0843058312969118,4.296204254522143,19,0,1,5,0
25,415.73517103259564,3.5150932302417464,3.036716767998448,16,0,1,5,0
26,1007.0065739665014,7.3212174887384,4.307988442840497,12,1,0,6,1
37,603.7057622300321,0.5,4.237170298144231,13,0,1,2,0
32,582.7408517294572,4.299645561570667,3.61969423350656,14,0,0,7,0
49,244.21984355070268,0.6346827486498934,3.171588569798979,27,0,1,3,0
34,913.8889042488573,0.5,3.181870899826082,18,1,0,1,0
29,357.94194289786657,0.5,4.846447493970457,16,0,0,9,1
69,685.3751243331714,8.98378291640906,4.378558642451674,26,0,0,4,1
41,764.092204940333,0.6276601288068672,3.2542052275414806,24,1,0,4,0
45,1313.3406673951758,0.5,3.7134463386178127,17,0,1,4,0
29,345.70637943825886,2.8803765409826503,4.184965987803193,17,1,1,2,0
37,200.0,9.289287130413296,4.671143410181298,14,0,0,2,1
46,729.183031401584,1.5218248160799044,3.087321857426017,18,1,0,4,0
31,1636.4026259334862,2.738421661806102,3.473266262940018,22,0,0,10,0
50,1235.7992138372315,0.5,4.77949798059076,20,1,1,5,1
37,738.6540713537711,2.9808148693756924,3.018331100367633,18,0,0,1,0
40,520.1836421361294,4.309167572435212,3.402798205587775,17,1,0,4,0
37,995.8148017913156,4.230408628003247,4.918048351945932,29,0,0,3,1
77,408.80035208253275,2.020530351400584,4.226803693044342,21,0,0,7,1
44,844.0222735232356,1.8955755486777095,3.5233427332750127,16,1,1,4,0
32,856.3978785865994,0.5637365377439869,3.133982188791695,17,0,0,3,0
57,1130.1492173599165,2.2848314940464514,3.056382680894444,18,0,0,3,0
30,2643.423190998414,0.5239959709907936,3.4894901592738545,12,0,1,3,0
47,809.3310025199021,7.2749209221968485,4.762971639177821,13,1,0,2,1
24,515.6963829389564,16.947475271097957,3.831827308595019,26,0,0,1,1
30,656.6905112178902,17.545214356009524,4.440666738331986,20,1,0,4,1
47,274.640246738336,10.015036506594138,4.836570070759915,25,0,0,4,1
55,469.95804955542377,4.591365343776415,3.816080923205633,22,0,0,5,1
47,542.0502888239105,6.0343131667104855,3.3825547420747943,23,0,1,2,0
43,511.81119692820926,1.6788030681875032,4.034235861713839,15,0,1,5,0
40,717.7902791181714,4.981683304268637,4.816167374119709,15,0,1,1,0
28,440.8876291566589,3.0408101447615032,4.608748828275401,6,0,1,3,0
36,1165.0453982112624,3.2890675587788962,3.131659686726308,15,0,0,3,0
38,665.2105003582193,7.0894733728686665,4.385145600155163,14,1,0,5,1
61,662.0557980242125,1.6558600276558297,4.1437950449179075,19,0,0,3,1
49,564.5633732848515,1.9139185224449948,4.814926352692851,17,0,1,4,1
26,718.8087600834172,12.927512083135063,3.2449628337005945,12,0,0,5,0
49,1004.8053622499664,0.5,4.068072226409313,21,0,0,5,1
39,431.14087469740105,3.3241039241198522,4.758925387023785,21,0,0,5,1
36,478.6366525857135,12.19780063549285,3.8200475734834862,25,0,0,4,1
53,571.4271397531955,4.7126988129455,3.963989835465734,26,1,0,3,1
60,339.36103418319675,3.952775611979838,3.1409213553339166,23,0,1,5,0
59,441.5852398445622,1.4367051812518892,3.5562872808978216,20,0,0,6,1
34,524.2085300291724,2.102453310392968,3.649013298337895,27,0,1,8,0
40,1029.8769317595745,9.554350962767268,4.890244897489774,19,0,0,5,1
49,758.4528726069652,4.096025778827216,3.5653347210823183,26,0,0,2,1
59,732.7429481159108,3.6153748500393164,3.9217374705393038,18,0,1,1,0
38,1017.8511629664862,0.524468198529216,4.3426088471285595,22,0,1,3,0
42,620.989457910779,0.5,3.324366744815755,10,0,0,3,0
32,808.5418376808344,16.577647978903975,3.9728847742837488,18,1,0,9,1
31,631.6839080448677,2.3659327852463403,4.477078078951815,23,0,0,2,1
57,759.5158377634273,4.621779113553947,4.733710426054132,11,0,0,5,1
67,497.01523084687176,0.5,4.252518549324853,18,0,0,5,1
43,200.0,5.746070464472279,4.338107030633896,17,0,1,3,1
60,621.9504448504401,13.48308223448412,3.252566945169138,16,0,0,1,1
49,1354.752511172003,4.2861631879595805,4.891552994492694,18,0,0,4,1
36,1056.9130285980993,0.6740342991521535,3.2651481549689647,26,1,0,3,0
49,1077.823212608894,4.358039330275023,4.549345874363596,21,0,1,10,1
70,1234.0606605351309,7.269595411285781,3.5296326435566376,18,0,1,3,0
44,695.2898406118794,2.6078872281344023,4.867186287402503,16,0,0,4,1
71,734.109245743851,10.594561744885315,4.439919078738959,21,0,0,2,1
20,488.4191994039633,5.230330982140458,4.507627425956738,18,0,1,2,0
57,567.9103501303595,11.475511708146918,3.438118346119767,18,0,0,5,1
45,904.9553223258595,4.8842566937016505,3.886079953270322,14,0,0,4,0
40,1214.3232668479664,0.7037179592046167,4.235626389178573,15,0,1,3,0
45,620.3456744824093,1.853084928372473,4.539947236413202,22,0,1,4,1
24,531.0761223582807,1.1269487873151105,3.207918751824779,14,1,0,4,0
41,665.3172399296734,11.97495484629651,4.924730632909057,22,0,0,5,1
49,898.3891932476245,7.143923467867238,4.780441341109112,17,0,0,2,1
69,323.1357753225765,5.6412102667967385,3.5406971809911685,20,1,0,7,1
38,211.01084355919397,1.7902817713168635,4.6455204860646635,22,1,0,8,1
35,505.0874462895866,1.0169789661595643,4.036647846079647,15,1,0,4,1
38,361.2765700534509,7.062187429746098,3.9236129631240373,13,0,0,5,1
58,515.908746088525,3.213771943366735,3.6288682116228106,15,1,0,1,1
49,617.7660590663348,1.2795577295166711,4.161937173263185,20,0,0,7,1
38,530.2644240798542,4.793668871942185,4.459778235407196,21,0,0,3,1
52,1375.034041481597,0.5,3.8218658099255167,15,0,0,6,0
46,783.1876968742968,1.973889012717029,4.258438386016584,17,1,0,2,1
59,772.9676361090308,3.1607966021174843,4.398625842310608,21,0,0,5,1
36,907.8721566265357,0.800599248605534,4.422243634030572,23,0,0,2,1
40,376.3740418662866,20.0,3.1039321962623605,19,0,1,4,0
39,1118.2898678855613,1.1729020464797122,4.719495611370133,17,0,0,6,1
28,640.4159305385987,0.6983402316664269,3.9165066295300957,18,1,1,6,0
48,930.0518233440223,1.1378596725190913,3.524832163392429,18,0,0,6,0
48,389.1914506029156,7.328011245991459,3.4835290149593634,27,0,0,6,1
44,305.857900606184,2.771325162598201,3.966028225687901,15,1,0,6,1
41,1001.1902578256397,4.166829443337638,4.773663078937918,23,0,0,3,1
29,802.8795984562886,0.5,3.756695163365294,21,0,1,4,0
39,423.6782076309133,0.5,4.499451493567086,15,1,1,4,0
40,430.5952093572365,2.951378748969702,3.193637461974437,13,1,1,4,0
35,1167.6137231489872,8.481934907777898,3.9521134043021235,15,1,0,2,0
42,366.97512026618193,10.824512585782784,4.9833722807854715,21,0,0,4,1
50,1512.223671413735,0.5,4.540875605584674,19,0,0,4,1
78,423.98141964342386,3.8648831609652516,3.421056976881226,22,0,0,5,1
47,915.2488200639807,12.222453618197719,4.002882947395822,20,0,0,6,1
48,564.3591062692356,2.4548923925152417,3.467249527297133,19,0,1,5,0
43,899.279345672986,8.847030824508789,3.8191218545250187,21,0,1,4,0
25,506.7121034143622,0.7175949691092814,4.560168047469929,16,1,0,7,1
44,613.146286011978,13.69727786285637,4.5424496305808075,21,0,0,8,1
45,678.8903232933113,6.960019498419614,3.4562007558047703,17,0,0,4,0
93,402.9877933803893,14.179508158214002,4.84444663630972,16,0,0,8,1
42,963.34554873918,5.644593109592982,4.185136365529654,15,0,0,6,1
48,514.6017068880946,2.258099703576552,3.759848581924029,20,1,1,9,0
44,593.2999223165031,13.917736546059395,4.0038711615617215,20,0,0,8,1
31,404.57021766564765,1.611828451439742,4.210142506875488,12,0,0,1,0
62,200.0,2.018627026807612,4.119781063691571,24,0,0,3,1
56,604.5510513615222,6.033355841550835,3.9728100710723564,11,0,0,7,1
56,2222.321636904892,7.247583134383784,4.0098656081788,23,0,1,5,0
34,984.6656519935902,13.253872410029023,3.3528238208557726,23,1,0,1,1
68,658.7669368628506,1.1458232657080352,4.625465808609359,18,0,1,8,1
29,583.2142329955424,7.997389274953654,4.083520639882031,17,0,0,2,1
53,672.6552544088256,6.707485617017292,3.262159723409406,15,0,0,6,0
86,874.4189053665547,0.5,4.532314203165556,18,1,0,1,1
33,368.55634085051986,2.448772121701424,4.864887956754702,22,1,0,2,1
37,1161.143816910831,1.6617618740132432,4.894613798473924,22,0,1,9,1
46,951.1679568413925,1.815552498552928,3.7380354648223455,10,0,1,4,0
38,952.5026249537055,20.0,3.271033747121508,21,1,1,1,0
28,828.1860849434896,5.1469809991990045,4.03679925326613,24,1,0,3,1
45,671.6976601869491,6.323502451526385,3.2252184586984414,19,1,1,3,0
32,931.1595318643664,18.77886636113732,4.867974837025234,18,1,1,2,1
51,894.179972890191,2.3676635051643706,3.367159254710292,25,0,0,2,0
33,557.2308711971667,8.093406719431021,3.5055317199023284,17,0,1,5,0
71,499.29600364125497,2.8504986938955605,3.813273053769941,14,1,0,7,1
35,699.8934769172539,10.183200535417038,3.7663289371182516,16,1,0,6,1
40,1443.044036665011,0.9962657002461488,4.589325784795778,18,0,0,4,0
57,357.9690256665354,14.752473209791939,3.912633641101925,20,0,1,7,1
30,319.3339329847449,1.2344393254175554,3.341536520006674,19,1,0,9,0
47,722.2565589784214,1.974261916458344,3.534419790972148,13,0,0,3,0
66,682.2825381923044,7.056876044507961,4.018226770375044,14,1,0,4,1
27,725.361993906693,2.502356588495185,3.29490783485227,14,0,0,2,0
47,751.4289037688261,4.685164055357775,4.223311351292028,13,0,0,2,1
48,594.9033008051073,2.9400949690668092,4.131494613102292,21,0,0,9,1
56,1400.9862323902594,6.781152938586439,4.429404632764515,18,0,0,6,1
30,298.7323466420069,1.2959995220950262,4.875409230758735,19,0,1,10,1
30,439.5500049724927,0.5,4.824509122202311,18,0,1,4,0
52,631.6734830671205,1.782870441360368,4.8921512361376625,25,1,1,5,1
48,292.4827218775027,3.215205269135781,3.489431194047402,19,1,0,3,1
48,609.1550285439835,0.9197346982224508,3.263130613278709,27,0,0,3,0
49,1526.5034662108103,2.190953659796779,3.604553400992897,15,0,0,3,0
36,672.1242667242162,2.5539866066122805,4.790170345532629,17,0,0,4,1
47,746.466285745835,0.5,4.944106949246977,23,0,1,3,1
48,354.2197975226717,4.377030674777809,4.718649902140952,21,0,0,1,1
36,488.7344505100425,10.785650325194624,3.220035442255087,15,0,1,5,0
78,551.3676399719262,0.8228576022456812,4.8948559961195865,21,0,0,4,1
51,567.4442187777681,4.554128628821411,3.846716054701572,13,0,1,6,0
31,1262.4655801140743,5.464232786109861,3.0186205815247074,14,0,0,5,0
54,879.0532977391977,2.7179036506796725,3.884787481496387,18,1,0,5,1
33,381.56111005675274,6.038190690047156,3.092138339350935,16,0,0,7,0
56,752.3881812349654,2.6443670781082584,4.087755842322235,17,1,0,4,1
63,853.2997343727462,3.5123251659203096,3.6771080548741026,13,1,0,4,1
34,1176.235683196808,0.5,3.9468698671880977,23,1,0,5,0
59,1465.9669579602778,5.883735941515056,4.226340721486234,16,1,0,3,1
50,400.39553822551767,5.413832676009013,4.737602191635641,20,0,1,3,1
57,443.4438753647123,0.5,4.323803152943857,20,0,0,4,1
78,354.6782606644995,2.2963085135505064,3.8680977369563614,21,0,0,6,1
41,591.694272823694,19.323751100352617,4.63885570734073,18,1,0,6,1
35,839.8129489534175,2.7299895897809288,4.811164275146265,17,1,0,3,1
34,1089.7104070243656,3.4852278985845384,3.239519932864394,24,1,0,1,0
34,640.3561386208918,12.035849445762416,4.063865955105583,25,0,0,5,1
43,566.839524657193,6.316170830807772,3.5690239194848883,15,1,0,5,1
49,717.5760938267475,4.362208191713996,3.094122395753895,12,0,0,5,0
48,438.09183142352026,7.9926056234838905,4.33709339022797,19,0,0,3,1
57,1890.8265884809812,9.988985809830007,4.725541554918451,24,1,0,1,1
44,297.72477515426795,3.0521992544632415,3.325805308954788,11,0,0,4,0
69,729.5079672668304,3.222817235449181,4.624827315247801,18,1,0,4,1
41,1829.509376496122,2.439216556819023,4.7067914670738835,16,0,0,1,0
101,667.4069116053109,17.011911419677435,4.828680885332967,20,1,0,5,1
