AdBudget,ChannelsCount,LeadScoreThreshold,EmailFollowUps,DemoRequests,AvgTimeOnSite,PagesPerSession,ContentPieces,TestRatio,RetargetingShare,OrganicShare,CAC,LeadVolume,SaleCycleDays,WeekendPosts,ConversionRate
137.45,4,35,2,2,82.89,5.52,1,0.7442,0.9803,0.1794,75,41,1.93,149,77
195.07,3,64,0,0,75.72,5.04,5,0.7209,0.0753,0.1102,38,48,2.3,134,23
173.2,2,37,4,4,54.7,3.65,5,0.3081,0.3057,0.2773,47,74,1.1,122,60
159.87,5,66,9,9,110.11,7.33,1,0.5425,0.1909,0.1055,77,22,2.9,116,89
115.6,5,72,6,6,102.72,6.85,3,0.5088,0.2685,0.2158,74,31,2.77,125,55
115.6,4,43,9,9,133.87,8.92,1,0.6363,0.4853,0.1877,45,45,1.52,107,84
105.81,3,45,8,8,70.41,4.71,1,0.2505,0.3727,0.2344,56,35,1.03,128,66
186.62,2,44,6,6,66.62,4.44,2,0.5899,0.3947,0.1656,45,70,2.87,125,71
160.11,4,79,8,8,55.24,3.68,3,0.9789,0.8442,0.131,72,56,2.0,109,92
170.81,3,79,7,7,62.81,4.19,3,0.4867,0.93,0.2964,42,41,2.08,125,39
102.06,2,79,1,1,113.72,7.6,1,0.9061,0.0704,0.2678,28,76,2.37,133,0
196.99,3,64,0,0,90.58,6.04,3,0.4344,0.2089,0.2721,31,48,2.23,140,26
183.24,1,60,6,7,39.73,2.64,3,0.3501,0.6711,0.1501,72,33,2.89,106,55
121.23,5,48,6,6,68.09,4.55,4,0.6451,0.3586,0.1078,20,47,2.89,103,46
118.18,3,34,7,7,67.03,4.48,2,0.6689,0.2542,0.1607,77,24,2.73,149,100
118.34,4,64,4,4,134.45,8.95,2,0.8642,0.2953,0.2074,77,66,2.27,144,73
130.42,3,20,2,2,136.84,9.12,1,0.2302,0.3226,0.1653,20,68,2.6,110,20
152.48,3,44,7,7,52.21,3.49,1,0.4992,0.8487,0.2656,66,49,2.35,128,94
143.19,3,26,5,5,179.66,11.98,4,0.572,0.1366,0.1543,53,65,2.15,135,76
129.12,3,28,2,2,70.02,4.64,5,0.7686,0.7089,0.2931,51,71,1.26,124,73
161.19,5,43,0,0,176.49,11.77,1,0.0436,0.5528,0.1915,73,24,2.62,120,35
113.95,4,20,2,2,91.66,6.12,1,0.9946,0.2965,0.2684,67,31,2.64,135,82
129.21,5,63,4,4,34.96,2.32,1,0.4699,0.4198,0.1389,44,35,2.25,109,23
136.64,5,27,2,2,81.76,5.46,1,0.2796,0.2562,0.1823,59,45,2.64,136,51
145.61,4,43,0,0,125.15,8.36,5,0.8835,0.6115,0.2399,64,45,2.3,108,81
178.52,5,30,4,4,132.11,8.81,1,0.7477,0.0816,0.1277,72,67,1.41,123,96
119.97,2,70,9,10,109.64,7.3,1,0.9531,0.0052,0.1265,20,40,1.55,134,50
151.42,3,36,6,6,97.17,6.47,1,0.3308,0.6279,0.2939,35,58,1.43,148,52
159.24,1,27,6,6,112.93,7.53,1,0.5528,0.1943,0.2429,58,55,1.75,134,75
104.65,3,54,8,8,118.9,7.93,1,0.5723,0.0709,0.1082,24,52,1.08,147,50
