delivery_min,rest_dist,food_temp,rest_rating,items,order_sum,weather,promo,hour,late
112,5.17,69,1.64,3,2161.75,0,0,8,0
61,12.67,6,3.76,11,4414.0,0,1,14,0
102,9.74,13,3.38,11,4014.51,0,0,11,0
24,17.58,10,3.99,6,1082.87,0,0,17,0
116,5.79,11,1.6,14,4694.44,0,0,0,0
81,0.57,4,4.77,9,852.66,0,1,14,1
70,3.67,4,3.48,1,4421.9,0,0,0,0
30,7.32,19,4.39,12,5947.62,0,0,0,0
112,6.66,53,1.99,6,5756.29,0,1,20,0
92,15.93,54,3.96,2,4841.4,2,0,1,1
96,13.77,57,4.12,9,3300.2,0,0,3,1
84,6.34,78,2.59,13,4113.98,1,0,16,1
84,9.43,89,2.54,2,4423.03,0,0,1,0
97,2.36,29,3.63,12,248.73,0,0,6,0
109,18.01,23,1.37,3,793.72,1,0,21,1
113,18.74,86,3.94,12,3662.94,0,0,9,0
33,19.61,72,1.17,2,237.9,0,1,9,0
12,17.44,2,1.76,11,5471.65,0,1,12,0
31,3.89,47,3.66,4,3040.04,0,0,4,0
62,1.4,70,1.39,4,1695.05,0,1,6,0
11,11.8,21,4.89,10,2484.16,1,0,13,1
97,18.3,13,4.47,1,5134.5,0,0,17,0
117,3.96,47,3.51,8,5577.72,2,0,21,0
39,0.64,28,4.28,5,874.16,0,1,18,0
47,16.21,49,4.55,12,4712.17,0,0,19,0
11,2.0,79,2.04,8,3553.72,2,0,20,0
73,8.57,9,4.4,13,3595.92,0,0,20,0
69,13.74,70,1.78,6,4720.82,2,0,9,0
30,5.12,88,2.65,14,1492.5,0,1,7,0
42,2.14,26,3.23,2,3280.06,0,0,20,0
85,15.52,78,3.86,7,2052.25,0,0,1,1
67,12.79,27,1.12,10,748.17,0,0,13,0
31,19.78,8,2.16,15,809.46,1,0,1,0
117,7.21,70,3.43,15,991.53,0,0,11,0
98,1.7,79,2.43,15,3766.42,0,0,16,1
58,14.82,25,4.1,9,813.82,0,0,17,1
100,10.67,80,3.61,7,3506.6,0,0,16,1
68,4.66,86,1.94,11,3612.12,2,0,14,1
51,15.74,7,1.58,5,5442.6,0,0,2,0
101,4.47,1,3.52,4,3832.98,1,0,20,1
69,5.58,56,2.8,11,5916.41,0,0,18,0
89,2.3,51,1.68,14,379.76,0,0,22,0
24,8.29,57,2.31,8,4284.05,1,1,10,1
71,8.67,2,2.21,6,353.58,2,0,17,1
71,10.53,7,1.43,13,4430.39,2,0,20,1
56,14.32,58,3.19,5,2437.93,1,0,2,0
71,18.17,1,4.05,7,3745.59,0,0,17,1
60,3.19,61,3.3,11,1995.32,0,1,3,0
117,1.56,48,4.31,3,1122.81,1,0,8,0
64,0.86,19,1.51,9,4396.37,0,1,5,1
73,3.3,28,2.74,4,5446.8,2,0,6,1
12,13.33,16,3.44,12,1264.78,1,1,0,0
110,14.69,73,3.7,4,5540.08,2,1,2,0
60,15.84,21,3.78,15,1013.06,1,1,14,0
16,5.25,5,3.92,8,4466.84,1,0,1,1
30,6.46,61,3.61,6,5764.78,0,1,8,0
82,9.92,30,1.38,14,1054.75,1,0,7,0
48,1.73,61,3.78,11,2723.52,0,0,18,0
27,12.42,11,3.9,1,2157.25,1,0,13,0
13,19.68,11,4.97,2,2453.17,1,0,23,0
98,7.54,62,3.77,9,4568.21,1,0,9,1
69,15.18,15,3.75,6,4034.9,1,1,23,1
23,10.25,24,3.06,7,5818.38,1,1,10,0
18,2.99,21,4.47,11,1275.78,0,0,7,0
99,11.85,90,4.99,9,3350.91,2,0,3,1
62,6.35,87,4.12,3,2804.93,0,0,22,0
11,1.17,75,3.45,5,5529.37,2,0,7,0
93,12.88,17,1.32,5,261.59,0,0,9,0
101,17.25,44,3.91,10,5937.19,2,1,14,1
120,7.22,79,3.83,14,2982.46,0,1,12,1
69,8.11,67,4.1,7,3828.13,1,0,4,0
80,17.87,11,1.5,13,2288.3,0,1,14,0
53,16.37,48,3.61,2,5144.65,1,0,2,0
17,14.44,32,2.18,4,3459.53,0,0,2,0
56,5.35,85,4.04,11,4044.3,1,0,23,0
