delivery_min,rest_dist,food_temp,rest_rating,items,order_sum,weather,promo,hour
114,19.57,8,2.28,10,1012.07,0,1,7
81,10.4,35,4.29,12,4134.56,2,0,8
110,11.27,83,2.41,2,624.33,1,0,4
60,14.39,78,3.89,1,4360.49,1,0,1
83,9.95,2,4.11,10,2078.07,0,1,9
52,4.88,22,3.0,10,2901.92,0,1,12
24,10.98,72,4.13,12,1164.31,0,0,14
47,18.91,29,2.27,10,3841.52,0,0,20
24,8.49,18,3.06,10,2157.89,0,1,13
14,13.75,66,3.75,9,2423.58,2,0,10
102,19.57,49,1.67,2,3982.72,2,0,13
92,16.68,47,2.09,10,1237.4,1,0,6
63,13.35,2,3.61,4,5141.65,1,1,13
60,14.85,65,3.62,3,4487.86,0,0,2
19,18.76,26,2.97,1,3550.83,0,0,9
21,19.22,86,4.18,8,944.33,2,1,20
13,19.39,39,2.93,2,4185.24,1,0,5
104,12.7,17,4.53,11,304.98,1,0,5
27,8.0,26,3.94,8,4865.5,2,0,19
89,3.1,10,2.26,12,1962.03,2,1,2
113,8.02,38,2.58,1,879.83,0,0,15
45,18.89,18,3.67,6,1154.04,0,0,10
34,17.85,88,4.58,4,5786.18,2,0,19
96,10.71,6,1.71,3,4688.22,1,0,16
85,10.97,56,3.06,1,1579.66,2,0,23
107,6.52,1,1.48,10,5788.1,0,0,11
45,9.36,37,2.12,11,1012.68,0,0,2
110,14.43,4,3.74,12,4454.46,0,1,3
76,8.35,77,1.31,1,4009.09,0,0,10
18,4.17,81,3.65,11,4964.57,2,0,8
70,11.05,35,4.6,7,2413.85,1,0,5
62,4.89,67,4.88,6,2530.65,2,0,19
27,19.5,87,1.87,3,3822.49,0,1,23
52,8.11,76,4.0,12,2509.59,0,0,22
44,18.24,84,4.71,12,439.84,0,0,21
72,4.9,56,1.37,2,4432.31,0,0,21
107,4.19,19,2.66,10,3917.49,1,0,8
114,12.53,4,4.68,3,2657.53,0,0,19
87,15.7,23,1.81,12,1956.41,0,0,13
13,11.55,29,4.74,15,2060.21,1,1,5
102,4.98,27,3.11,8,4497.97,0,0,15
50,1.24,52,1.4,11,4429.13,0,1,17
54,12.56,50,2.8,7,4949.73,1,0,8
59,3.06,6,2.31,13,4620.65,1,0,6
88,7.19,41,2.13,14,4596.08,2,1,23
37,13.68,34,3.17,12,1660.28,1,1,17
51,2.41,33,2.93,15,789.35,2,0,11
89,2.98,72,2.93,13,4618.16,0,0,4
85,1.7,75,1.35,7,771.98,0,1,13
78,19.92,53,4.21,5,5896.25,2,1,13
107,8.05,28,2.93,12,5275.52,2,1,2
115,18.16,9,4.28,10,3294.08,1,0,6
10,6.22,26,4.3,3,2242.66,1,0,15
48,15.19,82,2.27,1,3255.69,0,0,20
105,4.77,12,1.02,1,4458.95,0,0,21
99,10.22,41,4.64,6,4586.71,0,0,20
26,16.58,36,4.04,15,627.26,0,0,21
100,16.42,60,1.43,4,4868.15,1,0,8
97,15.99,78,3.81,7,3920.68,0,1,22
44,16.56,20,1.08,10,435.36,0,0,16
55,4.62,2,1.11,10,2016.33,2,0,8
51,9.9,7,3.1,10,3161.72,0,0,17
48,9.95,69,1.38,1,1293.02,0,0,13
99,17.86,82,4.86,13,1100.4,1,0,3
58,6.29,16,4.58,6,282.83,2,0,14
71,18.66,9,3.6,7,5486.99,0,1,3
47,9.29,12,1.25,1,525.43,2,0,4
32,13.56,90,2.3,2,2322.87,0,0,3
31,5.74,11,2.49,9,1393.48,1,1,23
13,8.5,65,2.92,9,4497.99,0,0,8
58,14.34,73,1.68,6,4301.67,0,0,10
68,10.5,84,3.31,11,4876.09,1,0,13
82,18.65,22,2.74,4,3777.49,1,0,11
77,14.87,64,4.79,7,3631.59,1,0,17
80,11.51,51,4.74,5,2561.24,2,1,11
96,17.79,60,3.26,15,3890.88,0,0,8
11,13.48,25,3.58,3,868.19,1,0,1
58,13.12,14,1.55,4,4170.17,0,0,18
97,5.3,21,1.89,2,802.61,0,0,5
113,8.2,88,4.6,14,5198.09,1,1,12
104,13.82,64,3.8,6,3132.96,0,0,14
120,17.89,25,1.76,3,3276.07,0,0,22
40,6.65,20,3.28,7,3592.17,2,0,23
120,4.7,23,4.74,4,4701.1,0,0,1
49,12.08,15,2.38,14,2975.13,0,0,15
57,1.81,31,1.74,8,2680.01,1,0,5
60,14.43,15,4.77,11,1872.33,0,1,13
52,14.21,76,2.85,14,942.63,0,0,18
107,7.42,41,2.67,1,1303.99,0,1,14
64,17.91,31,2.07,9,203.06,0,1,17
97,10.29,49,4.57,3,5242.65,2,0,11
58,13.09,40,4.38,15,4636.76,2,0,1
99,4.59,23,2.61,3,1468.36,0,0,19
89,8.64,12,1.12,15,213.86,0,0,23
