days_since_last_visit,visits_last_30d,avg_session_len_min,classes_attended,trainer_assigned,promo_used_last_90d,contract_type,days_to_expiry,feedback_score,missed_classes,churn_30d
39,2,65.30035908433364,0,0,1,4,54,4.810134499850541,0,0
16,2,64.17286435002742,2,0,1,5,31,4.633474601471784,2,0
24,4,67.33725885300012,1,1,3,5,35,5.0,1,0
0,8,43.50127464390291,1,0,0,4,49,5.0,1,0
13,4,66.59639235158015,3,0,1,3,36,4.7469981863767075,0,1
11,6,46.767985795593475,1,0,0,3,47,2.628355223783491,3,0
5,2,51.01648136377075,1,0,1,2,13,3.9530944507179897,0,0
4,3,73.92791244932555,4,0,0,5,26,4.407485917672015,1,0
13,6,52.449346373821896,1,0,2,4,58,4.0183867259930475,1,1
18,7,50.43086932057518,3,0,1,5,18,3.52270676359038,1,0
0,4,63.05696947001689,1,0,0,1,30,4.432423445700745,1,0
12,4,80.19832120585681,3,1,3,5,45,5.0,1,0
2,5,96.07371000513643,2,0,3,5,8,4.246368573583482,0,0
2,7,77.13583838803395,3,1,1,3,37,3.809362707043025,1,0
14,7,76.93743265927417,6,1,1,3,16,4.814852299725762,1,1
5,5,59.64156106434904,3,1,0,3,18,4.168985197087949,0,0
8,2,98.39280388761311,0,0,0,3,43,4.193573809884806,4,0
6,7,62.97935632009556,4,0,0,4,3,2.975592989826601,1,0
15,5,59.46546646643456,4,0,1,4,47,3.632259741569941,2,0
9,3,65.7401570326102,3,0,2,3,56,3.6426660900964607,3,1
49,2,63.96658114110846,2,0,0,4,10,2.7508526044560155,4,0
6,9,40.2930565086606,3,0,1,2,21,3.5803207624611755,1,0
20,2,49.54273903999832,1,0,0,3,3,3.471821747017718,5,0
4,2,65.7086241838627,2,0,0,4,16,4.053972767713991,1,0
10,6,48.15943760614799,4,0,0,4,7,4.235032517301693,1,0
12,4,69.71467398721671,3,0,1,5,45,4.275199965240799,3,0
5,4,60.540935911235735,4,0,1,3,58,4.97059351812727,0,0
9,6,74.05111263543179,3,0,0,4,33,4.18402792741235,4,0
4,6,58.14389046840767,7,0,1,4,10,2.986778231391873,2,0
0,10,67.22554668263058,7,0,0,1,30,4.121448167157249,1,0
3,7,32.823739337204216,6,0,0,4,10,3.620815545621805,0,1
18,9,35.859057637944716,4,0,1,3,55,3.667604830385878,1,0
22,3,47.9503409221556,3,0,1,2,53,4.233606135853248,0,0
4,7,64.66371030693657,2,0,3,5,55,4.016347269140535,2,0
7,8,48.28188919131474,6,0,0,5,37,4.686983278852738,1,0
0,13,70.91997957662038,11,1,2,5,52,4.008041822391339,0,0
4,5,65.80103602954374,0,0,2,3,20,4.531254063449966,1,1
22,3,53.118468707504185,2,0,0,2,45,3.715234000537938,1,1
13,4,63.35787746823738,1,0,1,5,29,3.2066929843663217,4,0
3,8,53.33952698084613,6,1,1,4,9,4.737136720035931,0,0
4,6,64.72657544781235,3,0,1,2,25,5.0,0,0
25,2,52.343773552919465,1,0,1,4,26,3.803574749728541,3,0
3,4,65.94735312902625,1,0,1,1,7,3.262541718244509,3,0
6,2,80.40927148928573,1,0,1,5,38,4.316378045530138,1,0
16,8,41.46219521760744,2,0,1,3,7,3.992962426738522,1,0
12,6,49.58518744751471,4,0,0,5,59,4.468825580973087,0,0
9,5,50.206314307901245,1,0,1,3,7,4.149326089184004,1,0
34,3,,1,1,0,4,54,4.8868137110979015,1,1
3,3,72.56486673404825,0,0,0,4,33,4.405004221443091,3,0
20,3,33.906766497478685,1,0,0,3,58,4.412286702351432,2,1
2,11,57.24801210792068,8,1,0,5,15,5.0,0,0
14,3,60.42358777535086,0,0,1,5,40,4.238543559684572,3,0
30,2,73.22873279861935,2,0,0,5,12,4.24661780740286,1,0
