cancel_prob,rating
0.099,2
0.156,3
0.063,2
0.139,3
0.263,4
0.256,2
0.525,3
0.185,4
0.414,4
0.529,2
0.547,1
0.123,4
0.243,3
0.166,1
0.701,2
0.278,3
0.188,5
0.408,2
0.175,4
0.457,3
0.126,5
0.17,5
0.089,4
0.278,2
0.051,3
0.281,4
0.582,2
0.58,3
0.224,2
0.002,4
0.308,4
0.018,4
0.221,3
0.213,4
0.222,3
0.072,2
0.306,4
0.651,5
0.261,4
0.728,4
0.059,3
0.235,5
0.188,3
0.568,2
0.196,4
0.074,5
0.637,2
0.137,3
0.138,3
0.392,2
0.251,3
0.148,3
0.139,3
0.488,4
0.565,2
0.053,4
0.0,3
0.136,4
0.599,3
0.303,4
0.694,4
0.701,5
0.025,4
0.413,3
0.269,2
0.032,4
0.27,4
0.04,4
0.372,3
0.129,1
0.104,3
0.206,3
0.225,4
0.235,4
0.486,1
0.431,2
0.062,5
0.0,4
0.259,4
0.009,4
0.546,2
0.316,3
0.158,3
0.075,4
0.281,3
0.119,1
0.316,4
0.222,4
0.137,3
0.098,2
0.495,3
0.302,4
0.195,6
0.283,5
0.087,4
0.0,5
0.064,3
0.528,1
0.421,3
0.302,4
0.0,4
0.325,1
0.201,2
0.4,2
0.509,3
0.055,4
0.592,4
0.621,2
0.0,5
0.552,1
0.371,3
0.204,2
0.233,2
0.08,2
0.327,5
0.387,4
0.062,4
0.022,6
0.149,5
0.0,3
0.294,5
0.322,5
0.084,3
0.159,3
0.289,3
0.19,3
0.184,4
0.181,5
0.276,3
0.55,3
0.069,5
0.118,3
0.295,1
0.205,2
0.058,3
0.206,2
0.628,2
0.349,5
0.505,4
0.052,2
0.241,4
0.08,4
0.288,4
0.49,1
0.383,4
0.469,3
0.343,4
0.498,3
0.333,3
0.176,5
0.26,3
0.221,3
0.207,3
0.155,5
0.238,4
0.032,3
0.192,4
0.038,5
0.609,3
0.467,3
0.229,5
0.15,5
0.257,1
0.491,2
0.193,3
0.383,3
0.137,3
0.568,3
0.352,3
0.131,4
0.148,3
0.0,4
0.377,3
0.209,4
0.103,4
0.644,5
0.269,2
0.372,3
0.398,3
0.557,3
0.149,4
0.142,3
0.08,3
0.29,3
0.206,3
0.512,2
0.061,3
0.488,2
0.139,2
0.239,3
0.502,3
0.226,7
0.204,5
0.31,3
0.52,2
0.392,5
0.271,3
0.337,5
0.096,2
0.289,3
0.366,3
0.355,3
0.212,1
0.203,2
0.54,3
0.421,1
0.377,3
0.584,2
0.393,3
0.301,4
0.417,3
0.234,3
0.496,5
0.553,3
0.42,2
0.314,5
0.423,2
0.256,3
0.183,3
0.251,3
0.513,4
0.282,4
0.207,3
0.202,2
0.433,3
0.287,3
0.263,4
0.437,3
0.675,2
0.158,3
0.226,3
0.247,2
0.271,4
0.367,2
0.562,2
0.386,3
0.232,4
0.247,1
0.245,3
0.246,5
0.392,4
0.092,3
0.454,3
0.1,3
0.231,3
0.293,4
0.288,3
0.212,5
0.166,5
0.14,4
0.81,4
0.48,1
0.262,4
0.279,5
0.012,4
0.415,2
0.31,3
0.221,4
0.237,3
0.586,4
0.326,3
0.0,2
0.204,3
0.303,3
0.082,3
0.322,4
0.402,2
0.102,3
0.386,2
0.582,3
0.268,1
0.332,3
0.32,2
0.524,4
0.51,4
0.252,3
0.092,2
0.525,3
0.567,3
0.361,4
0.507,4
0.16,3
0.217,3
0.03,5
0.165,3
0.135,3
0.438,4
0.281,2
0.303,3
0.023,6
0.217,2
0.269,4
0.319,2
0.358,6
0.224,2
0.192,1
0.234,2
0.557,4
0.597,3
0.62,2
0.322,3
0.144,3
0.284,3
0.002,6
0.251,4
0.273,5
0.13,5
0.25,3
0.171,4
0.031,4
0.178,3
0.13,3
0.16,4
0.623,2
0.398,1
0.647,3
0.249,4
0.528,4
0.258,3
0.307,4
0.117,3
0.544,4
0.19,2
0.626,1
0.495,1
0.181,4
0.476,3
0.0,4
0.559,3
0.151,4
0.484,2
0.158,3
0.374,3
0.234,3
0.345,1
0.133,2
0.324,3
0.154,3
0.032,5
0.196,4
0.168,4
0.229,5
0.457,2
0.556,3
0.27,4
0.34,2
0.228,3
0.115,3
0.329,4
0.141,2
0.366,2
0.69,2
0.526,5
0.226,2
0.567,3
0.595,1
0.184,3
0.108,5
0.583,3
0.385,4
0.056,3
0.187,6
0.184,4
0.219,3
0.536,3
0.332,3
0.108,1
0.525,4
0.217,4
0.401,4
0.589,2
0.173,2
0.378,2
0.181,4
0.704,4
0.328,2
0.318,3
0.248,2
0.135,3
0.183,4
0.386,3
0.0,3
0.024,3
0.416,3
0.12,6
0.161,4
0.57,3
0.171,4
0.381,1
0.196,4
0.0,2
0.198,5
0.343,4
