density,speed,traffic_type
115.23,49.77,Динамичное движение
162.7,12.43,Затор
159.71,7.5,Затор
118.9,7.01,Затор
77.58,58.29,Динамичное движение
174.1,11.58,Затор
107.68,14.15,Затор
84.91,27.6,Динамичное движение
40.51,9.04,Авария/перекрытие
12.17,80.0,Свободно
164.48,14.17,Затор
20.87,76.98,Свободно
125.44,5.07,Затор
47.0,8.78,Авария/перекрытие
66.38,12.34,Авария/перекрытие
80.02,6.82,Авария/перекрытие
21.14,72.71,Свободно
53.94,5.63,Авария/перекрытие
170.44,5.0,Затор
85.6,65.1,Динамичное движение
66.73,48.46,Динамичное движение
22.77,80.0,Свободно
28.17,34.73,Динамичное движение
66.93,40.72,Динамичное движение
25.71,72.16,Свободно
26.34,70.38,Свободно
15.79,65.2,Свободно
37.13,10.9,Авария/перекрытие
46.92,12.69,Авария/перекрытие
44.08,7.88,Авария/перекрытие
12.58,43.33,Динамичное движение
7.69,69.56,Свободно
157.03,10.73,Затор
80.74,58.8,Динамичное движение
111.15,55.74,Динамичное движение
20.58,63.0,Свободно
136.16,11.27,Затор
143.9,13.83,Затор
73.56,6.66,Авария/перекрытие
29.76,63.38,Свободно
81.39,44.84,Динамичное движение
22.96,56.29,Свободно
87.0,60.48,Динамичное движение
63.37,7.93,Авария/перекрытие
26.3,73.02,Свободно
14.0,76.17,Свободно
45.15,16.3,Авария/перекрытие
96.17,26.92,Затор
105.36,45.27,Динамичное движение
189.04,16.41,Затор
177.64,18.77,Затор
96.76,5.0,Авария/перекрытие
19.4,80.0,Свободно
148.4,13.45,Затор
5.75,80.0,Свободно
13.98,69.9,Свободно
164.1,17.76,Затор
15.37,68.26,Свободно
5.0,74.35,Свободно
145.68,13.33,Затор
29.0,67.84,Свободно
30.31,69.85,Свободно
51.93,52.28,Динамичное движение
58.53,63.35,Свободно
191.05,18.96,Затор
135.46,26.63,Затор
132.04,9.98,Затор
66.64,12.13,Авария/перекрытие
23.61,70.2,Свободно
89.56,45.52,Динамичное движение
21.75,68.86,Свободно
48.08,44.61,Динамичное движение
142.56,19.64,Затор
200.0,5.0,Затор
14.11,73.83,Свободно
13.77,63.15,Свободно
153.06,9.27,Затор
21.97,65.49,Свободно
167.53,20.14,Затор
48.88,49.71,Динамичное движение
