density,speed
146.04,14.84
16.55,11.17
21.31,67.19
25.61,80.0
27.87,70.28
124.0,9.7
142.27,9.33
106.23,48.52
100.16,8.85
61.82,45.38
192.79,12.43
163.24,5.0
24.04,74.98
159.12,21.49
91.11,39.36
18.62,65.52
44.96,9.87
79.06,5.49
155.44,18.89
17.8,63.28
10.62,66.1
28.23,77.8
100.61,22.56
111.39,50.44
88.69,20.76
56.27,51.98
73.63,51.08
29.69,73.94
47.62,56.09
70.02,14.39
153.76,10.5
73.18,51.49
126.52,11.87
18.85,60.96
5.0,76.51
83.23,41.12
125.22,17.16
70.63,52.08
20.1,68.25
28.22,74.91
161.5,19.11
49.03,12.76
149.51,29.43
138.92,20.88
93.99,40.17
74.16,5.0
69.14,39.5
137.8,14.83
28.66,80.0
200.0,15.4
81.72,13.58
171.75,18.19
191.94,18.6
5.0,77.05
144.66,10.5
111.1,23.59
40.74,49.36
115.75,5.0
75.33,52.72
23.31,72.58
95.55,62.28
145.23,24.3
73.45,13.57
142.74,29.4
41.22,79.34
17.74,74.76
51.86,62.96
97.51,39.65
10.25,80.0
21.99,71.88
28.32,13.5
28.56,80.0
97.82,39.98
85.22,12.93
89.98,52.09
85.19,40.41
42.42,56.69
145.33,23.04
35.53,39.48
132.68,13.64
5.0,60.53
172.37,5.0
54.81,7.14
17.65,79.9
71.43,46.33
23.29,80.0
58.54,55.5
37.69,70.27
16.85,65.39
79.13,38.49
10.91,80.0
175.56,10.94
34.66,70.78
158.27,14.3
35.38,73.98
38.86,61.46
34.41,70.15
82.14,7.46
91.81,33.42
16.57,70.04
