hour,dayofweek,cust_dist,items_count,total_price,barista_exp,promo,rain,time_to_serve,good_review,repeat_visit
6,1,13.39,4,101.58,51,1,1,127,1,0
19,1,10.54,4,1351.93,58,0,1,131,1,0
14,1,4.03,2,535.46,34,1,0,47,1,1
10,3,14.01,2,536.09,59,0,0,40,1,0
7,2,2.02,7,419.32,21,1,1,244,0,1
20,1,4.39,5,543.82,56,0,0,81,1,1
6,6,8.04,8,398.88,37,0,0,238,0,0
18,1,8.7,7,1368.22,49,0,0,198,1,0
22,5,0.72,5,1358.63,19,0,0,150,0,1
10,0,11.82,3,243.1,60,1,0,69,1,0
10,5,5.74,1,300.0,37,0,0,40,1,1
23,5,6.39,1,1306.83,55,0,1,30,1,1
20,0,12.24,8,658.51,21,0,0,233,0,0
3,6,6.0,5,336.98,14,1,1,218,0,0
7,2,1.18,2,814.94,10,0,1,114,0,0
23,5,3.06,8,683.34,53,1,0,196,1,0
2,2,14.36,6,406.83,7,1,1,258,0,0
21,5,1.52,7,1109.05,29,1,1,236,0,1
20,4,5.65,3,983.81,40,0,0,46,1,0
1,0,7.8,1,239.53,8,0,0,49,0,0
23,5,7.65,5,1395.54,39,0,0,113,1,0
11,4,0.56,2,881.86,13,1,1,89,0,1
5,3,7.77,2,450.29,46,1,0,33,1,1
1,4,6.06,2,388.81,19,0,0,57,1,1
20,1,14.6,7,290.33,11,1,0,178,0,0
0,5,2.81,6,694.49,2,0,0,210,0,0
11,4,5.64,4,289.76,49,0,0,80,1,0
21,2,6.58,8,682.14,6,0,0,290,0,0
11,3,6.17,7,308.28,29,1,1,236,0,0
16,6,10.15,6,1019.53,41,1,1,204,1,0
9,5,3.62,2,1199.34,51,1,1,93,1,0
15,1,3.71,5,869.33,5,1,0,163,1,1
14,6,11.07,8,1052.08,41,0,1,253,0,0
14,4,7.75,3,1413.73,30,1,0,72,1,0
18,6,6.52,6,993.72,57,0,0,134,1,0
11,6,2.95,5,609.82,39,1,1,153,1,1
22,3,3.22,7,729.27,36,1,0,176,0,1
19,6,0.65,7,1304.74,27,0,0,219,0,0
2,6,1.83,8,283.01,50,0,0,194,1,1
4,5,8.57,2,556.03,18,0,0,54,1,0
18,3,13.43,3,908.19,52,1,1,98,1,0
6,1,4.66,1,1046.95,49,0,0,30,1,1
20,4,5.25,1,1168.9,36,0,1,30,1,0
8,3,2.18,7,545.49,60,1,0,175,1,1
6,3,6.14,5,304.2,59,0,0,116,1,1
17,0,1.04,3,1436.77,54,0,0,68,1,1
3,3,13.81,5,206.95,16,0,1,181,0,0
13,0,10.26,3,234.13,54,0,1,103,1,1
17,4,14.87,3,792.92,55,1,0,57,1,0
8,6,13.3,7,1246.98,5,0,0,245,0,0
20,5,7.36,5,1184.31,9,0,1,205,0,0
1,5,8.04,7,1412.78,34,0,0,203,0,0
19,4,3.26,8,298.24,34,0,0,221,0,1
14,4,7.2,3,626.02,36,1,0,50,1,0
6,2,13.59,6,495.0,31,1,0,190,0,0
11,6,1.24,2,1305.22,52,0,0,30,1,1
7,4,13.02,8,783.7,20,0,0,232,0,0
14,3,5.44,3,137.59,17,0,1,132,0,0
2,5,13.54,6,1091.15,20,0,1,224,0,0
13,1,14.14,3,644.18,28,0,1,115,0,0
16,5,10.23,6,843.61,21,1,0,198,0,0
3,0,10.13,5,1351.3,57,0,0,95,1,0
17,5,7.06,1,459.43,19,0,1,101,1,1
7,2,12.62,4,436.37,3,0,1,186,0,0
3,6,14.44,8,468.47,30,0,0,224,0,0
1,4,11.74,3,573.35,5,1,0,125,1,0
5,6,9.52,4,250.3,42,0,1,140,0,0
21,4,9.3,3,1076.11,6,0,1,126,0,0
9,5,12.82,5,390.36,3,0,1,245,0,0
3,1,8.35,5,1396.6,49,1,1,177,1,0
21,1,12.16,6,401.96,42,0,0,140,1,0
17,2,7.88,3,457.9,24,1,0,110,0,0
11,0,1.41,5,515.83,44,0,1,172,1,1
1,5,6.07,5,1175.95,1,1,0,161,0,0
9,4,6.94,3,698.65,50,1,0,69,1,0
3,5,2.55,6,1247.07,51,0,1,149,1,1
13,2,1.99,6,1198.8,54,1,0,130,1,1
15,3,8.26,6,1401.29,52,0,1,177,0,0
14,3,1.73,6,1159.25,36,0,1,205,0,1
7,2,4.89,1,172.68,15,0,0,61,1,1
13,4,11.3,3,1272.19,41,0,0,59,1,0
22,6,14.48,7,1413.3,38,0,0,165,0,0
7,2,10.91,1,1491.16,44,1,1,30,1,0
20,4,14.89,5,275.37,18,1,0,141,1,0
15,1,10.63,1,958.58,23,0,0,30,1,0
12,2,4.76,8,379.24,47,1,1,274,0,1
17,4,10.24,7,467.51,29,0,0,215,0,0
14,2,10.68,7,1143.82,51,0,0,184,0,0
20,2,5.89,7,1468.73,41,1,0,176,1,0
23,6,0.76,6,932.8,22,0,0,159,0,0
12,6,10.7,5,1290.82,24,0,1,171,0,0
8,4,0.81,1,112.44,45,1,0,30,1,1
14,4,9.65,1,151.28,48,0,0,30,1,0
12,0,2.87,8,935.41,13,0,1,296,0,1
0,2,8.7,3,644.58,33,0,1,100,1,0
6,3,7.81,1,1345.66,50,0,0,30,1,1
8,2,0.7,8,522.77,22,1,1,322,0,1
23,2,5.76,5,704.87,35,0,1,163,0,0
0,4,9.22,6,839.07,17,0,0,198,0,0
11,2,12.8,3,482.25,22,0,1,97,0,0
7,5,13.39,8,1371.89,5,0,1,267,0,0
23,2,7.52,1,750.35,25,0,0,34,1,0
10,5,11.06,3,693.82,6,0,1,174,0,0
18,6,5.09,4,1289.65,53,0,1,163,0,0
16,3,5.46,3,536.77,17,0,1,133,0,0
7,4,3.32,7,1244.45,31,0,0,178,0,0
2,2,8.65,6,271.18,17,1,0,209,0,0
2,5,5.06,7,355.9,59,1,0,161,1,1
0,5,1.72,4,1431.18,33,1,0,123,1,1
4,6,10.43,7,1279.43,39,0,1,212,0,0
9,5,10.76,4,643.06,54,0,0,104,1,0
6,1,5.72,3,993.84,48,1,0,34,1,1
8,0,1.61,5,1420.16,37,0,1,168,0,1
6,3,6.68,6,396.6,48,0,0,149,1,0
8,6,6.91,5,182.61,4,1,0,197,0,0
7,6,10.2,6,852.46,43,1,0,130,1,0
11,2,5.07,8,299.64,14,1,0,228,0,1
1,1,10.4,6,362.25,13,1,1,233,0,0
0,2,13.14,7,1348.15,27,0,1,240,0,0
15,2,3.94,7,110.36,24,0,0,196,0,0
22,4,14.69,5,1243.55,27,1,0,129,1,0
22,4,6.1,2,823.73,8,0,1,129,0,0
23,4,4.38,8,883.01,53,1,1,193,1,0
4,1,6.61,4,1040.48,52,0,0,81,1,0
2,2,1.87,7,704.02,47,0,1,216,0,1
11,0,2.32,8,261.86,50,1,0,176,1,1
7,3,6.51,7,243.95,39,0,0,152,1,1
21,4,11.56,7,1156.11,21,1,1,257,0,0
2,4,13.55,3,409.45,51,0,0,30,1,0
0,6,10.14,5,139.34,57,1,0,118,1,1
2,2,2.03,5,1471.46,41,0,0,150,1,1
4,2,10.24,7,1472.55,11,0,0,229,0,0
14,1,9.71,3,629.4,31,0,1,111,0,0
13,1,12.18,7,135.73,27,0,0,196,0,0
2,4,12.47,4,1118.17,42,1,0,61,1,0
0,2,13.09,3,1263.42,46,0,0,46,1,0
4,0,6.5,7,275.02,48,0,1,201,1,1
22,3,10.62,6,289.64,27,0,0,159,0,0
13,2,4.39,2,1251.11,8,0,1,123,0,0
6,6,14.99,6,1390.67,33,0,1,202,0,0
8,2,3.04,2,1207.06,12,0,1,153,0,0
14,5,0.65,3,381.04,35,0,1,100,0,1
14,1,2.66,6,676.13,34,1,0,168,1,1
9,6,11.75,4,941.18,16,0,0,156,1,0
12,3,6.98,8,324.41,36,1,1,264,0,0
18,4,6.99,6,394.84,2,0,1,265,0,0
6,6,14.35,5,496.04,12,0,0,188,0,0
16,2,13.83,8,813.32,27,0,0,192,0,0
19,4,5.01,8,815.13,56,0,0,215,0,0
3,2,3.53,2,1240.01,17,0,1,117,0,1
4,4,12.8,2,1154.21,20,1,1,80,1,0
22,3,13.64,7,1379.23,21,0,0,235,0,0
6,1,8.35,4,1266.06,30,1,0,105,1,0
12,3,9.63,2,455.43,42,0,0,30,1,0
14,5,4.23,2,563.82,20,0,0,65,1,1
10,0,12.11,7,800.59,8,0,1,311,0,0
3,1,9.67,4,119.98,18,1,1,164,0,0
12,3,7.8,6,1365.46,57,0,0,126,1,0
6,5,1.37,3,162.08,18,1,0,105,0,1
18,0,13.78,6,551.42,18,0,0,217,0,0
21,5,9.42,5,896.84,2,0,1,222,0,0
1,2,3.29,5,824.98,12,0,0,138,0,1
9,2,9.29,2,1016.24,32,1,0,56,1,0
12,4,10.32,8,838.53,42,1,1,263,0,0
20,1,8.12,5,420.6,8,0,1,203,0,0
5,2,10.91,3,381.51,51,1,1,74,1,0
11,6,8.93,2,1370.15,10,0,0,81,1,0
11,5,14.24,7,469.55,11,1,0,228,0,0
19,1,1.28,5,493.37,14,1,0,175,1,0
10,6,2.04,8,678.13,26,1,1,312,0,0
22,2,3.02,7,295.21,47,1,1,190,0,1
6,4,10.51,1,810.18,30,0,1,30,1,0
0,3,9.86,1,1031.04,56,0,0,30,1,0
0,4,13.43,1,1200.4,55,0,1,30,1,0
19,6,11.13,7,1096.04,42,0,0,174,1,0
12,0,7.87,1,306.69,4,0,0,49,0,0
8,2,14.88,6,738.49,39,0,0,181,0,0
2,6,4.36,1,154.02,11,0,1,76,1,1
6,0,12.58,2,124.92,24,0,0,50,1,0
5,0,6.69,4,716.18,54,0,1,87,1,0
7,5,9.91,6,454.14,22,0,1,227,0,0
8,1,11.05,8,1056.71,3,1,0,272,0,0
4,5,9.69,4,1113.94,37,0,1,134,0,0
0,2,2.54,2,1353.57,58,1,0,30,1,1
18,0,6.92,8,1164.96,2,0,0,296,0,0
9,6,8.64,2,167.54,12,0,1,145,0,0
11,3,12.81,3,620.27,21,0,1,112,0,0
23,0,6.93,8,482.23,5,0,0,256,0,0
14,6,13.82,6,640.59,7,0,1,228,0,0
21,3,6.89,4,324.11,4,0,1,160,0,0
23,5,8.46,1,236.79,43,0,0,30,1,0
8,5,12.05,2,829.38,54,0,0,30,1,0
19,1,8.95,1,1108.53,41,1,1,60,1,1
16,6,14.42,8,1082.68,36,0,0,214,0,0
16,0,10.07,4,731.32,59,0,1,84,1,0
19,4,8.08,7,831.19,22,0,1,248,0,0
11,5,0.84,6,822.86,29,0,0,161,0,1
6,5,6.5,5,1068.2,60,1,1,110,1,0
1,1,4.84,7,167.1,9,0,0,241,0,0
2,3,11.35,8,1093.85,26,0,1,291,0,0
16,1,3.52,8,915.08,12,0,0,263,0,0
4,0,3.48,7,377.35,48,0,1,213,1,1
16,6,3.25,5,168.68,1,0,0,179,0,1
23,2,2.32,8,251.94,8,1,1,282,0,1
16,2,5.01,8,834.57,33,0,0,232,0,0
16,6,13.35,2,1161.77,52,0,0,32,1,0
1,3,11.74,3,568.52,51,0,0,38,1,0
1,5,11.16,8,630.77,4,0,1,303,0,0
21,3,12.06,1,1407.8,14,0,0,30,1,0
22,5,4.41,2,398.22,55,0,1,42,1,1
4,5,13.37,3,245.25,29,0,1,97,1,0
0,2,2.49,1,580.77,14,0,1,74,1,1
0,3,5.38,4,1144.29,9,0,0,142,0,0
18,1,9.01,7,976.51,9,0,1,291,0,0
1,5,1.99,7,682.11,26,0,0,204,0,0
20,4,11.09,5,1450.65,49,0,1,109,1,0
11,4,6.12,3,1129.0,47,0,1,90,0,1
5,1,11.87,1,186.61,42,0,0,30,1,0
22,4,7.65,8,1142.48,17,1,0,244,0,0
3,0,3.12,2,133.65,41,1,0,45,1,1
22,5,11.15,1,1010.45,4,1,0,52,1,0
10,1,4.16,2,394.68,60,1,1,75,1,1
23,3,7.62,7,1075.02,46,1,0,155,1,0
16,5,1.6,5,533.69,3,1,1,224,0,0
5,1,9.46,8,1322.21,29,1,0,238,0,0
23,2,10.15,5,571.68,25,1,1,171,1,0
4,3,5.99,1,967.57,21,0,1,47,1,0
19,2,14.34,1,500.3,12,0,1,95,0,0
1,5,13.18,2,1384.11,54,1,0,30,1,0
5,3,10.77,2,1193.39,1,0,0,97,0,0
21,4,10.85,3,440.62,1,1,0,111,0,0
10,1,4.16,7,1428.32,45,0,0,213,0,0
15,5,10.02,3,600.02,46,0,1,67,1,0
15,0,3.37,3,1012.61,48,1,1,75,1,1
0,3,2.59,1,1139.99,7,1,0,38,1,1
8,3,14.99,6,132.06,10,0,0,229,0,0
5,6,9.52,6,1442.55,15,1,0,156,0,0
15,5,6.75,6,582.22,40,1,0,145,1,1
2,5,4.68,6,365.69,11,0,0,188,0,0
19,2,9.26,3,1290.99,56,0,1,101,1,0
3,6,1.22,1,1084.06,46,0,0,30,1,1
18,4,1.87,6,221.44,45,0,1,188,1,1
2,2,0.98,8,263.86,23,0,0,201,0,0
18,6,7.74,5,1101.27,13,0,1,208,0,0
19,2,9.21,4,204.7,27,0,0,110,1,0
6,4,1.41,5,1384.05,41,1,1,140,1,1
19,6,10.96,1,1138.16,17,0,0,43,1,0
8,6,3.84,1,569.69,50,0,0,30,1,1
0,0,10.44,4,608.11,51,0,0,54,1,0
7,2,14.74,2,809.09,13,1,1,82,1,0
6,2,10.52,2,605.36,12,1,1,103,0,0
17,3,13.31,8,1196.86,29,0,0,242,0,0
7,4,14.25,2,1464.63,21,1,0,53,1,0
0,1,7.56,3,918.33,20,1,0,80,1,1
10,0,10.68,2,724.45,20,1,0,86,1,0
17,6,12.85,7,411.88,31,1,1,256,0,0
22,6,5.67,3,1014.81,8,0,1,134,0,0
9,6,4.29,3,1059.81,24,0,1,169,0,0
2,0,14.23,8,1059.27,11,0,1,290,0,0
6,6,11.03,2,137.78,39,0,1,86,1,0
15,6,3.69,2,1358.77,33,0,0,44,1,0
15,4,7.01,8,573.35,42,1,0,188,1,0
19,5,12.05,4,1141.83,15,0,0,118,0,0
16,5,8.43,6,1163.73,4,1,0,219,0,0
1,3,9.92,8,1010.78,1,0,1,294,0,0
0,3,11.43,4,652.81,32,0,1,140,0,0
15,6,9.52,3,951.74,11,0,1,134,0,0
11,4,8.33,4,156.28,30,0,0,125,1,0
4,6,11.37,3,1166.65,37,1,0,63,1,0
4,3,11.05,1,239.42,19,1,1,50,1,0
22,0,9.63,3,655.45,51,0,1,79,0,0
8,0,5.72,3,245.07,36,1,0,112,1,1
8,1,6.38,4,1271.9,34,1,1,155,0,0
2,5,14.57,6,870.42,7,0,1,216,0,0
18,4,2.13,1,1067.34,60,0,0,30,1,1
15,2,4.39,5,1055.62,45,0,0,97,1,0
15,5,7.64,5,1278.25,20,0,1,164,0,0
2,2,12.63,6,285.6,53,1,1,156,1,0
19,1,2.87,5,1023.62,12,0,0,185,0,0
23,1,4.52,1,905.19,32,0,1,57,1,1
21,6,1.45,2,143.26,2,0,1,132,0,1
23,3,10.74,1,381.99,22,1,1,50,1,0
0,1,3.95,4,474.6,41,1,0,101,1,1
23,1,6.14,8,201.58,48,0,1,248,1,0
19,2,6.93,7,596.61,40,0,0,206,0,0
10,3,13.42,3,138.08,24,0,1,137,0,0
16,1,6.46,3,874.46,50,1,1,75,1,1
7,5,2.61,8,396.1,31,0,0,227,0,1
3,1,8.1,4,501.8,4,1,0,152,0,0
5,3,14.46,4,1374.66,24,1,1,138,1,0
7,6,9.31,7,803.94,43,0,1,241,0,0
19,4,14.76,7,476.62,17,0,0,231,0,0
2,3,12.7,3,937.85,40,0,0,73,1,0
15,2,1.02,7,382.34,19,0,0,192,0,1
2,4,10.05,7,204.15,40,0,0,182,1,0
17,5,4.66,7,129.27,38,0,1,223,0,0
13,0,8.61,8,1432.14,55,0,1,229,0,0
17,3,4.55,6,1114.46,34,0,1,225,0,0
1,6,5.56,2,1219.93,47,1,0,30,1,0
21,2,13.89,7,1473.28,33,0,1,218,0,0
2,5,3.5,2,1404.28,6,0,0,53,1,1
15,4,13.17,2,1131.68,60,1,1,44,1,0
8,5,0.94,4,1071.58,51,0,0,97,1,1
3,3,1.82,7,571.59,36,1,0,179,1,1
0,1,12.89,3,245.62,13,1,0,86,1,0
3,6,9.64,6,903.21,47,0,0,138,1,0
0,3,11.33,3,906.75,9,0,1,145,0,0
13,0,3.54,7,1433.13,35,0,1,242,0,0
20,3,8.29,3,719.6,34,0,1,78,1,0
15,4,11.19,7,1067.13,16,0,1,235,0,0
19,4,9.6,6,904.96,18,1,0,209,0,0
23,3,7.34,1,347.46,18,0,0,30,1,0
7,4,14.42,6,928.89,38,0,1,181,0,0
6,1,10.3,8,856.16,50,1,0,230,0,0
2,5,13.66,1,791.47,43,1,0,30,1,0
16,3,11.08,5,818.79,32,0,1,182,0,0
0,6,11.16,1,329.58,7,0,0,30,1,0
15,1,1.66,2,748.87,23,0,0,65,1,1
11,5,5.71,8,947.91,23,1,0,229,0,0
18,6,12.95,2,785.23,46,0,0,44,1,0
21,6,3.87,8,784.16,18,1,0,250,0,0
22,6,2.17,6,208.52,7,0,0,191,0,0
21,5,5.23,2,367.08,42,1,0,33,1,1
13,1,3.7,2,549.36,40,0,0,30,1,1
5,6,13.92,5,687.09,24,1,0,144,1,0
5,6,13.09,2,931.51,14,1,1,116,0,0
12,2,7.75,4,1308.68,50,0,0,66,1,0
18,3,1.39,4,322.83,5,1,0,147,1,1
21,5,10.86,4,121.12,46,1,0,73,1,1
7,5,9.54,1,728.93,54,1,0,30,1,1
1,4,14.57,6,704.94,57,0,0,138,1,0
20,5,8.6,6,872.66,22,0,0,187,1,0
0,1,5.38,3,1266.51,58,1,1,95,1,0
14,5,8.03,5,1223.3,22,1,1,187,0,0
0,2,14.7,4,240.06,10,0,1,177,0,0
4,3,10.6,4,1407.59,26,1,0,81,1,0
15,3,10.24,2,254.58,15,0,0,53,1,0
18,5,3.99,4,988.4,38,1,0,120,1,0
3,6,11.28,2,1041.37,41,0,1,81,1,0
2,0,11.38,2,1051.83,42,0,0,30,1,0
16,0,5.1,3,471.49,55,0,0,36,1,1
16,6,7.51,1,562.48,49,0,0,30,1,0
11,6,4.77,2,868.15,1,0,1,127,0,0
13,6,4.25,2,379.42,14,0,1,130,0,0
20,1,0.88,6,128.43,36,0,1,201,0,1
5,0,4.64,3,887.0,31,0,0,81,1,1
2,6,8.53,2,751.39,28,1,0,34,1,0
8,1,0.52,5,1019.42,34,0,1,174,1,1
4,4,4.61,1,305.38,35,0,0,30,1,1
23,1,13.28,8,1277.29,60,0,0,184,1,0
16,0,9.11,5,304.71,39,1,1,162,1,0
13,5,9.31,4,1347.88,23,1,1,135,0,0
20,4,6.35,1,729.33,46,0,1,30,1,0
2,0,10.31,4,869.73,44,1,0,74,1,0
0,1,3.25,6,1355.21,19,1,0,173,1,0
19,2,12.37,7,519.88,18,0,0,236,0,0
20,3,2.19,7,354.56,15,1,1,268,0,1
22,0,10.01,7,724.05,1,0,1,282,0,0
0,6,5.45,2,442.11,25,0,1,95,0,0
2,1,11.34,3,838.98,26,0,1,122,0,0
17,6,8.47,5,485.36,35,0,1,184,0,0
9,6,7.06,4,1310.29,57,0,0,82,1,1
21,6,2.96,2,950.25,15,0,1,108,1,1
2,6,9.73,7,100.34,4,0,1,285,0,0
7,6,14.63,5,1227.66,15,0,0,155,0,0
13,4,12.47,5,562.3,42,0,0,103,1,0
23,0,1.37,6,548.29,38,0,1,175,0,1
17,0,5.96,6,636.29,45,0,0,148,1,0
14,3,13.92,7,982.37,39,1,1,204,0,0
21,1,7.79,4,718.88,58,0,0,106,1,1
22,2,10.1,7,980.09,54,0,1,185,0,0
1,4,13.73,7,305.49,1,0,0,237,0,0
9,1,13.17,2,1458.23,22,0,0,85,1,0
1,4,7.78,3,1121.45,11,0,0,124,0,0
16,0,6.85,7,450.29,46,0,0,177,1,1
7,6,5.43,4,1113.84,38,1,0,99,1,0
0,3,10.93,5,905.04,37,0,0,127,0,0
8,3,4.66,5,252.86,51,0,1,177,0,0
10,5,4.12,8,349.47,26,0,0,265,0,0
21,2,5.67,1,157.83,51,1,1,30,1,1
15,3,3.07,7,1232.93,27,1,1,225,0,0
6,6,10.58,8,872.39,58,0,1,223,0,0
9,0,9.44,8,543.45,13,0,0,272,0,0
22,2,7.5,2,276.88,7,1,0,82,1,0
2,1,6.16,1,777.66,8,0,0,31,1,1
17,6,13.68,6,835.37,46,0,1,178,0,0
23,6,0.92,3,1082.73,51,0,1,64,1,1
12,3,11.65,4,1457.91,51,0,0,72,1,0
6,2,13.58,7,708.92,23,1,0,181,0,0
3,0,6.97,5,668.45,26,1,0,170,0,0
12,5,8.49,2,617.9,44,1,0,53,1,0
19,4,14.19,5,1257.69,55,0,0,130,1,0
0,4,3.58,7,318.84,27,0,1,233,0,0
7,0,8.04,6,581.34,9,0,0,189,0,0
13,0,7.38,1,1114.96,46,1,1,35,1,1
15,4,4.25,7,121.97,38,1,1,231,0,1
13,5,12.37,1,505.13,47,0,1,33,1,0
11,2,13.54,4,998.03,13,0,0,110,1,0
18,4,11.84,2,360.33,7,0,0,96,0,0
22,0,3.33,6,523.79,11,1,0,201,1,0
14,3,1.76,2,780.46,10,0,1,79,1,1
1,1,9.28,4,690.83,33,0,0,83,1,0
1,5,1.33,6,248.44,39,0,0,159,0,1
22,6,10.26,8,1413.53,50,0,0,190,1,0
21,5,8.19,6,162.01,55,1,0,122,1,1
18,3,10.11,1,1149.64,3,1,1,132,0,0
21,3,9.06,1,199.99,41,1,0,30,1,0
21,6,6.63,1,754.21,29,1,0,30,1,1
16,0,3.41,5,345.58,37,0,0,119,1,1
19,4,4.93,8,297.54,55,0,0,203,1,1
9,2,8.11,3,276.26,56,0,1,93,0,1
5,5,9.95,7,733.9,45,1,0,169,1,0
14,6,11.8,1,821.68,16,0,0,30,1,0
21,5,11.62,3,286.74,16,0,1,131,0,0
10,3,14.6,3,1471.15,44,0,1,116,0,0
4,4,4.64,2,460.87,50,0,0,30,1,1
0,5,1.53,4,742.38,43,1,0,108,1,1
7,2,5.51,5,402.78,49,1,0,110,1,1
20,3,11.28,3,791.49,7,0,0,111,0,0
11,2,6.85,7,1158.42,15,0,0,221,0,0
11,4,12.36,5,829.54,38,1,0,110,1,0
4,5,8.47,2,499.91,6,1,1,131,0,0
6,1,13.98,1,447.76,18,0,0,39,0,0
3,5,14.24,6,1162.51,19,0,1,220,0,0
5,4,1.5,3,265.53,52,0,1,87,1,1
12,5,7.12,4,617.95,51,0,1,118,1,0
19,6,9.34,6,312.08,2,1,0,231,0,0
14,5,4.21,2,461.17,3,0,1,140,0,0
2,0,6.4,5,313.76,46,0,1,139,1,1
22,5,10.33,7,1341.48,54,0,0,178,1,0
7,5,3.79,8,1124.67,25,0,0,208,0,0
19,2,9.23,1,885.3,36,0,0,35,1,0
15,1,10.61,5,414.2,54,0,1,141,1,0
12,2,1.81,4,814.32,49,0,0,62,1,1
17,2,7.71,3,829.17,28,0,0,113,1,0
9,3,4.31,4,926.57,38,0,1,135,0,0
18,0,11.0,5,184.12,28,0,0,182,1,0
16,2,3.25,5,1462.06,32,0,1,205,0,0
23,6,13.44,6,751.61,51,0,0,131,1,0
18,4,6.75,4,1397.14,41,0,1,133,1,0
22,6,3.37,4,113.73,36,0,0,87,1,1
4,4,6.85,4,446.58,39,1,0,106,1,0
20,5,6.43,1,245.59,36,1,1,41,1,1
22,3,6.72,7,1177.46,43,0,0,131,1,0
8,0,8.99,5,548.18,54,1,0,134,1,0
11,6,8.06,2,1276.69,23,0,1,108,1,0
20,0,2.67,1,1265.34,2,0,0,64,1,0
0,6,1.45,1,1034.91,10,0,1,95,1,1
0,5,11.08,1,1032.09,6,0,0,75,1,0
14,4,8.62,6,1080.22,8,0,0,194,0,0
1,1,5.71,8,1043.27,15,0,0,273,0,0
21,3,12.22,7,641.67,45,1,1,210,0,0
15,6,6.13,7,1055.96,29,0,0,213,0,0
7,6,12.04,2,1356.37,28,0,1,85,0,0
12,5,4.93,8,565.6,22,0,1,307,0,0
20,3,1.56,4,1422.84,34,0,0,108,0,1
0,4,14.02,6,119.01,20,1,1,218,0,0
15,4,6.22,5,588.72,33,1,1,152,1,0
6,6,11.99,8,284.94,15,1,0,250,0,0
4,1,4.55,3,277.27,7,0,0,97,0,1
21,1,9.87,6,1241.6,24,0,0,180,0,0
22,0,13.16,3,1385.72,26,0,1,130,0,0
2,3,1.1,5,1188.86,50,0,1,160,0,1
11,3,12.54,2,1467.26,10,0,0,83,0,0
15,4,8.78,7,402.86,15,1,0,218,0,0
18,0,9.31,3,297.12,37,0,1,144,0,0
4,5,8.09,1,828.99,59,0,0,30,1,0
21,3,13.18,6,1260.65,24,1,1,198,0,0
13,0,1.13,8,155.77,11,1,0,279,0,0
4,0,4.28,8,1493.79,40,0,1,268,0,0
14,6,13.2,3,943.14,21,0,1,115,0,0
16,4,11.41,5,1470.52,40,0,0,91,1,0
13,0,0.76,7,611.11,38,0,0,201,0,1
19,1,8.0,1,741.23,15,0,0,60,1,0
4,1,8.18,8,1153.31,15,0,0,240,0,0
11,2,6.31,3,1209.78,37,0,0,69,1,0
15,4,4.81,7,426.25,45,0,1,230,0,1
15,6,10.39,5,1401.72,14,1,0,128,1,0
20,5,3.51,2,1314.39,43,1,0,30,1,1
6,2,12.08,5,125.49,52,0,1,142,1,0
