time_on_site,pages_viewed,breed_page_viewed,calculator_used,device_type,age_of_pet,previous_claims,visit_month,policy_purchased
151,17,0,1,1,8,0,8,0
310,12,0,1,2,1,0,7,0
120,9,1,1,1,5,0,7,0
115,3,1,0,0,6,0,6,0
104,9,0,0,1,2,0,6,0
69,12,1,0,0,1,0,2,0
489,5,0,1,2,4,0,8,0
408,11,1,0,0,4,0,9,0
327,11,1,1,0,9,0,12,0
130,10,0,0,0,8,0,10,0
20,7,1,0,1,2,0,4,0
232,4,0,1,2,6,1,1,1
359,13,1,1,0,2,1,8,0
230,3,0,0,0,8,0,8,0
296,9,1,0,0,6,1,9,0
66,8,0,0,2,2,0,4,0
211,12,0,0,0,8,1,9,0
189,10,1,1,0,3,0,5,0
242,10,0,1,1,7,0,5,0
236,2,0,0,0,1,1,5,0
192,6,0,1,0,6,0,10,0
270,16,0,0,0,3,1,8,0
235,15,0,0,2,6,0,8,0
234,3,1,0,2,4,0,8,0
35,4,1,0,1,10,0,7,0
181,4,0,0,0,4,0,7,0
164,4,0,0,0,6,0,8,0
116,4,1,0,0,5,0,12,0
35,3,0,1,1,6,0,6,0
187,2,0,1,1,7,0,6,0
602,1,0,0,2,7,0,9,0
104,7,1,0,0,1,0,11,0
184,13,1,1,1,5,0,6,0
413,20,0,0,1,7,0,7,0
161,6,1,0,0,4,0,5,0
138,12,0,0,1,5,0,8,0
48,3,0,0,2,3,0,3,0
222,7,1,1,2,4,0,5,0
309,2,0,0,1,3,0,2,0
107,13,1,0,0,4,0,9,0
79,9,1,0,2,1,0,9,0
216,11,0,0,1,1,0,8,0
220,3,1,0,0,5,0,6,0
217,20,0,1,0,6,0,12,0
392,3,1,0,0,7,0,6,0
196,10,1,1,0,0,0,11,0
45,7,0,0,1,11,0,6,0
359,5,1,1,0,3,0,5,0
50,17,1,1,0,5,0,4,0
309,7,1,1,0,5,0,3,0
270,7,0,1,0,7,1,8,0
97,7,1,1,0,4,1,4,1
108,6,1,0,0,3,0,4,0
391,12,1,1,0,3,0,4,0
120,4,1,0,1,2,0,8,0
102,8,0,0,0,7,0,10,0
388,5,1,1,1,1,0,8,1
234,17,1,0,0,15,0,12,0
350,7,1,1,0,3,1,9,0
100,11,0,0,0,4,1,8,0
216,19,0,0,0,6,0,6,0
71,25,1,1,0,6,1,5,0
111,15,0,1,0,12,0,12,0
76,19,0,0,0,5,0,3,0
14,11,0,0,1,5,0,6,0
25,1,1,0,0,3,0,10,0
202,12,0,1,2,0,1,7,0
133,14,1,0,2,6,0,9,0
422,7,0,1,1,3,0,5,0
136,9,0,0,0,7,0,3,0
177,7,1,1,2,6,1,9,1
243,5,0,1,0,3,1,7,0
29,5,0,1,0,10,0,7,1
238,3,1,0,0,5,0,6,0
177,4,1,0,2,1,0,7,0
286,13,1,0,0,2,0,8,0
343,15,1,1,2,11,1,12,0
176,2,0,1,0,8,1,1,1
51,14,1,1,2,7,0,6,0
120,18,0,0,2,7,0,4,0
264,14,0,1,2,6,0,8,1
254,4,1,1,0,4,0,8,0
249,22,1,1,2,4,0,2,0
214,6,1,0,2,2,1,9,0
96,11,0,0,0,4,1,6,0
320,3,0,1,0,6,0,11,0
83,3,0,0,1,0,0,2,0
270,4,0,0,0,1,0,6,0
122,4,0,0,1,6,0,10,0
266,5,0,1,0,1,0,6,0
161,6,0,0,0,5,1,9,0
102,3,0,0,0,0,0,10,1
199,4,1,1,0,2,0,6,0
503,5,1,1,0,4,0,5,0
96,3,0,1,2,6,0,12,0
264,8,0,0,0,1,0,6,0
45,1,1,1,2,4,1,10,0
536,4,1,1,1,4,0,9,0
201,2,1,0,0,4,0,7,0
57,3,0,0,0,4,0,8,0
295,7,0,0,0,0,0,3,0
84,7,1,0,0,7,0,6,0
15,6,0,0,0,7,0,6,1
27,9,0,0,0,2,1,8,0
285,17,0,1,2,10,0,7,0
121,4,0,0,0,1,0,2,0
149,5,1,0,1,2,0,6,1
53,8,0,1,2,6,1,8,0
25,7,1,0,2,2,0,8,0
287,9,0,1,2,4,0,6,0
29,3,0,1,2,9,0,8,0
340,7,0,0,0,2,0,4,0
114,8,0,1,2,6,0,8,0
193,6,0,0,2,6,0,7,0
252,5,1,0,0,1,0,7,0
246,12,0,0,0,6,0,7,0
99,5,1,0,0,9,0,12,1
266,5,1,0,0,2,0,8,0
82,8,0,0,0,2,0,4,0
125,9,1,1,1,2,0,9,0
441,19,1,1,1,8,0,8,0
454,6,1,0,0,3,0,8,0
300,7,1,1,0,3,0,3,0
264,3,0,1,1,10,0,12,0
57,6,0,0,0,2,0,12,1
274,7,0,0,0,1,0,8,0
164,7,1,1,1,7,0,9,0
68,8,0,0,0,8,1,7,0
218,8,0,0,0,0,0,3,0
396,14,0,0,0,2,0,6,0
75,13,1,1,1,1,0,2,0
103,9,1,0,1,4,0,12,1
128,15,0,0,0,6,0,10,1
204,13,0,0,0,2,0,5,0
221,2,0,1,1,3,0,7,0
185,11,0,1,2,8,0,12,0
82,12,0,0,1,6,1,7,0
92,17,0,1,2,5,0,6,0
44,13,0,0,0,7,0,7,0
257,26,0,1,1,8,0,3,0
220,5,1,1,2,1,0,8,0
420,3,0,0,1,1,0,9,0
27,5,1,0,2,6,0,8,1
20,3,1,0,0,3,0,10,0
169,9,0,0,2,8,1,12,0
144,7,0,0,1,7,0,5,0
367,2,0,0,2,2,0,11,0
95,6,0,1,0,2,0,8,0
51,5,1,0,1,8,0,9,0
95,11,0,1,2,4,0,8,0
132,9,0,0,0,8,1,5,0
306,2,0,0,1,3,0,11,1
60,5,1,1,2,2,0,6,1
212,12,1,0,0,2,0,8,0
350,14,1,1,0,8,1,12,0
72,7,1,0,1,2,0,8,0
196,16,1,0,0,4,0,5,0
214,10,1,1,0,9,0,8,0
81,2,0,0,0,2,0,3,0
466,9,1,0,0,4,0,12,0
229,8,1,1,0,8,0,8,1
205,3,0,1,0,1,0,5,0
88,4,0,1,1,7,0,6,0
574,7,1,1,1,0,0,7,0
44,4,0,1,1,5,0,8,0
120,8,0,0,0,5,0,8,0
207,5,0,1,0,5,0,10,0
75,1,1,1,0,0,0,4,0
159,11,1,1,2,2,0,8,0
71,8,1,0,1,2,0,2,0
38,7,1,0,2,2,0,5,0
87,5,0,0,0,6,0,6,0
138,3,0,0,1,5,0,9,0
58,8,0,0,0,6,0,6,0
443,8,0,1,2,3,0,8,0
72,3,1,1,0,4,1,3,0
316,4,1,0,0,4,1,8,0
236,11,1,1,0,9,0,12,0
103,23,1,0,1,9,0,3,1
307,7,0,0,0,4,0,8,0
252,3,0,1,0,3,1,8,0
117,13,1,1,0,5,0,11,0
232,11,1,0,2,1,0,7,0
246,15,1,0,0,1,0,3,0
38,7,0,1,2,2,0,5,0
78,9,0,1,2,8,1,11,0
322,5,0,0,2,3,0,10,0
117,16,0,1,2,8,0,4,0
336,7,1,1,2,4,0,4,0
76,17,1,1,0,10,0,6,0
231,2,1,0,0,1,0,3,0
136,9,1,1,1,3,0,5,1
161,11,0,0,0,9,0,10,0
115,17,1,0,0,10,0,12,0
158,12,1,1,1,3,0,6,0
152,10,1,0,1,0,0,2,0
449,16,1,1,2,1,0,12,1
262,13,0,0,1,8,0,10,0
201,16,1,0,1,5,0,4,0
111,4,0,0,0,3,0,9,0
313,8,0,1,0,3,0,2,0
156,8,0,1,2,0,0,4,0
282,4,0,0,0,7,0,8,0
466,8,1,0,0,11,0,2,0
31,2,0,0,1,7,0,5,1
189,5,0,1,0,1,0,4,0
40,3,1,0,0,2,0,12,0
375,1,1,0,0,2,0,9,0
157,7,0,0,0,12,0,8,0
24,14,0,1,0,6,0,6,0
41,2,1,1,2,7,0,10,0
88,5,1,0,0,7,0,12,1
164,10,1,1,0,6,0,8,0
225,1,0,1,0,1,0,9,0
143,2,1,1,0,6,0,11,1
108,1,0,0,2,4,0,8,0
27,3,0,1,0,2,0,9,0
127,11,1,0,2,5,0,11,0
221,10,0,0,0,12,0,7,0
391,1,1,0,2,3,0,3,0
104,1,0,1,0,4,0,9,1
321,1,0,1,0,1,0,5,1
23,16,0,1,0,1,0,8,0
236,2,0,1,1,5,0,12,0
127,14,0,1,0,7,0,8,0
207,6,1,0,0,3,0,12,0
284,4,1,0,2,4,0,9,0
172,7,0,1,0,2,0,7,0
273,8,0,0,0,10,0,12,0
105,17,0,0,2,6,0,6,0
170,18,0,0,0,6,0,5,0
112,4,1,1,2,4,1,11,1
165,11,0,1,0,3,0,10,0
20,12,0,1,0,10,0,9,0
213,14,1,0,0,8,0,7,0
244,25,0,0,2,9,0,11,0
239,2,0,0,2,4,0,10,0
112,14,1,1,2,8,0,12,0
95,2,0,1,0,5,0,8,0
113,7,0,0,2,3,0,7,0
117,16,0,1,0,4,0,4,0
128,2,1,0,0,3,0,11,0
99,3,0,1,2,5,0,7,0
360,2,0,0,0,10,0,6,0
83,2,0,1,0,2,0,9,0
419,5,1,1,0,4,0,3,0
94,8,0,0,1,2,0,3,0
164,8,1,1,0,2,0,4,0
354,6,0,0,0,4,0,6,0
257,18,1,0,2,3,0,6,0
105,4,0,0,0,5,1,7,0
426,2,0,0,0,4,1,5,0
152,19,1,0,1,5,0,8,0
188,9,0,0,2,4,1,3,0
207,4,1,0,0,1,0,2,0
140,11,1,1,1,8,0,6,0
234,2,0,0,0,10,0,10,0
106,9,1,1,0,5,0,8,1
216,4,0,1,0,4,0,10,0
102,4,0,0,0,12,0,8,0
155,7,0,0,0,4,0,7,0
243,5,0,1,2,5,0,6,0
