age,gender,membership_months,distance_to_club,trainer_exp,num_visits_last_30d,avg_session_duration,group_lesson,calories_burned,high_intensity,early_renewal
56,1,18,10.4,61,4,48.4,0,446,0,0
69,0,22,14.0,50,2,91.7,0,576,0,0
46,0,22,9.5,69,9,83.5,0,640,1,1
32,1,1,12.2,0,6,28.1,0,322,0,0
60,0,17,1.7,119,8,31.5,0,362,0,1
25,1,11,6.1,73,6,57.7,1,650,1,0
38,0,10,5.9,95,5,94.4,0,723,1,0
56,0,19,13.4,9,9,103.3,0,800,1,1
36,1,14,2.7,101,8,21.5,0,418,0,0
40,0,10,2.7,5,4,52.9,0,471,0,0
28,1,15,5.3,110,10,62.4,1,614,1,1
28,0,19,1.3,19,7,111.1,1,770,1,1
41,0,4,3.1,54,3,70.1,0,554,0,0
70,0,2,14.5,100,6,47.0,1,481,0,0
53,1,9,6.7,61,3,59.0,0,492,0,0
57,0,10,9.7,28,6,63.6,1,575,0,0
41,1,11,11.0,0,12,87.0,0,552,1,0
20,0,14,5.8,0,6,24.1,1,338,0,0
39,1,7,2.6,0,1,58.9,0,515,0,0
70,0,23,3.5,0,6,84.7,1,454,0,1
19,1,15,5.0,42,5,48.3,0,577,0,0
41,1,22,9.7,86,2,79.2,0,515,1,1
61,1,19,6.3,8,8,55.7,1,597,0,0
47,1,22,0.6,0,3,95.9,0,577,1,1
55,1,15,8.1,43,12,26.1,1,408,0,0
19,1,24,13.9,38,5,111.8,1,800,1,1
38,0,8,12.3,0,7,37.2,0,525,0,0
50,0,11,12.5,47,6,35.9,0,439,0,0
29,1,9,12.0,103,6,104.1,1,662,1,0
39,1,15,5.2,0,10,106.9,1,782,1,0
61,1,1,11.6,54,5,29.3,0,406,0,0
42,1,1,2.6,31,7,110.9,0,772,1,0
66,0,19,10.0,24,5,47.3,0,495,0,0
44,0,3,9.8,0,6,81.9,0,434,0,0
59,1,10,0.9,72,3,26.9,0,421,0,0
45,0,8,11.9,73,6,58.1,1,516,0,0
33,0,15,13.6,98,4,65.1,1,650,1,0
32,1,10,4.4,49,3,80.0,1,726,1,0
64,0,1,12.3,52,8,72.5,0,467,0,0
68,1,18,1.7,65,10,66.1,0,628,0,1
61,0,2,9.2,14,10,116.0,1,796,1,0
69,1,19,7.5,10,12,38.5,1,376,0,1
20,0,13,8.4,0,9,35.8,1,436,0,0
54,0,22,13.9,79,7,91.3,0,696,1,1
68,0,1,13.1,106,4,27.5,0,298,0,0
24,0,2,11.9,0,2,68.3,0,622,0,0
38,0,16,4.5,80,3,68.4,0,483,0,1
26,0,15,13.7,17,8,51.0,1,489,1,0
56,1,13,1.9,118,7,113.0,0,693,1,1
35,0,16,12.9,23,3,48.3,1,586,0,0
21,1,17,5.3,0,5,48.8,0,472,0,0
42,1,21,1.3,0,14,43.4,0,375,0,1
31,1,7,10.2,0,6,34.6,1,471,0,0
67,0,24,3.9,89,8,56.4,0,530,0,1
26,1,17,4.0,105,6,88.1,1,752,1,1
43,0,7,4.9,54,4,94.2,1,682,1,0
70,0,13,1.4,70,7,101.3,1,708,1,1
19,1,5,3.1,110,8,39.8,0,450,0,0
37,0,17,0.6,16,4,23.6,0,498,0,0
45,1,3,7.0,0,5,117.5,0,800,1,0
64,1,7,1.7,44,4,21.4,1,469,0,0
24,1,17,10.4,81,6,116.1,0,800,1,0
61,1,7,3.9,0,2,102.9,0,696,1,0
25,0,21,14.2,13,5,111.2,0,663,1,0
64,0,1,13.1,73,3,58.7,0,550,0,0
52,1,17,4.7,43,5,39.7,1,507,0,0
31,0,17,11.9,114,5,80.6,0,698,1,0
34,0,11,12.1,27,3,94.1,0,721,1,0
53,0,3,14.8,43,5,33.1,0,440,0,0
67,0,15,9.2,83,6,99.8,1,588,1,0
57,0,21,1.7,0,6,40.9,1,410,0,0
21,0,11,9.9,15,8,69.2,0,556,1,0
19,1,16,9.6,32,1,105.6,0,765,1,0
23,1,22,9.8,1,5,39.3,0,460,0,0
59,1,9,5.0,0,8,44.2,0,429,0,0
21,0,24,13.0,0,9,26.3,0,394,0,0
46,0,24,14.4,0,6,34.7,0,368,0,0
35,0,1,3.7,70,9,34.7,1,466,0,0
43,1,22,1.8,95,3,40.3,1,419,0,1
61,1,16,3.3,76,6,48.6,0,458,0,0
51,0,9,12.4,0,5,101.5,0,683,1,0
27,1,19,10.3,44,5,111.6,0,708,1,1
53,0,12,9.7,0,2,60.6,0,557,0,0
31,1,19,6.3,0,3,32.8,0,476,0,0
48,1,22,8.9,109,9,42.4,1,485,0,1
65,1,9,5.0,0,6,93.6,0,800,0,0
32,1,7,7.4,44,3,87.7,1,783,1,0
25,1,14,12.0,111,7,116.7,0,747,1,0
31,0,19,14.7,43,6,21.4,1,457,0,0
40,1,19,14.0,9,5,95.1,1,735,1,0
57,0,2,14.0,102,9,70.6,1,542,1,0
38,1,9,6.3,101,6,110.3,0,695,1,0
33,1,13,7.3,72,9,77.6,1,731,1,0
62,1,15,10.7,17,9,64.7,0,536,0,0
35,0,3,13.9,68,5,86.6,1,654,1,0
64,1,11,2.6,43,7,103.4,0,662,1,0
70,1,21,4.9,95,9,48.2,0,445,0,1
41,1,14,2.5,0,6,30.8,0,395,0,0
43,0,8,9.4,0,3,63.3,0,529,0,0
42,0,18,4.9,63,3,41.5,0,300,0,0
62,0,19,5.2,0,8,63.0,1,501,0,0
58,0,16,1.5,28,8,119.1,0,701,1,1
46,1,2,5.6,0,12,77.4,1,701,1,0
32,0,8,13.0,42,7,89.4,0,800,1,0
62,1,22,3.9,113,10,87.8,0,637,1,1
18,0,6,10.6,0,6,102.1,0,564,1,0
42,0,12,9.6,0,6,114.4,0,717,1,0
24,1,15,13.0,43,5,85.9,0,658,1,0
26,1,8,2.4,63,8,67.6,0,729,1,0
41,1,4,14.7,75,5,51.8,0,624,0,0
18,1,15,8.9,62,10,56.0,1,639,1,0
61,1,20,14.9,58,10,53.4,0,473,0,0
25,0,17,13.7,0,3,52.4,1,528,0,0
41,1,13,3.7,69,5,89.5,1,711,1,0
28,1,18,1.3,0,7,78.8,1,644,1,0
68,1,2,4.2,64,5,40.2,1,392,0,0
34,0,13,8.1,113,4,117.0,0,800,1,0
25,1,13,3.0,75,5,62.8,1,607,1,0
52,0,22,2.9,62,3,76.6,0,583,0,1
52,0,15,7.2,0,4,90.3,0,563,0,0
50,0,20,1.0,88,9,81.4,0,552,1,1
22,0,10,2.3,82,6,51.1,1,546,1,0
59,1,3,6.5,0,7,99.8,1,585,1,0
56,1,19,1.4,74,2,31.0,0,470,0,0
58,1,3,6.3,86,8,76.9,0,552,0,0
45,0,22,7.4,1,7,47.3,1,374,0,1
24,0,14,7.0,0,3,81.6,1,725,1,0
26,0,8,13.1,0,5,41.8,0,382,0,0
25,1,23,8.2,88,3,97.2,0,677,1,1
29,0,4,7.3,34,5,42.8,1,564,0,0
51,1,20,6.5,0,9,109.0,1,800,1,0
50,1,11,12.4,115,8,106.2,0,644,1,0
65,0,11,13.5,86,4,56.2,1,467,0,0
40,1,11,12.9,24,17,58.6,0,492,0,0
41,1,2,10.3,99,4,90.2,1,768,1,0
54,1,17,2.5,98,2,29.0,0,521,0,0
52,1,9,4.5,63,4,28.1,0,359,0,0
61,0,2,1.2,65,10,33.6,1,511,0,0
57,0,24,14.0,20,8,76.2,0,540,0,1
39,1,15,10.1,0,8,34.9,1,470,0,0
44,1,16,11.3,0,8,47.8,1,416,0,0
52,0,4,5.0,24,7,84.7,1,640,1,0
18,1,8,12.8,86,6,21.6,0,413,0,0
52,1,9,4.3,106,5,38.0,1,461,0,0
54,1,5,0.5,89,6,113.0,1,800,1,0
64,0,16,6.0,47,7,86.4,1,582,1,1
31,1,13,8.8,0,4,50.6,0,434,0,0
20,1,7,7.4,68,5,24.5,0,459,0,0
18,0,20,13.0,19,7,78.6,0,705,1,1
22,0,17,2.0,61,4,42.3,0,481,0,0
43,1,3,8.5,46,2,116.0,1,800,1,0
31,0,5,7.9,0,3,88.7,0,666,1,0
56,1,19,4.6,57,2,117.4,1,800,1,1
44,1,12,12.4,29,6,104.9,0,678,1,0
26,0,7,11.4,0,4,68.3,0,483,0,0
32,1,9,11.1,105,6,87.0,0,643,1,0
32,0,6,13.2,0,6,101.2,0,775,1,0
43,1,17,11.0,57,5,77.8,0,652,1,0
59,0,16,3.9,59,6,26.1,0,415,0,0
30,1,23,10.7,91,5,67.0,1,636,1,1
68,0,3,5.0,38,6,33.1,0,321,0,0
49,0,21,4.0,84,7,91.5,1,796,1,1
56,1,4,1.6,8,5,88.1,1,710,1,0
66,0,10,11.3,6,3,119.3,0,787,1,0
69,1,5,10.8,0,3,82.9,1,518,1,0
49,0,21,3.9,0,7,100.0,1,713,1,0
21,1,22,11.4,69,5,46.8,0,495,0,0
47,0,10,13.8,20,5,54.0,0,411,0,0
54,1,12,2.1,85,2,111.7,1,716,1,0
40,0,10,3.9,0,5,95.5,1,585,1,0
56,0,13,11.4,34,7,85.5,0,542,1,0
62,0,11,4.5,15,7,45.4,0,450,0,0
32,0,22,9.6,12,2,89.9,0,624,1,1
60,1,16,1.7,31,4,108.7,0,762,1,1
46,0,8,7.1,32,4,43.1,0,557,0,0
53,1,8,11.2,0,6,90.6,1,641,1,0
30,0,8,10.5,104,9,59.4,0,407,0,0
49,0,13,12.3,78,3,31.9,0,407,0,0
24,1,2,13.2,74,6,96.3,1,800,1,0
68,1,12,11.7,25,5,36.7,0,432,0,0
39,0,10,10.2,61,3,45.3,0,558,0,0
45,0,12,1.0,46,3,98.3,1,739,1,0
19,0,11,8.3,0,7,94.2,1,556,1,0
59,1,15,1.0,0,3,45.4,1,489,0,0
62,1,16,12.2,80,7,114.1,0,768,1,0
70,0,17,5.2,0,7,41.5,0,451,0,0
23,1,2,8.7,0,6,119.4,0,800,1,0
45,1,18,4.6,116,11,93.8,1,769,1,1
45,1,12,11.8,0,8,59.3,0,530,0,0
61,1,19,13.4,22,7,33.0,1,510,0,0
61,0,23,6.3,41,12,52.1,1,501,0,1
37,0,18,13.0,36,3,39.4,0,355,0,0
47,0,17,4.4,19,7,82.2,1,644,1,1
28,0,6,8.3,114,6,55.7,1,567,1,0
45,1,15,13.0,0,4,49.5,0,392,0,0
