brand,mileage_km,load_weight,route_type,driver_exp,terrain,speed_avg,temp_outside,fuel_consumption_l_100km
2,20725,8.3,0,3,2,79.6,32,31.0
2,5111,9.1,2,30,0,61.9,24,34.4
3,17739,5.9,2,21,0,56.4,-18,32.3
0,22766,9.1,2,28,2,56.2,15,36.3
3,17394,19.1,2,27,2,48.5,-7,32.8
1,22773,15.7,0,7,2,67.4,29,32.9
3,22537,12.6,1,24,1,64.0,31,30.8
1,13534,17.0,1,26,1,54.8,-14,35.6
3,14438,20.5,2,7,1,49.9,29,31.3
2,23625,2.4,0,6,0,67.9,21,35.5
3,24771,17.3,1,18,0,90.0,-24,35.9
1,22894,9.9,0,13,0,70.2,-12,29.2
0,6343,15.0,0,1,1,61.9,38,33.2
2,17151,16.6,0,26,2,85.0,-18,37.4
1,6452,9.0,1,15,0,85.6,-22,32.3
1,15849,2.1,2,19,2,59.2,10,32.3
2,15715,13.4,1,18,2,54.2,1,32.7
3,11701,21.2,1,28,1,94.1,-22,35.5
3,15958,2.1,2,17,0,70.1,-21,31.5
1,15913,18.6,1,16,0,79.0,-22,32.1
0,21131,19.2,2,6,1,76.6,0,37.5
2,22141,11.7,1,8,2,44.7,14,35.2
2,11364,12.5,1,9,1,81.3,-4,39.7
0,11115,15.6,0,30,0,47.6,-11,35.0
2,7878,11.5,0,17,2,84.6,-10,32.9
2,19852,6.5,1,3,2,76.8,10,40.6
2,13102,16.8,0,18,1,46.7,28,39.0
3,24957,8.7,2,30,1,57.8,10,30.1
1,19361,19.3,1,7,2,84.4,-4,37.8
2,24468,11.2,0,29,2,49.5,12,36.2
2,17913,15.8,2,7,1,57.3,36,38.0
2,24462,11.0,1,18,2,84.7,26,38.2
1,12427,2.1,2,14,2,60.6,27,30.8
0,18838,8.9,2,15,2,51.5,30,32.0
1,14504,8.7,1,28,0,77.6,-4,29.3
2,24645,14.7,1,17,2,52.8,12,35.6
3,9976,8.2,0,21,1,94.0,-11,32.2
1,10397,15.9,0,9,0,75.8,14,30.0
1,5687,7.8,2,1,0,59.4,17,29.8
1,14666,5.3,1,20,1,86.5,-3,31.9
2,21115,2.4,1,9,0,71.1,14,36.8
2,9591,14.5,2,21,1,55.5,36,36.6
3,8892,12.0,2,9,2,40.0,-23,35.4
3,17087,12.6,2,30,0,42.9,-1,35.8
0,17222,20.9,2,16,0,77.4,30,40.3
2,8860,9.7,0,16,0,62.1,0,34.6
2,23407,8.5,0,30,2,55.5,-9,39.3
1,14743,13.0,0,18,1,46.5,9,30.8
3,5268,9.4,0,10,0,44.0,27,30.1
3,8561,3.8,2,21,1,58.4,-17,34.1
1,14984,14.8,2,26,0,82.8,35,31.0
3,23879,18.6,2,7,2,76.2,37,30.1
0,22986,13.4,0,1,1,77.1,15,35.1
2,22942,12.8,0,26,0,51.6,20,35.4
2,20487,23.6,0,5,0,91.3,-16,37.3
1,17820,12.6,2,4,2,58.3,-5,33.7
2,17310,10.1,1,24,1,65.8,16,36.4
3,17505,5.2,1,4,0,87.7,34,24.9
0,10015,15.5,2,22,1,61.2,13,36.0
0,7793,4.3,0,6,1,63.3,-23,28.7
3,10184,18.6,2,9,2,94.4,-21,41.3
2,10895,5.5,1,7,2,65.7,19,33.9
2,23864,20.9,2,28,2,82.6,33,40.5
1,21880,17.5,1,14,2,73.3,-24,36.1
1,24519,16.2,0,15,2,52.7,12,34.7
0,18089,14.5,2,8,0,84.6,-5,36.6
2,15140,13.2,0,26,1,93.9,-3,35.4
2,5505,6.7,1,28,2,84.0,-24,35.2
1,11871,19.0,0,16,2,84.2,-1,35.4
3,6431,11.7,0,28,0,81.0,34,25.3
2,21335,10.9,1,6,1,85.3,-1,39.3
3,21401,9.7,1,3,0,43.2,-9,32.8
2,10211,5.0,1,9,1,76.9,37,34.9
3,6944,9.9,0,15,0,42.1,-7,30.9
1,22777,6.1,0,23,2,61.9,-2,31.4
0,8295,10.5,2,15,0,42.1,9,33.9
0,10359,9.1,2,28,1,55.7,20,32.5
0,17730,9.0,0,21,1,60.3,13,34.7
2,16629,20.8,2,21,2,84.4,32,43.0
3,5480,13.4,0,20,1,76.5,17,32.1
0,8924,18.0,0,30,2,79.1,-12,34.4
0,16028,17.6,1,21,2,65.7,21,37.1
1,13075,6.9,1,12,0,76.1,36,27.3
2,22969,5.7,0,28,1,94.3,32,36.4
2,22959,18.5,1,6,1,88.4,-2,42.0
2,5930,16.7,1,2,0,70.4,-23,38.4
2,8093,11.3,2,4,2,76.2,11,35.4
2,18188,15.7,0,28,2,81.4,0,35.7
0,16579,11.4,0,6,0,73.0,-17,33.2
2,7212,16.2,0,5,1,88.3,-18,33.7
2,22651,23.3,2,2,1,79.8,4,40.8
0,18113,13.0,1,12,2,84.2,21,36.4
1,12964,11.7,2,4,2,58.8,2,31.4
0,23608,21.9,0,20,0,54.9,22,38.6
0,23449,11.9,2,18,0,94.8,19,34.2
3,6826,14.4,1,9,1,88.4,6,36.1
3,23771,10.2,2,18,2,72.7,3,32.7
1,6911,6.3,2,15,0,84.7,29,29.8
3,6524,16.6,0,7,0,93.4,-9,34.4
0,5201,7.4,2,27,1,57.6,37,30.6
3,7920,20.5,0,22,0,81.6,8,34.4
0,16354,6.3,2,1,0,55.4,19,33.3
0,14839,19.1,0,24,2,44.4,13,39.7
3,16332,14.0,1,9,1,42.1,19,32.0
2,22131,22.6,1,6,2,58.7,23,36.5
1,7991,4.2,1,30,2,56.9,34,32.0
2,18800,22.8,2,15,0,46.5,-16,39.2
2,20275,9.1,0,25,1,92.4,-5,34.6
1,5083,10.5,0,2,1,86.6,12,31.3
3,24853,19.3,0,18,2,57.5,28,30.7
0,21411,14.6,0,12,2,60.2,-20,37.5
2,16127,7.9,0,11,1,92.8,39,34.2
2,17613,8.9,1,5,1,55.7,-11,34.0
3,22060,17.4,1,20,2,81.3,32,32.5
0,7080,10.6,1,23,1,53.6,-17,33.5
3,24686,14.2,1,17,0,77.1,25,31.2
2,9738,3.0,1,5,2,83.8,27,32.1
2,17568,12.5,1,2,2,60.1,9,37.7
2,20796,10.3,0,9,2,45.6,-16,39.4
1,7000,10.1,2,24,2,94.0,-1,34.8
1,13614,9.7,1,3,1,87.3,20,32.9
1,13645,6.2,1,22,1,87.2,5,31.1
3,18826,17.9,0,10,2,87.2,-14,38.2
