damage_zone,car_class,detail_code,car_age,engine_volume,mileage,repair_cost
задняя,эконом,WHEEL-01,6,4.9,65.4,41.3
боковая,эконом,BUMPER-03,19,4.1,13.5,89.0
боковая,премиум,PAINT-02,23,4.0,56.4,155.3
задняя,эконом,SUSP-01,22,5.2,243.5,263.3
передняя,эконом,MOTOR-01,6,3.7,71.7,600.0
передняя,бизнес,RADIATOR-02,8,5.0,90.3,413.2
передняя,комфорт,SUSP-03,0,3.5,10.1,249.0
боковая,бизнес,BUMPER-02,25,1.3,289.2,290.8
задняя,эконом,GLASS-01,5,2.9,324.1,55.5
боковая,комфорт,TRANS-03,5,3.2,318.7,411.4
передняя,эконом,PAINT-01,21,1.7,51.0,50.7
боковая,эконом,ENG-02,11,1.5,361.3,356.3
боковая,премиум,LIGHT-01,21,3.7,268.9,162.1
передняя,эконом,EXHAUST-01,11,1.4,359.0,173.5
передняя,комфорт,DOOR-03,9,2.5,178.9,318.3
передняя,комфорт,HOOD-02,22,4.7,174.8,545.3
передняя,эконом,TRANS-02,25,5.8,313.8,600.0
задняя,бизнес,ALTERNATOR-02,5,4.6,37.3,355.2
задняя,эконом,PAINT-01,16,6.0,208.3,36.4
передняя,комфорт,BRAKE-01,18,4.5,334.6,190.4
задняя,премиум,INTERIOR-02,17,2.5,332.1,297.6
передняя,комфорт,BUMPER-01,5,4.4,382.5,305.6
передняя,премиум,LIGHT-02,23,4.5,279.3,302.9
задняя,эконом,ELECTRIC-01,18,2.9,83.1,129.2
задняя,комфорт,FENDER-13,9,1.1,8.1,120.1
боковая,эконом,WHEEL-02,23,4.5,191.8,67.1
передняя,бизнес,ALTERNATOR-02,7,1.1,205.5,369.4
задняя,премиум,SUSP-03,20,4.2,96.1,487.0
задняя,эконом,PAINT-01,23,1.8,49.9,52.2
передняя,комфорт,LIGHT-01,5,3.8,234.5,112.8
задняя,эконом,RADIATOR-02,20,3.5,305.7,245.7
передняя,комфорт,RADIATOR-02,24,1.1,397.3,339.4
передняя,комфорт,AC-01,6,2.8,303.3,351.0
боковая,премиум,PAINT-01,23,4.0,317.5,103.4
боковая,комфорт,FENDER-03,0,5.2,246.6,165.9
боковая,эконом,FRAME-01,17,5.4,394.4,296.9
передняя,эконом,RADIATOR-01,23,3.4,256.0,224.2
передняя,эконом,BUMPER-01,24,4.6,344.1,178.2
задняя,эконом,PAINT-03,19,2.6,378.3,75.5
задняя,эконом,TRANS-03,11,2.7,371.9,315.8
передняя,бизнес,RADIATOR-02,15,2.0,152.6,382.5
задняя,комфорт,AC-01,9,3.8,31.5,182.2
передняя,комфорт,DOOR-02,9,2.6,68.7,313.8
боковая,эконом,MOTOR-03,13,1.4,23.7,324.3
передняя,бизнес,BUMPER-02,24,4.4,42.2,434.9
задняя,бизнес,FENDER-03,19,4.5,73.9,274.0
передняя,эконом,EXHAUST-01,9,2.8,136.4,129.3
задняя,бизнес,TRANS-01,9,1.4,217.4,600.0
задняя,комфорт,BATTERY-02,25,3.1,284.7,92.8
передняя,эконом,HOOD-02,24,3.2,84.4,338.8
боковая,комфорт,TRANS-02,10,4.3,269.0,521.9
боковая,комфорт,BUMPER-02,22,2.6,281.7,208.3
боковая,эконом,LIGHT-02,1,4.4,223.4,25.6
боковая,премиум,FENDER-11,24,5.4,361.4,250.7
задняя,бизнес,PAINT-02,19,2.2,44.4,124.1
боковая,комфорт,LIGHT-01,7,5.9,70.8,52.7
передняя,комфорт,CABLE-01,22,2.9,171.5,15.0
передняя,комфорт,TRANS-01,6,2.3,50.7,539.7
передняя,комфорт,SUSP-03,7,3.1,226.5,381.5
передняя,комфорт,INTERIOR-01,0,1.5,159.4,140.2
задняя,эконом,ELECTRIC-01,20,1.6,113.8,147.4
передняя,комфорт,FENDER-13,1,3.1,68.0,168.4
боковая,бизнес,WHEEL-01,17,4.8,134.1,122.0
задняя,комфорт,FENDER-03,14,5.5,243.2,287.7
передняя,эконом,WHEEL-01,0,4.3,230.3,36.6
задняя,бизнес,BRAKE-02,4,1.5,65.4,122.6
передняя,эконом,FENDER-01,1,4.4,50.0,80.2
боковая,эконом,TRANS-01,19,4.2,10.7,258.1
передняя,эконом,BUMPER-01,2,5.0,5.0,166.6
