location_tier,trainer_level,club_name,members_count,avg_monthly_fee,service_years,high_profit
Спальный район,средний,Ритм-фитнес Кунцево,1919,1843,8.6,1
Окраина/промзона,средний,FlexForge Mini,873,6204,20.2,1
Окраина/промзона,новички,Железная тяга,1470,6323,8.5,1
Спальный район,средний,Тонус-клуб Коломенская,2790,11968,1.5,1
ТЦ/бизнес-центр,средний,FlexForge Metro,1787,6420,13.9,1
ТЦ/бизнес-центр,средний,Олимпийские надежды,1811,4701,14.7,1
ТЦ/бизнес-центр,профи,Фитнес-планета,1096,6971,23.4,1
Окраина/промзона,средний,Тренерский центр,1662,2388,18.2,1
Спальный район,профи,Качалка у Палыча,477,11735,23.0,1
Окраина/промзона,профи,FlexForge Ultra,751,11033,22.7,1
ТЦ/бизнес-центр,профи,IronFlex Pro,1836,8627,15.2,1
Окраина/промзона,профи,Тренерский центр,2358,5220,13.2,1
Окраина/промзона,элита,Ритм-фитнес Кунцево,2632,4383,14.0,1
ТЦ/бизнес-центр,новички,Ритм-фитнес Кунцево,960,5712,24.5,1
ТЦ/бизнес-центр,средний,FlexForge Ultra,2941,8461,19.4,1
ТЦ/бизнес-центр,новички,Волна здоровья,1649,3915,2.7,1
Спальный район,профи,IronFlex Pro,604,10809,19.5,1
Спальный район,элита,Тонус-клуб Коломенская,1558,4501,4.3,1
Спальный район,средний,FlexForge Gym,1432,3238,11.2,1
Спальный район,элита,FlexForge Premium ВДНХ,221,2864,5.3,1
Спальный район,новички,Лёгкая атлетика +,877,4208,17.3,1
ТЦ/бизнес-центр,элита,Качалка на районе,2858,2424,21.9,1
Спальный район,средний,Домашний фитнес,2228,1651,7.3,1
Спальный район,новички,Спартанец,1431,10277,2.1,1
Спальный район,средний,Элит-фитнес Рублёвка,2255,9544,7.5,1
Окраина/промзона,средний,Железная тяга,2949,2412,16.8,1
ТЦ/бизнес-центр,средний,Тяжёлый вес,2008,3821,8.3,1
Спальный район,средний,Качалка на районе,728,1995,7.0,1
Спальный район,профи,Лёгкая атлетика +,2237,3648,4.7,1
ТЦ/бизнес-центр,средний,SportFlex Крылатское,2849,2056,12.5,1
