Age,Experience,Gender,HigherEd,English,Python,SQL,R,Conferences,Publications,Certificates,WeekendWork,Overtime,Actual,Desired,Relocate,Target
59,4,0,1,3,3,3,4,1,0,0,0,0,88.24,264.72,0,45
49,2,0,0,2,3,3,3,1,0,1,1,1,70.4,211.19,0,26
35,4,1,1,1,1,2,3,2,0,1,1,1,72.75,218.24,0,40
28,0,1,1,1,4,1,3,0,0,1,1,1,62.35,187.05,1,62
41,1,0,1,2,2,4,2,0,2,1,1,1,76.27,228.83,0,0
59,3,1,1,1,4,2,4,0,0,1,1,1,87.36,262.08,0,52
39,0,1,1,1,2,2,4,1,1,2,1,1,116.96,350.88,0,1
43,3,1,1,3,0,3,2,0,0,1,0,0,28.14,84.42,0,6
31,1,1,1,1,2,3,2,4,0,1,1,1,115.27,345.81,0,35
31,1,1,1,1,3,3,2,0,0,1,0,0,88.2,264.61,0,17
44,0,1,1,1,3,2,2,0,0,1,0,0,65.81,197.42,0,0
56,1,1,1,3,2,2,4,2,1,1,1,1,61.31,183.92,0,21
44,4,1,1,1,2,3,2,1,0,1,0,0,101.09,303.25,1,85
23,1,1,1,2,3,2,0,4,0,1,0,0,80.72,242.16,1,92
42,3,0,0,0,3,2,2,0,1,2,1,1,36.65,109.96,0,17
22,1,0,1,1,1,4,2,0,0,1,1,1,84.08,252.24,0,6
44,3,0,0,1,2,2,2,0,0,0,0,0,103.61,310.83,0,15
50,3,0,1,1,2,2,3,4,0,1,0,0,96.45,289.35,1,100
58,4,0,1,2,3,4,3,0,0,1,1,1,59.33,177.99,1,92
22,1,0,1,2,2,4,2,0,2,1,1,1,41.45,124.36,0,18
41,0,0,1,2,4,3,2,0,0,1,1,1,66.85,200.56,0,8
53,3,0,1,1,2,4,2,0,0,1,1,1,156.35,469.04,0,21
32,1,0,1,1,3,2,3,0,0,0,1,1,36.38,109.12,0,24
42,3,1,0,1,3,2,2,0,1,1,0,0,53.93,161.79,0,31
45,1,1,1,1,2,3,3,0,0,1,1,1,84.8,254.39,0,7
47,1,1,1,2,2,3,4,2,0,0,1,1,71.89,215.68,1,67
48,3,1,1,1,3,4,2,3,4,2,1,1,69.99,209.96,0,74
36,4,1,1,1,4,2,4,0,2,1,0,0,125.62,376.84,0,60
35,1,1,1,1,2,4,2,0,2,1,1,1,53.67,161.0,0,19
23,1,1,1,1,2,4,2,1,0,0,1,1,74.64,223.91,1,65
